ts,idx,entry,oi_chg_4h,px_chg_4h,ret_30d,regime,ret_30d_backonly,regime_backonly,r_outcome,exit_kind,window_span_h,resolved,r_10bp
2024-05-23 14:00:00+00:00,32610,67797.6,-0.05202934900525791,-0.025729973946694962,0.024306219807399998,flat_30d,0.03655545239450131,flat_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2024-05-27 20:00:00+00:00,32712,69699.3,-0.02396969102518265,-0.007483111379455676,0.0952460541461031,flat_30d,0.074911214015009,flat_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2024-06-02 19:00:00+00:00,32855,67765.3,-0.021119403142927262,-0.00622527122824823,0.07878931550569024,flat_30d,0.14842462400506795,bull_30d,1.410000000000005,target,4.0,True,1.450000000000005
2024-06-04 20:00:00+00:00,32904,70444.5,-0.023932133044868742,-0.005835614891755325,0.10301931612177273,bull_30d,0.0780906987013068,flat_30d,0.13954240572365073,tif,4.0,True,0.17954240572365074
2024-06-05 21:00:00+00:00,32929,71177.2,-0.021611140724442146,-0.006737370918225016,0.12654649461221235,bull_30d,0.10301931612177273,bull_30d,-1.0900000000000003,stop,4.0,True,-1.0500000000000003
2024-06-07 18:00:00+00:00,32974,69186.5,-0.024217964599067998,-0.03189628634595476,0.13439146864100948,bull_30d,0.13699113907795035,bull_30d,0.3295182586198184,tif,4.0,True,0.3695182586198184
2024-06-11 04:00:00+00:00,33056,68040.0,-0.021898370291050795,-0.020367261491679556,0.09543281512892188,flat_30d,0.14388447800661752,bull_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-06-12 19:00:00+00:00,33095,67523.2,-0.058102308409082926,-0.03175886890934643,0.08516962555692786,flat_30d,0.09543281512892188,flat_30d,-1.0899999999999994,stop,4.0,True,-1.0499999999999994
2024-06-14 19:00:00+00:00,33143,65514.9,-0.029228275139319693,-0.013032539921663089,-0.0020506109521060134,flat_30d,0.08507485723105401,flat_30d,0.6942490792170917,tif,4.0,True,0.7342490792170917
2024-06-19 14:00:00+00:00,33258,64918.1,-0.0251134730189132,-0.008731117317326786,-0.09141206019603587,flat_30d,-0.016446405009707177,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-06-20 14:00:00+00:00,33282,64933.3,-0.030254776742567713,-0.019024785247897857,-0.0757430652939769,flat_30d,-0.09141206019603587,flat_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2024-06-24 12:00:00+00:00,33376,61194.8,-0.02052808927584404,-0.024171352211587727,-0.13043177175305554,bear_30d,-0.0785779794442153,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-06-26 17:00:00+00:00,33429,61227.7,-0.023074289111317037,-0.00829770003239394,-0.12383100878758924,bear_30d,-0.09845412503301743,flat_30d,-0.42922554660716683,tif,4.0,True,-0.38922554660716685
2024-07-04 23:00:00+00:00,33627,57045.9,-0.030164507981872646,-0.020956973930355116,-0.19175545480306033,bear_30d,-0.12553702611711592,bear_30d,-1.09,stop,4.0,True,-1.05
2024-07-08 00:00:00+00:00,33700,55068.9,-0.021925956966175275,-0.03809949676943791,-0.1825629267518909,bear_30d,-0.19525347017022932,bear_30d,1.409999999999997,target,4.0,True,1.449999999999997
2024-07-10 10:00:00+00:00,33758,58633.2,-1.0,-0.00978507952699259,-0.17038415036508725,bear_30d,-0.16713628097050126,bear_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2024-07-12 20:00:00+00:00,33816,57508.4,-1.0,-0.010008641792535022,-0.15234003658984951,bear_30d,-0.14861996384470155,bear_30d,1.410000000000003,target,4.0,True,1.450000000000003
2024-07-16 08:00:00+00:00,33900,62799.2,-0.02127259221451916,-0.025847934166337128,-0.0246588331312938,flat_30d,-0.023153818620617717,flat_30d,1.4099999999999975,target,4.0,True,1.4499999999999975
2024-07-17 16:00:00+00:00,33932,64221.3,-0.042245459625346315,-0.007461660080273047,-0.036352093585128364,flat_30d,-0.0246588331312938,flat_30d,1.409999999999997,target,4.0,True,1.449999999999997
2024-07-21 18:00:00+00:00,34030,66830.0,-0.03274573163790662,-0.006257174635840856,0.0625974674068992,flat_30d,0.034563789434730374,flat_30d,-0.8305356875654677,tif,4.0,True,-0.7905356875654677
2024-07-24 21:00:00+00:00,34105,65624.0,-0.0254275741956993,-0.014086199850965153,0.08423588436728524,flat_30d,0.0430651840575742,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-07-27 20:00:00+00:00,34176,67758.8,-0.022390696513347352,-0.013155729288792495,0.100382607567848,bull_30d,0.11538594251406087,bull_30d,1.4099999999999897,target,4.0,True,1.4499999999999897
2024-07-29 15:00:00+00:00,34219,68067.2,-0.03008400850196058,-0.021318506568665074,0.09457810778191744,flat_30d,0.12883875174169024,bull_30d,-1.09,stop,4.0,True,-1.05
2024-08-02 20:00:00+00:00,34320,62600.0,-0.02513864284417533,-0.010900633434402618,0.021188214190805077,flat_30d,0.05159552891332764,flat_30d,-1.09,stop,4.0,True,-1.05
2024-08-05 01:00:00+00:00,34373,54389.5,-0.09147818545182873,-0.06937250936368045,-0.07236670331180439,flat_30d,0.027199058738730963,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-08-07 14:00:00+00:00,34434,56060.1,-0.02299913161758671,-0.021645573154812192,-0.02793438990657371,flat_30d,0.002871169907703308,flat_30d,-1.0900000000000003,stop,4.0,True,-1.0500000000000003
2024-08-11 20:00:00+00:00,34536,58480.0,-0.02936203847068375,-0.02783827005748518,0.014223259028857793,flat_30d,0.06236358402177422,flat_30d,1.410000000000003,target,4.0,True,1.450000000000003
2024-08-16 15:00:00+00:00,34651,58035.6,-0.023830546165835353,-0.005717046461067743,-0.08119183772872662,flat_30d,-0.11535148438701737,bear_30d,1.41,target,4.0,True,1.45
2024-08-18 23:00:00+00:00,34707,58390.0,-0.023522220014315587,-0.021482473324965334,-0.12364039689079187,bear_30d,-0.07022212354928636,flat_30d,1.4100000000000001,target,4.0,True,1.4500000000000002
2024-08-22 02:00:00+00:00,34782,60144.7,-0.022454419523199265,-0.01637395148325571,-0.08444787640101692,flat_30d,-0.0945077867589541,flat_30d,1.4100000000000001,target,4.0,True,1.4500000000000002
2024-08-26 22:00:00+00:00,34898,62939.9,-0.020889569364705762,-0.010534507152963335,-0.07464146695779528,flat_30d,-0.05439251648068355,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-08-27 22:00:00+00:00,34922,59467.6,-0.07228271531518715,-0.0417987261064392,-0.1294573813869282,bear_30d,-0.07464146695779528,flat_30d,-1.09,stop,4.0,True,-1.05
2024-08-29 19:00:00+00:00,34967,59237.0,-0.027589326236174494,-0.02491979542689904,-0.10332787680643551,bear_30d,-0.1159550561797753,bear_30d,-1.09,stop,4.0,True,-1.05
2024-09-03 23:00:00+00:00,35091,57451.9,-0.026594935458504332,-0.009806810993969406,-0.01191170274058595,flat_30d,-0.025912669771243402,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-09-12 21:00:00+00:00,35305,57897.7,-0.026036876598644065,-0.007899422022766056,-0.04051989661522204,flat_30d,-0.034010073562629306,flat_30d,1.4100000000000061,target,4.0,True,1.4500000000000062
2024-09-15 23:00:00+00:00,35379,59100.5,-0.02177792288366942,-0.012485024487156493,0.0041729745526710715,flat_30d,0.04265270991636383,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-09-17 19:00:00+00:00,35423,59946.0,-0.020563504034313507,-0.018935240495556727,0.03238568247987672,flat_30d,-0.021549223538511963,flat_30d,1.410000000000006,target,4.0,True,1.450000000000006
2024-09-27 18:00:00+00:00,35662,65844.0,-0.028593649120463693,-0.005424217294960565,0.11421115065243193,bull_30d,0.09690575823657688,flat_30d,-0.15697648988518037,tif,4.0,True,-0.11697648988518036
2024-10-01 20:00:00+00:00,35760,60778.7,-0.059463802138104094,-0.02656269019110402,0.06126796593566053,flat_30d,0.07409330204828812,flat_30d,-0.1144329016579797,tif,4.0,True,-0.0744329016579797
2024-10-02 20:00:00+00:00,35784,60895.0,-0.025000374574665307,-0.01422609585293444,0.02555314394176489,flat_30d,0.06126796593566053,flat_30d,1.1289013876344514,tif,4.0,True,1.1689013876344514
2024-10-07 20:00:00+00:00,35904,62995.9,-0.02610440780052481,-0.012479621269124608,0.14880973272325249,bull_30d,0.16432371489976405,bull_30d,-1.09,stop,4.0,True,-1.05
2024-10-09 22:00:00+00:00,35954,60764.0,-0.021313736920568038,-0.006705441182720762,0.06308366953166122,flat_30d,0.13297142940502837,bull_30d,-1.09,stop,4.0,True,-1.05
2024-10-15 17:00:00+00:00,36093,66784.4,-0.03351437905238308,-0.012747111093371899,0.13440833833893118,bull_30d,0.10174271229404308,bull_30d,0.2633759380933268,tif,4.0,True,0.3033759380933268
2024-10-18 22:00:00+00:00,36170,68185.1,-0.027101558123312164,-0.009999448266249211,0.10808240990162843,bull_30d,0.11812179625420938,bull_30d,0.6046532306911521,tif,4.0,True,0.6446532306911521
2024-10-25 18:00:00+00:00,36334,66993.1,-0.0424098045546174,-0.018968082426883415,0.05615478212375469,flat_30d,0.0611847809336723,flat_30d,-1.0899999999999994,stop,4.0,True,-1.0499999999999994
2024-10-29 20:00:00+00:00,36431,72328.0,-0.02900347986650509,-0.005389171327243258,0.10937330805681422,bull_30d,0.06255298332183767,flat_30d,-1.09,stop,4.0,True,-1.05
2024-11-01 15:00:00+00:00,36498,69381.0,-0.05632581907422385,-0.00919388559481793,0.14636290756252612,bull_30d,0.15705170393966106,bull_30d,-1.0900000000000003,stop,4.0,True,-1.0500000000000003
2024-11-10 21:00:00+00:00,36720,79931.9,-0.021345388983302405,-0.006136121175648435,0.28637476203426715,bull_30d,0.2717039400794785,bull_30d,1.4099999999999913,target,4.0,True,1.4499999999999913
2024-11-13 19:00:00+00:00,36790,90218.8,-0.04122162357162551,-0.025800118996070598,0.36855274131952087,bull_30d,0.39994080184851,bull_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-11-18 12:00:00+00:00,36903,90571.6,-0.023550552950116432,-0.014345444216877112,0.3240380296999139,bull_30d,0.31417616119799185,bull_30d,1.4100000000000001,target,4.0,True,1.4500000000000002
2024-11-19 22:00:00+00:00,36937,91857.9,-0.042292695368875144,-0.019578983545072592,0.3378117388992481,bull_30d,0.3240380296999139,bull_30d,1.4100000000000077,target,4.0,True,1.4500000000000077
2024-11-23 00:00:00+00:00,37011,98665.1,-0.023225354963533618,-0.005265789807979537,0.43347591010036113,bull_30d,0.48425440228546734,bull_30d,-1.0900000000000003,stop,4.0,True,-1.0500000000000003
2024-11-26 18:00:00+00:00,37101,92202.0,-0.03525255281076933,-0.012173995026693252,0.3534031644620148,bull_30d,0.3875279923902444,bull_30d,1.4099999999999924,target,4.0,True,1.4499999999999924
2024-12-02 17:00:00+00:00,37244,94650.8,-0.02010224481231082,-0.011370449365673774,0.3823727845966214,bull_30d,0.3995884625623243,bull_30d,0.4165461675971005,tif,4.0,True,0.4565461675971005
2024-12-05 16:00:00+00:00,37315,101113.9,-0.025526675892643347,-0.017893063159929445,0.39866134318437085,bull_30d,0.4545709176625985,bull_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2024-12-12 20:00:00+00:00,37487,99992.8,-0.02604191205621742,-0.014361782871922912,0.13652525803664806,bull_30d,0.13959825941716852,bull_30d,0.27842652670992457,tif,4.0,True,0.31842652670992455
2024-12-16 04:00:00+00:00,37567,104646.4,-0.02249128698589753,-0.007481372444876122,0.16967497873532844,bull_30d,0.1469762151027838,bull_30d,1.4100000000000035,target,4.0,True,1.4500000000000035
2024-12-18 00:00:00+00:00,37611,106050.5,-0.021496310940607444,-0.00593064325029613,0.10688297310496164,bull_30d,0.17991899879755158,bull_30d,-1.0900000000000003,stop,4.0,True,-1.0500000000000003
2025-01-07 11:00:00+00:00,38102,100787.0,-0.0241263999710829,-0.008483088422645335,-0.042289525691699525,flat_30d,0.022835017697839355,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2025-01-19 22:00:00+00:00,38401,103396.7,-0.021392873222590092,-0.015493616214975803,0.03628212314503032,flat_30d,0.07276588145459928,flat_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2025-01-23 21:00:00+00:00,38496,103025.2,-0.02051864025723682,-0.02714177120760719,0.05309792836053351,flat_30d,0.09280727294960722,flat_30d,1.4100000000000037,target,4.0,True,1.4500000000000037
2025-02-03 01:00:00+00:00,38740,93408.4,-0.029892497937145324,-0.03701489090586696,0.03178566044500952,flat_30d,-0.004902914748175391,flat_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2025-02-04 05:00:00+00:00,38768,98818.3,-0.021934900690179004,-0.024887409167518526,-0.0064093829380050815,flat_30d,0.03178566044500952,flat_30d,-1.0899999999999996,stop,4.0,True,-1.0499999999999996
2025-02-06 17:00:00+00:00,38828,96662.7,-0.021450788214941174,-0.019285029448020796,-0.0041807547025751735,flat_30d,-0.05507122696720701,flat_30d,1.410000000000004,target,4.0,True,1.450000000000004
2025-02-07 20:00:00+00:00,38855,95717.5,-0.02054507080679513,-0.021184365128628868,0.015159855221488217,flat_30d,-0.0041807547025751735,flat_30d,0.20226630448977395,tif,4.0,True,0.24226630448977396
2025-02-14 21:00:00+00:00,39024,97405.0,-0.02536905018022051,-0.010994255126015595,-0.03001094963169415,flat_30d,0.00047350201885931753,flat_30d,-0.22926389815717962,tif,4.0,True,-0.18926389815717962
2025-02-21 17:00:00+00:00,39188,96929.5,-0.02216787049252733,-0.023694147674450217,-0.0727054190955666,flat_30d,-0.07408601086562161,flat_30d,-1.09,stop,4.0,True,-1.05
2025-02-25 07:00:00+00:00,39274,89262.9,-0.058662523779858367,-0.031070726499669576,-0.13573504706021156,bear_30d,-0.12595270386430057,bear_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2025-02-26 19:00:00+00:00,39310,83832.0,-0.046308819104007526,-0.0423183955474522,-0.1745988337729475,bear_30d,-0.13573504706021156,bear_30d,1.4100000000000044,target,4.0,True,1.4500000000000044
2025-03-03 03:00:00+00:00,39414,92660.0,-0.02071204604469512,-0.016586219046770045,-0.1432443769407855,bear_30d,-0.07967302111649077,flat_30d,-1.09,stop,4.0,True,-1.05
2025-03-04 03:00:00+00:00,39438,83929.0,-0.02301697472187003,-0.026263245031191707,-0.10667745188886446,bear_30d,-0.1432443769407855,bear_30d,-1.0899999999999999,stop,4.0,True,-1.0499999999999998
2025-03-05 16:00:00+00:00,39475,88878.2,-0.022625700007245286,-0.015965420802876884,-0.10590589543081153,bear_30d,-0.10667745188886446,bear_30d,1.410000000000004,target,4.0,True,1.450000000000004
2025-03-06 16:00:00+00:00,39499,89279.9,-0.021296538846616864,-0.0086917225444052,-0.08005432407565649,flat_30d,-0.10590589543081153,bear_30d,-1.09,stop,4.0,True,-1.05
2025-03-09 23:00:00+00:00,39578,80688.8,-0.024784704389042456,-0.023195960530186355,-0.16345219766833063,bear_30d,-0.10703402887216618,bear_30d,1.4100000000000044,target,4.0,True,1.4500000000000044
