asset,t,direction,entry,risk,R,R18,cost_R,kind,exit_bar_ts,exit_price,missing,max_consecutive_missing,in_on_R1,in_on_R2,z_R1,z_R2,entry_ts,entry_day
ETH,2022-02-05T11:15:00+00:00,long,3010.14,81.44222949327285,1.0872720522381352,1.0577037064919161,0.03696043218277366,tif,2022-02-08T11:15:00+00:00,3101.7,0,0,False,True,-1.1609594289035392,0.5106029251726869,1644060600,2022-02-05
ETH,2022-03-05T03:15:00+00:00,short,2621.54,72.50483710608091,1.0087390430653862,0.9798136350001069,0.03615676008159922,tif,2022-03-08T03:15:00+00:00,2545.78,0,0,False,True,1.1548139414315417,-0.44407132698877216,1646451000,2022-03-05
ETH,2022-03-08T16:45:00+00:00,short,2539.83,120.83581894890571,-1.0210188503880135,-1.0378339306984234,0.021018850388012374,stop,2022-03-09T03:15:00+00:00,2660.665818948906,0,0,False,False,0.42362785045892226,0.43789378424373676,1646758800,2022-03-08
ETH,2022-03-19T05:45:00+00:00,long,2933.53,51.83138842822477,-1.0565975577532958,-1.101875603955933,0.05659755775329659,stop,2022-03-20T11:45:00+00:00,2881.6986115717755,0,0,True,False,0.3244572015130045,-0.566201969782192,1647669600,2022-03-19
ETH,2022-06-11T02:45:00+00:00,short,1672.75,40.2708108843214,5.958462470378233,5.9252324466808215,0.04153752962176509,target,2022-06-12T05:00:00+00:00,1431.1251346940717,0,0,False,False,1.6380307792451059,1.5133427918932874,1654916400,2022-06-11
ETH,2022-06-11T10:00:00+00:00,short,1598.36,83.53994662195696,5.980867117293801,5.965560811128842,0.019132882706198666,target,2022-06-14T02:00:00+00:00,1097.1203202682582,0,0,True,True,-0.773792775692488,-10.786503502809742,1654942500,2022-06-11
ETH,2022-06-11T16:00:00+00:00,short,1525.52,97.30705890998279,2.980405360604802,2.9678634544607783,0.015677382680029765,tif,2022-06-14T16:00:00+00:00,1233.98,0,0,True,False,-1.0195944528441732,0.11332681309582923,1654964100,2022-06-11
ETH,2022-06-20T09:15:00+00:00,long,1127.13,74.40345817638755,-1.0151488926405545,-1.0272680067529973,0.015148892640553403,stop,2022-06-22T20:30:00+00:00,1052.7265418236125,0,0,False,False,-0.9246189213417676,-0.10154279388970079,1655717400,2022-06-20
ETH,2022-06-20T15:15:00+00:00,long,1126.0,76.3859545494534,-1.01474092988222,-1.0265336737879966,0.014740929882220833,stop,2022-06-22T20:30:00+00:00,1049.6140454505467,0,0,False,False,-0.2511717855972867,-0.7220465834931439,1655739000,2022-06-20
ETH,2022-06-20T21:30:00+00:00,long,1113.37,61.728439898895495,-1.01803658089891,-1.032465845618039,0.018036580898911095,stop,2022-06-22T20:30:00+00:00,1051.6415601011045,0,0,True,False,1.0835200425198799,-0.7200706396618012,1655761500,2022-06-20
