t,direction
2026-05-18T15:45:00+00:00,short
2026-05-23T08:45:00+00:00,short
2026-05-23T23:30:00+00:00,short
2026-05-28T17:45:00+00:00,short
2026-06-03T01:45:00+00:00,short
2026-06-03T14:45:00+00:00,short
2026-06-15T17:00:00+00:00,long
2026-06-16T13:00:00+00:00,long
2026-06-16T19:45:00+00:00,long
2026-06-17T07:45:00+00:00,long
2026-07-03T03:30:00+00:00,long
2026-07-15T05:00:00+00:00,long
2026-07-15T18:15:00+00:00,long
2026-07-16T00:30:00+00:00,long
2026-07-16T06:30:00+00:00,long
2026-08-02T00:00:00+00:00,short
2026-08-02T14:15:00+00:00,short
2026-09-02T02:15:00+00:00,short
2026-09-02T23:45:00+00:00,short
2026-09-03T07:00:00+00:00,short
