t,direction
2024-10-17T11:00:00+00:00,long
2024-10-29T12:00:00+00:00,long
2024-10-29T18:15:00+00:00,long
2024-11-26T09:00:00+00:00,short
2024-11-26T16:00:00+00:00,short
2024-12-10T05:30:00+00:00,short
2024-12-10T18:15:00+00:00,short
2024-12-16T22:15:00+00:00,long
2024-12-20T02:15:00+00:00,short
2024-12-20T10:15:00+00:00,short
2024-12-21T05:30:00+00:00,short
2024-12-21T11:30:00+00:00,short
2025-01-10T05:30:00+00:00,short
2025-01-17T14:00:00+00:00,long
2025-01-17T20:00:00+00:00,long
2025-01-18T08:00:00+00:00,long
2025-01-18T14:30:00+00:00,long
2025-02-03T03:00:00+00:00,short
2025-02-03T09:00:00+00:00,short
2025-02-03T16:15:00+00:00,short
2025-02-25T00:15:00+00:00,short
2025-02-25T18:30:00+00:00,short
2025-02-26T01:00:00+00:00,short
2025-02-26T23:45:00+00:00,short
2025-02-27T18:00:00+00:00,short
2025-02-28T07:00:00+00:00,short
2025-03-20T12:30:00+00:00,long
2025-04-13T00:15:00+00:00,long
2025-04-13T13:15:00+00:00,long
2025-04-22T04:45:00+00:00,long
2025-04-22T11:30:00+00:00,long
2025-04-23T00:15:00+00:00,long
2025-05-09T03:30:00+00:00,long
2025-05-09T16:00:00+00:00,long
2025-05-22T13:00:00+00:00,long
2025-06-06T04:30:00+00:00,short
2025-06-10T00:45:00+00:00,long
2025-06-21T05:15:00+00:00,short
2025-06-22T15:15:00+00:00,short
2025-07-03T10:15:00+00:00,long
2025-07-04T07:15:00+00:00,long
2025-07-10T12:00:00+00:00,long
2025-07-21T00:45:00+00:00,short
2025-07-21T13:30:00+00:00,short
2025-07-21T20:15:00+00:00,short
2025-07-22T22:15:00+00:00,short
2025-07-24T14:30:00+00:00,short
2025-07-26T02:15:00+00:00,short
2025-07-26T08:15:00+00:00,short
2025-08-01T01:45:00+00:00,short
2025-08-01T07:45:00+00:00,short
2025-08-01T14:15:00+00:00,short
2025-08-01T20:15:00+00:00,short
2025-08-25T21:30:00+00:00,short
2025-08-26T07:30:00+00:00,short
2025-09-11T00:15:00+00:00,long
2025-09-11T07:00:00+00:00,long
2025-09-13T13:45:00+00:00,long
2025-10-02T05:45:00+00:00,long
2025-10-02T20:15:00+00:00,long
2025-10-03T09:30:00+00:00,long
