asset,t,direction,entry,risk,R,R18,cost_R,kind,exit_bar_ts,exit_price,missing,max_consecutive_missing,in_on_R1,in_on_R2,z_R1,z_R2,entry_ts,entry_day
BTC,2022-01-06T17:15:00+00:00,short,43032.99,1103.8870385640773,0.8730123430505862,0.8418258259547958,0.03898314636973796,tif,2022-01-09T17:15:00+00:00,42026.25,0,0,True,True,-0.2108787936136393,-1.6081336734956861,1641490200,2022-01-06
BTC,2022-01-26T09:45:00+00:00,long,37620.01,1075.8443167124103,-1.0349678939746254,-1.0629422091543237,0.03496789397462274,stop,2022-01-26T21:30:00+00:00,36544.16568328759,0,0,True,True,0.6986560551700346,0.47900866597300756,1643191200,2022-01-26
BTC,2022-02-01T01:45:00+00:00,long,38223.22,791.5565953737956,-1.0482886760383205,-1.0869196168689759,0.04828867603831903,stop,2022-02-02T15:30:00+00:00,37431.663404626204,0,0,False,True,-0.26700545358514843,0.11352575152371308,1643680800,2022-02-01
BTC,2022-02-01T09:15:00+00:00,long,38461.42,931.8349413037035,-1.041274927881748,-1.0742948701871435,0.04127492788174452,stop,2022-02-02T15:15:00+00:00,37529.58505869629,0,0,False,False,-1.3456141757519564,-1.1281204910815925,1643707800,2022-02-01
BTC,2022-05-06T07:45:00+00:00,short,36359.3,864.0252706321485,3.2559703930207378,3.222305359151163,0.04208129233696878,tif,2022-05-09T07:45:00+00:00,33509.7,0,0,False,False,2.619281949334339,1.8999004177690484,1651824000,2022-05-06
BTC,2022-05-06T13:45:00+00:00,short,35727.1,1490.7806823789017,1.7795192353624392,1.7603469450733062,0.02396536286141618,tif,2022-05-09T13:45:00+00:00,33038.5,0,0,False,False,0.025257286565134686,0.4193121955941592,1651845600,2022-05-06
BTC,2022-05-06T20:15:00+00:00,short,35882.0,995.6033233080254,4.510951193973177,4.482118827378997,0.036040458242723866,tif,2022-05-09T20:15:00+00:00,31355.0,0,0,False,False,1.1607837835080443,0.7740613914198319,1651869000,2022-05-06
BTC,2022-05-08T10:45:00+00:00,short,34730.0,722.0694864335753,5.951902135940492,5.913423844692887,0.048097864059506806,target,2022-05-09T18:30:00+00:00,30397.58308139855,0,0,True,True,-0.5741157500761975,-0.7932906558528492,1652007600,2022-05-08
BTC,2022-05-13T06:45:00+00:00,long,30377.7,1514.9235252531469,-1.0200522993363141,-1.0360941388053653,0.02005229933631391,stop,2022-05-14T11:30:00+00:00,28862.776474746854,0,0,False,False,-0.4171664865104122,-0.5384955970374419,1652425200,2022-05-13
BTC,2022-05-13T13:00:00+00:00,long,30504.1,1204.0696912871526,-1.0253341648085104,-1.045601496655318,0.0253341648085096,stop,2022-05-13T23:30:00+00:00,29300.030308712845,0,0,True,True,0.11753803787624001,1.0132369328026287,1652447700,2022-05-13
