date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2025-07-05,4.3070332,0.00040822495,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0.00012
2025-07-06,4.3106726,0.00084499934,0.462,0.258,0.15,0.08,0.39,0.39,0.8,0.258,1,0.00037388889
2025-07-07,4.296106,-0.003379208,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.99259259,0.32266667,2,0.00031988889
2025-07-08,4.2786667,-0.0040593213,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,9e-05
2025-07-09,4.3602872,0.019076144,0.47792593,0.14466667,0.047407407,0.28,0.19,0.19,1.1125926,0.24466667,5,0.0003
2025-07-10,4.4168491,0.012972066,0.54192593,0.16066667,0.047407407,0.2,0.27,0.27,0.90259259,0.16066667,3,0.00012
2025-07-11,4.4611607,0.010032414,0.302,0.218,0.15,0.28,0.19,0.19,0.92,0.318,5,0.00044588889
2025-07-12,4.474647,0.0030230481,0.366,0.234,0.15,0.2,0.27,0.27,0.8,0.234,3,0.00012
2025-07-13,4.5012282,0.005940391,0.366,0.234,0.15,0.2,0.27,0.27,0.8,0.234,3,0
2025-07-14,4.4942573,-0.0015486586,0.366,0.234,0.15,0.2,0.27,0.27,0.89,0.384,3,0
2025-07-15,4.4799924,-0.0031740284,0.414,0.246,0.15,0.14,0.33,0.33,0.8,0.246,2,9e-05
2025-07-16,4.5155031,0.0079264959,0.414,0.246,0.15,0.14,0.33,0.33,0.8,0.246,2,0
2025-07-17,4.5254443,0.0022015666,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0.00015
2025-07-18,4.5188345,-0.0014605677,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0
2025-07-19,4.525669,0.0015124314,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0
2025-07-20,4.5285507,0.00063674768,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0
2025-07-21,4.5503452,0.0048126998,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0
2025-07-22,4.5950448,0.0098233368,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0
2025-07-23,4.5576944,-0.0081284134,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0
2025-07-24,4.550518,-0.0015745673,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0
2025-07-25,4.5307411,-0.0043460765,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0
2025-07-26,4.536598,0.0012927171,0.27,0.21,0.15,0.32,0.15,0.15,0.8,0.23,4,0.00012
2025-07-27,4.5600729,0.0051745595,0.27,0.21,0.15,0.32,0.15,0.15,0.8,0.23,4,0
2025-07-28,4.5291295,-0.0067857347,0.27,0.21,0.15,0.32,0.15,0.15,0.8,0.23,4,0
2025-07-29,4.5328939,0.00083116163,0.27,0.21,0.15,0.32,0.15,0.15,0.8,0.23,4,0
2025-07-30,4.5159148,-0.0037457662,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0.00012
2025-07-31,4.4799704,-0.0079594912,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,0
2025-08-01,4.4411159,-0.0086729419,0.27,0.21,0.15,0.32,0.15,0.15,0.92,0.41,5,0.00012
2025-08-02,4.4291399,-0.0026966172,0.55792593,0.16466667,0.047407407,0.18,0.29,0.29,0.90259259,0.26466667,2,0.00049988889
2025-08-03,4.4492091,0.0045311799,0.55792593,0.16466667,0.047407407,0.18,0.29,0.29,0.90259259,0.26466667,2,0
2025-08-04,4.4824439,0.0074698143,0.286,0.214,0.15,0.3,0.17,0.17,0.89,0.464,4,0.00048188889
2025-08-05,4.4655369,-0.0037718119,0.334,0.226,0.15,0.24,0.23,0.23,0.8,0.326,3,9e-05
2025-08-06,4.4939917,0.0063720746,0.39792593,0.12466667,0.047407407,0.38,0.09,0.09,1.1125926,0.32466667,6,0.00024788889
2025-08-07,4.5460657,0.011587485,0.414,0.246,0.15,0.14,0.33,0.33,0.8,0.246,2,0.00020611111
2025-08-08,4.5481763,0.0004642565,0.35,0.23,0.15,0.22,0.25,0.25,0.92,0.33,4,0.00012
2025-08-09,4.5602292,0.0026500498,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.90259259,0.17266667,2,0.00044588889
2025-08-10,4.5779873,0.0038941244,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.90259259,0.17266667,2,0
2025-08-11,4.5297655,-0.010533411,0.54192593,0.16066667,0.047407407,0.2,0.27,0.27,0.99259259,0.31066667,3,9e-05
2025-08-12,4.5588641,0.0064238731,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.90259259,0.17266667,2,9e-05
2025-08-13,4.6332671,0.016320509,0.42992593,0.13266667,0.047407407,0.34,0.13,0.13,1.1125926,0.23266667,6,0.0003
2025-08-14,4.5688901,-0.013894502,0.54192593,0.16066667,0.047407407,0.2,0.27,0.27,0.90259259,0.16066667,3,0.00021
2025-08-15,4.5533994,-0.0033904894,0.54192593,0.16066667,0.047407407,0.2,0.27,0.27,0.90259259,0.16066667,3,0
2025-08-16,4.5491512,-0.00093296038,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.90259259,0.17266667,2,9e-05
2025-08-17,4.543938,-0.0011459705,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,9e-05
2025-08-18,4.5419188,-0.0004443807,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-19,4.501906,-0.0088096626,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-20,4.5358653,0.0075433191,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-21,4.51567,-0.0044523677,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-22,4.5774002,0.013670219,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-23,4.5631465,-0.003113925,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-24,4.549233,-0.0030490945,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-25,4.5090448,-0.008834077,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-26,4.551641,0.0094468393,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-27,4.5563754,0.0010401653,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-28,4.5903551,0.007457612,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-29,4.5983387,0.0017392152,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-30,4.602634,0.00093409396,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-08-31,4.5962885,-0.0013786814,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-01,4.6425165,0.010057699,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.99259259,0.32266667,2,9e-05
2025-09-02,4.6959307,0.011505426,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,9e-05
2025-09-03,4.7583141,0.013284563,0.52592593,0.15666667,0.047407407,0.22,0.25,0.25,1.1125926,0.25666667,4,0.00021
2025-09-04,4.7362247,-0.0046422744,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0.00021
2025-09-05,4.7802355,0.0092923957,0.57392593,0.16866667,0.047407407,0.16,0.31,0.31,1.0225926,0.26866667,3,0.00012
2025-09-06,4.8034271,0.0048515473,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0.00012
2025-09-07,4.7911738,-0.002550943,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-08,4.8345235,0.0090478158,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.99259259,0.32266667,2,9e-05
2025-09-09,4.8320374,-0.00051423505,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,9e-05
2025-09-10,4.8703721,0.0079334552,0.52592593,0.15666667,0.047407407,0.22,0.25,0.25,1.1125926,0.25666667,4,0.00021
2025-09-11,4.8727777,0.0004939228,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0.00021
2025-09-12,4.8858966,0.0026922813,0.57392593,0.16866667,0.047407407,0.16,0.31,0.31,1.0225926,0.26866667,3,0.00012
2025-09-13,4.881688,-0.00086137513,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0.00012
2025-09-14,4.8817,2.4506187e-06,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-15,4.9160763,0.0070418769,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-16,4.945491,0.0059833691,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-17,4.9146803,-0.006230068,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-18,4.896926,-0.0036124973,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-19,4.924343,0.0055988119,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-20,4.9212993,-0.00061808898,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-21,4.9225199,0.00024802634,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-22,4.9584442,0.0072979473,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-23,4.9672447,0.0017748576,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-24,4.961723,-0.0011116319,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-25,4.925579,-0.0072845654,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-26,4.9475727,0.0044652043,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-27,4.9491605,0.00032092259,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-28,4.9712346,0.0044601681,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-29,5.0490313,0.015649372,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-09-30,5.0613269,0.0024352388,0.462,0.258,0.15,0.08,0.39,0.39,0.8,0.258,1,0.00037388889
2025-10-01,5.165443,0.020570926,0.35,0.23,0.15,0.22,0.25,0.25,1.01,0.33,4,0.00021
2025-10-02,5.1924349,0.005225474,0.414,0.246,0.15,0.14,0.33,0.33,0.8,0.246,2,0.00012
2025-10-03,5.2125882,0.003881284,0.286,0.214,0.15,0.3,0.17,0.17,0.92,0.394,5,0.00024
2025-10-04,5.2247828,0.0023394501,0.398,0.242,0.15,0.16,0.31,0.31,0.8,0.322,2,0.00021
2025-10-05,5.2455694,0.0039784454,0.398,0.242,0.15,0.16,0.31,0.31,0.8,0.322,2,0
2025-10-06,5.2943978,0.0093085147,0.27,0.19444444,0.15,0.30222222,0.15,0.15,0.85,0.5,4,0.00026333333
2025-10-07,5.2570763,-0.0070492434,0.318,0.222,0.15,0.26,0.21,0.21,0.8,0.402,3,0.00011333333
2025-10-08,5.3035514,0.0088404822,0.206,0.194,0.15,0.4,0.07,0.07,1.01,0.474,6,0.00021
2025-10-09,5.2664597,-0.0069937496,0.318,0.222,0.15,0.26,0.21,0.21,0.8,0.402,3,0.00021
2025-10-10,5.1302053,-0.025872112,0.318,0.222,0.15,0.26,0.21,0.21,0.92,0.422,4,0
2025-10-11,5.1171825,-0.0025384504,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0.00053588889
2025-10-12,5.1903254,0.01429359,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-10-13,5.2729753,0.01592383,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.99259259,0.32266667,2,9e-05
2025-10-14,5.2824396,0.0017948861,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,9e-05
2025-10-15,5.3153759,0.0062350388,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0.00012
2025-10-16,5.4652508,0.028196498,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0
2025-10-17,5.2763694,-0.034560432,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0
2025-10-18,5.287281,0.002068017,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0
2025-10-19,5.3014322,0.0026764592,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0
2025-10-20,5.4266457,0.023618807,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0
2025-10-21,5.1726803,-0.046799708,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0
2025-10-22,5.1599231,-0.0024662672,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0
2025-10-23,5.2068488,0.0090942568,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0
2025-10-24,5.2095206,0.00051314336,0.70192593,0.20066667,0.047407407,0,0.47,0.47,0.90259259,0.20066667,0,0
2025-10-25,5.2139529,0.00085080951,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0.00012
2025-10-26,5.1983821,-0.0029863738,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-10-27,5.1393907,-0.011348039,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-10-28,5.109851,-0.0057477007,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-10-29,5.075901,-0.0066440286,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-10-30,5.1253472,0.0097413696,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-10-31,5.1090571,-0.0031783375,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-11-01,5.1201458,0.0021703901,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-11-02,5.1001392,-0.003907433,0.63792593,0.18466667,0.047407407,0.08,0.39,0.39,0.90259259,0.18466667,1,0
2025-11-03,5.076012,-0.0047306932,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.99259259,0.32266667,2,9e-05
2025-11-04,4.9936297,-0.016229722,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.90259259,0.17266667,2,0
2025-11-05,5.0949509,0.020290096,0.47792593,0.14466667,0.047407407,0.28,0.19,0.19,1.1125926,0.24466667,5,0.00021
2025-11-06,5.0855995,-0.0018354329,0.58992593,0.17266667,0.047407407,0.14,0.33,0.33,0.90259259,0.17266667,2,0.00021
