date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2025-09-28,4.134091,0.0025706444,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-09-29,4.1681367,0.008235359,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-09-30,4.1695276,0.00033368544,0.15,0.18,0.15,0.08,0.39,0,0.41,0.18,1,0.00037388889
2025-10-01,4.2491014,0.019084612,0.15,0.18,0.15,0.22,0.25,0,0.76,0.28,4,0
2025-10-02,4.2685857,0.0045854982,0.15,0.18,0.15,0.14,0.33,0,0.47,0.18,2,0
2025-10-03,4.2813956,0.0030009844,0.15,0.18,0.15,0.3,0.17,0,0.75,0.36,5,0
2025-10-04,4.2872329,0.0013634021,0.15,0.18,0.15,0.16,0.31,0,0.49,0.26,2,0
2025-10-05,4.298286,0.0025781548,0.15,0.18,0.15,0.16,0.31,0,0.49,0.26,2,0
2025-10-06,4.3303155,0.0074516849,0.15,0.17647059,0.15,0.31529412,0.15,0,0.73,0.5,4,5.2941176e-06
2025-10-07,4.3018826,-0.0065660135,0.15,0.18,0.15,0.26,0.21,0,0.59,0.36,3,5.2941176e-06
2025-10-08,4.3379509,0.0083842984,0.15,0.18,0.15,0.4,0.07,0,0.94,0.46,6,0
2025-10-09,4.3167246,-0.004893149,0.15,0.18,0.15,0.26,0.21,0,0.59,0.36,3,0
2025-10-10,4.2214157,-0.022078982,0.15,0.18,0.15,0.26,0.21,0,0.71,0.38,4,0
2025-10-11,4.2145807,-0.0016191369,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0.00037388889
2025-10-12,4.2473757,0.0077813141,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-10-13,4.2856833,0.009019137,0.32592593,0.10666667,0.047407407,0.14,0.33,0,0.66259259,0.25666667,2,0
2025-10-14,4.2886606,0.00069471129,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-10-15,4.3001684,0.0026832927,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-16,4.3551348,0.012782386,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-17,4.2843008,-0.016264477,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-18,4.2888358,0.0010585168,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-19,4.2949647,0.0014290292,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-20,4.3430869,0.011204335,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-21,4.2475369,-0.02200049,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-22,4.2422982,-0.0012333478,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-23,4.26156,0.0045404205,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-24,4.2630712,0.00035462673,0.32592593,0.10666667,0.047407407,0,0.47,0,0.43259259,0.10666667,0,0
2025-10-25,4.2653533,0.00053531042,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-10-26,4.2602426,-0.0011981875,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-10-27,4.2353916,-0.0058332324,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-10-28,4.2224399,-0.0030579807,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-10-29,4.2068061,-0.0037025543,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-10-30,4.2269675,0.0047925757,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-10-31,4.2207654,-0.0014672749,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-11-01,4.2257381,0.0011781546,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
2025-11-02,4.2175583,-0.0019357076,0.32592593,0.10666667,0.047407407,0.08,0.39,0,0.51259259,0.10666667,1,0
