date,nav,daily_ret,w_gold,w_ema,w_cash,w_tactical,idle,routed,gross,net_btc,n_active,turnover_cost
2021-12-20,1.8054995,-0.00079854756,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-21,1.7919917,-0.0074814684,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-22,1.7941608,0.0012104721,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-23,1.7793713,-0.0082431652,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-24,1.779667,0.00016621516,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-25,1.7824939,0.001588424,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-26,1.7802789,-0.0012426426,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-27,1.7809236,0.00036212498,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-28,1.801066,0.011310067,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-29,1.8086034,0.0041849997,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-30,1.8041859,-0.0024424833,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2021-12-31,1.8105766,0.0035421526,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-01,1.8001392,-0.0057646761,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-02,1.8032821,0.0017458913,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-03,1.8059294,0.0014680707,0,0.18,0.63,0.14,0.33,0.33,0.41,-0.03,2,0
2022-01-04,1.8104072,0.0024794976,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-05,1.818501,0.0044706962,0,0.18,0.47,0.3,0.17,0.17,0.69,-0.16,5,0
2022-01-06,1.8247001,0.0034088888,0,0.18,0.61,0.16,0.31,0.31,0.34,-0.26,2,0
2022-01-07,1.8336975,0.004930884,0,0.18,0.53,0.24,0.23,0.23,0.54,-0.16,4,0
2022-01-08,1.833375,-0.00017584178,0,0.18,0.61,0.16,0.31,0.31,0.34,-0.26,2,0
2022-01-09,1.8320938,-0.00069881465,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-10,1.826639,-0.0029773773,0,0.18,0.63,0.14,0.33,0.33,0.41,-0.03,2,0
2022-01-11,1.8196882,-0.0038052489,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-12,1.8353243,0.0085927574,0,0.18,0.55,0.22,0.25,0.25,0.61,-0.08,4,0
2022-01-13,1.8455602,0.0055771741,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-14,1.8358915,-0.0052388972,0,0.18,0.61,0.16,0.31,0.31,0.46,-0.08,3,0
2022-01-15,1.8358597,-1.7321131e-05,0,0.18,0.77,0,0.47,0.47,0.18,-0.18,0,0
2022-01-16,1.8359638,5.6670772e-05,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-17,1.8428051,0.0037263034,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-18,1.8418058,-0.00054230365,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-19,1.8473996,0.0030371194,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-20,1.8553988,0.0043300043,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-21,1.8903452,0.018834989,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-22,1.9033349,0.0068715883,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-23,1.8920299,-0.0059396006,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-24,1.8882873,-0.0019780809,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-25,1.886183,-0.0011143852,0,0.18,0.63,0.14,0.33,0.33,0.32,-0.18,2,0
2022-01-26,1.8883702,0.0011595915,0,0.18,0.63,0.14,0.33,0.33,0.32,-0.18,2,0
2022-01-27,1.8859247,-0.001295032,0,0.18,0.63,0.14,0.33,0.33,0.32,-0.18,2,0
2022-01-28,1.8811673,-0.0025225972,0,0.18,0.63,0.14,0.33,0.33,0.32,-0.18,2,0
2022-01-29,1.8772687,-0.002072424,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-30,1.8799724,0.0014402332,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-01-31,1.8748814,-0.0027080227,0,0.18,0.69,0.08,0.39,0.39,0.26,-0.18,1,0
2022-02-01,1.8731642,-0.00091589093,0,0.18,0.61,0.16,0.31,0.31,0.34,-0.1,2,0
2022-02-02,1.8822601,0.0048558751,0,0.18,0.47,0.3,0.17,0.17,0.69,0,5,0
2022-02-03,1.8787352,-0.001872645,0,0.18,0.61,0.16,0.31,0.31,0.34,-0.1,2,0
