policy,censored,scenario,sessions,trades,days,mean_bp,median_bp,sd_bp,win_rate,profit_factor,payoff,mean_gross_bp,mean_funding_bp,mean_risk_bp,median_risk_bp,mean_R,total_return,ann_return,sharpe_daily_ann,max_drawdown,mar,exposure_days,long_trades,short_trades,long_mean_bp,short_mean_bp,best1_share,best5_share,best10_share,mean_bars_held,exit_reasons,flagged_trades
CORE_LDN_R30_STOP,0,db_nonfee_x2,751,722,1096,-17.594538630083186,-51.971838353271124,139.23441645256824,0.278393351800554,0.6990064980453061,1.8118526640875845,-4.47644549489933,0.08255151438511324,79.25390574144262,61.715573158382384,-0.26471899360867024,-0.7382566675022224,-0.3600654068033763,-1.9546189866182866,-0.7395336580358391,-0.48688170293653743,0.6587591240875912,365,357,-17.10656680856305,-18.09344539438249,-0.0669864749737927,-0.30378105663730726,-0.5088531688050307,191.7853185595568,"{""stop"": 479, ""time"": 243}",0
CORE_LDN_R30_STOP,0,db_plus5,751,722,1096,-20.994704676184288,-55.36532754849998,139.23875133566543,0.2756232686980609,0.6553462543682985,1.7223421660031164,-4.47644549489933,0.08255151438511324,79.25390574144262,61.715573158382384,-0.33188905060644874,-0.7953406122334217,-0.4104054906698965,-2.329601656226626,-0.7958550155187608,-0.5156787136692009,0.6587591240875912,365,357,-20.505978378925995,-21.494382823241086,-0.05592316413242099,-0.25350513603985947,-0.4242240355683736,191.7853185595568,"{""stop"": 479, ""time"": 243}",0
CORE_LDN_R30_STOP,0,db_plus10,751,722,1096,-25.994948861627073,-60.35575283560124,139.24513323479593,0.27008310249307477,0.5972897156433759,1.6142137443285083,-4.47644549489933,0.08255151438511324,79.25390574144262,61.715573158382384,-0.43066854619141715,-0.8574910890410258,-0.4773575419391535,-2.87839693240741,-0.8574910890410258,-0.5566909651189562,0.6587591240875912,365,357,-25.505113041224444,-26.49576139509196,-0.04491119164300027,-0.20346251657109732,-0.33998761661857946,191.7853185595568,"{""stop"": 479, ""time"": 243}",0
CORE_LDN_R60_CLOSE,0,gross,751,555,1096,-3.6769385285598712,-39.9252640808317,149.74296289073814,0.3747747747747748,0.9337465833681892,1.5577406943690464,-3.6769385285598712,0.0,113.98571335532596,86.92181756932227,0.02782196775268019,-0.23312771606436544,-0.08460316353817854,-0.33393062528594886,-0.37272661452487277,-0.22698449813149257,0.5063868613138686,286,269,4.145618766130864,-11.993858180164152,-0.38354120009349574,-1.6845661034427215,-2.8941653829115506,214.9981981981982,"{""stop"": 291, ""time"": 264}",0
CORE_LDN_R60_CLOSE,0,rt5,751,555,1096,-8.678925913612835,-44.93524539685191,149.74338843815727,0.36576576576576575,0.8520035819407088,1.4773658169612292,-3.6769385285598712,0.0,113.98571335532596,86.92181756932227,-0.04176884971652075,-0.4191589825662869,-0.1655041436262653,-0.7876602886877964,-0.4872332464866054,-0.3396815484569262,0.5063868613138686,286,269,-0.8554176385606668,-16.99685664470919,-0.16149475006583866,-0.708551487592661,-1.2157921396021685,214.9981981981982,"{""stop"": 291, ""time"": 264}",0
CORE_LDN_R60_CLOSE,0,rt10,751,555,1096,-13.680913298665798,-49.94522671287212,149.74382332247788,0.35495495495495494,0.7788240371249827,1.4153248999530141,-3.6769385285598712,0.0,113.98571335532596,86.92181756932227,-0.1113596671857217,-0.5601231980282029,-0.23929051921129862,-1.2400886987046869,-0.6003896496993888,-0.3985587015550815,0.5063868613138686,286,269,-5.856454043252199,-21.999855109254234,-0.10181663286614413,-0.44623378503060795,-0.764705643481321,214.9981981981982,"{""stop"": 291, ""time"": 264}",0
CORE_LDN_R60_CLOSE,0,rt20,751,555,1096,-23.684888068771723,-59.96518934491253,149.74472110149637,0.3279279279279279,0.65412064999964,1.3405879255487128,-3.6769385285598712,0.0,113.98571335532596,86.92181756932227,-0.25054130212412357,-0.7478279105237304,-0.3679555269675848,-2.13811458841596,-0.7587564459281406,-0.48494550384674123,0.5063868613138686,286,269,-15.858526852635267,-32.005852038344315,-0.05808056315484553,-0.25399003029934486,-0.434119636986669,214.9981981981982,"{""stop"": 291, ""time"": 264}",0
CORE_LDN_R60_CLOSE,0,rt30,751,555,1096,-33.68886283887765,-69.98515197695295,149.74565622712194,0.3099099099099099,0.5524388681146045,1.2301400377203113,-3.6769385285598712,0.0,113.98571335532596,86.92181756932227,-0.38972293706252553,-0.8555157759422085,-0.47495603326469615,-3.0223530514980106,-0.8559642998459527,-0.5548783206848389,0.5063868613138686,286,269,-25.86059966201833,-42.011848967434396,-0.04031951907905168,-0.175920605597564,-0.29986997370073015,214.9981981981982,"{""stop"": 291, ""time"": 264}",0
CORE_LDN_R60_CLOSE,0,db,751,555,1096,-15.281549261882743,-51.54842073399858,149.7439644574008,0.34774774774774775,0.7570159579258703,1.4198952164205443,-3.6769385285598712,0.0,113.98571335532596,86.92181756932227,-0.13362872877586598,-0.5975741303798338,-0.2615027885635186,-1.384470358304297,-0.6310646790542582,-0.41438349703776545,0.5063868613138686,286,269,-7.456785692753489,-23.600814617908643,-0.0909707805465609,-0.3985603798311733,-0.6827255517851639,214.9981981981982,"{""stop"": 291, ""time"": 264}",0
CORE_LDN_R60_CLOSE,0,db_nonfee_x2,751,555,1096,-16.882185225099693,-53.15161475512505,149.74410654841145,0.33693693693693694,0.7359824618156773,1.448350513091814,-3.6769385285598712,0.0,113.98571335532596,86.92181756932227,-0.1558977903660103,-0.6318417603234552,-0.28306988053340576,-1.5286194831200937,-0.659389386026183,-0.4292909266242961,0.5063868613138686,286,269,-9.05711734225478,-25.201774126563055,-0.08218156497666267,-0.35992700894409485,-0.6162908745347146,214.9981981981982,"{""stop"": 291, ""time"": 264}",0
