seed,trades,mean_bp_gross,mean_bp_db
10172,735,7.930634432886392,-3.733460280961311
10173,735,2.9266244562832653,-8.617491155372669
10174,735,10.787992813647184,-0.7269106941121406
10175,735,-3.521937708532103,-15.074975155387914
10176,735,10.363288562214084,-1.1269199426261856
10177,735,-0.8529716114034013,-12.383584116185121
10178,735,-0.8162499829479097,-12.338347557799587
10179,735,8.168259668034636,-3.369859462935727
10180,735,11.045652784796465,-0.48838259422432945
10181,735,7.022665734531407,-4.384335313929968
10182,735,5.150821752321476,-6.521189159662528
10183,735,4.771039893320527,-6.830540273045368
10184,735,7.401643197195956,-4.207049615188405
10185,735,-5.699268720946244,-17.21357591278207
10186,735,1.1638235673825423,-10.42927013691657
10187,735,-1.810266169543029,-13.358928177529776
10188,735,2.3004563296400544,-9.168264215413288
10189,735,1.5104143083652484,-10.033194225754535
10190,735,-2.028445374278862,-13.60099284122109
10191,735,-4.94917229567726,-16.72407460820227
10192,735,-0.9484324863661362,-12.42001059706341
10193,735,3.3078201026917617,-8.181166836592666
10194,735,-0.46585466222037447,-11.977323084807617
10195,735,-3.9769776456556984,-15.69626258978197
10196,735,-2.7066410678405197,-14.17792713466856
10197,735,7.651447555576185,-3.818026793793207
10198,735,6.187070775110792,-5.470722495325927
10199,735,13.615526164479528,2.0888910568123182
10200,735,12.303462554978573,0.7507807039013313
10201,735,1.7961463244483082,-9.75847542206262
10202,735,-0.7553570358158778,-12.27561765162059
10203,735,1.7672443924188725,-9.883779364718958
10204,735,-1.467142008472821,-12.95422467289884
10205,735,0.3538128421979284,-11.236045591500897
10206,735,-2.74336740600028,-14.408213474034937
10207,735,7.723700934285053,-3.90585486335798
10208,735,1.7355410440332735,-9.734233857448833
10209,735,-6.066502646607854,-17.646681937884065
10210,735,-10.626599951145833,-22.156300881005578
10211,735,-5.605212033908291,-17.15478095747399
10212,735,-1.0422223124708871,-12.5984245054451
10213,735,6.064043330707621,-5.533718349752339
10214,735,-2.302954504943937,-13.868125580731455
10215,735,4.739339167024783,-6.826028433988708
10216,735,7.63938965461885,-3.9716752821420642
10217,735,-5.56106347836345,-17.129772904982676
10218,735,13.493460273808427,2.1854303217629685
10219,735,1.3160436842566514,-10.198726755815741
10220,735,-2.7430191870410594,-14.374926905014515
10221,735,3.2009599837930187,-8.428076641897034
10222,735,-1.05718192644274,-12.794748454077663
10223,735,-2.499669212112465,-14.054901174405417
10224,735,1.775655428667132,-9.834415977196125
10225,735,4.634424204985253,-7.011240592270111
10226,735,1.0668663781779884,-10.504147266335742
10227,735,1.607285755932086,-9.82220660812453
10228,735,0.033717902722208634,-11.564391017772314
10229,735,0.7702077416212213,-10.770615455768601
10230,735,-5.47701480137418,-17.108072222467264
10231,735,8.656156719341912,-2.85207498424611
10232,735,3.420307772704825,-8.09797366197958
10233,735,10.794935706936764,-0.6705076507046914
10234,735,2.9595504193179965,-8.772204362741755
10235,735,6.5960095942106935,-5.150724423991412
10236,735,-1.7257595203941805,-13.151705257044048
10237,735,4.907120491515992,-6.584389312634817
10238,735,-1.739082974103083,-13.400420842823916
10239,735,5.137316868243253,-6.34154546918144
10240,735,4.512180890190965,-6.939611055666377
10241,735,2.024860963901583,-9.562339565907386
