arm,entry_date,exit_date,exit_reason,entry_price,fr_7d_avg_pct,funding_pct,cost_pct,net_pct,resizes
base,2023-10-22,2024-08-17,neg_streak=3d,29909.8,0.0004245714285714288,11.57659999999994,0.24000000000000002,11.33659999999994,0
base,2024-08-28,2024-09-10,neg_streak=3d,59415.0,0.00046971428571428565,-0.001146000000000016,0.24000000000000002,-0.24114600000000003,0
base,2024-09-19,2025-04-28,neg_streak=3d,61759.99,0.003105,4.88007199999998,0.24000000000000002,4.6400719999999795,0
base,2025-05-10,2025-10-15,neg_streak=3d,102971.99,0.006973,2.610354999999996,0.24000000000000002,2.370354999999996,0
base,2025-10-25,2026-02-09,neg_streak=3d,111004.89,0.0010187142857142856,1.3618440000000012,0.24000000000000002,1.1218440000000012,0
base,2026-02-18,2026-03-09,neg_streak=3d,67503.52,0.0012825714285714285,0.012636000000000001,0.24000000000000002,-0.227364,0
base,2026-03-26,2026-03-30,neg_streak=3d,71336.53,0.0001518571428571432,-0.026518,0.24000000000000002,-0.26651800000000003,0
base,2026-04-06,2026-04-14,neg_streak=3d,69034.18,0.0010247142857142857,-0.011709000000000008,0.24000000000000002,-0.251709,0
base,2026-05-14,2026-06-17,neg_streak=3d,79313.61,0.003897857142857143,0.324399,0.24000000000000002,0.08439899999999997,0
base,2026-06-21,2026-09-09,end_of_sample_mark,64298.01,0.0007139999999999999,1.4192890000000002,0.24000000000000002,1.1792890000000003,0
rule,2019-10-04,2019-10-05,neg_streak=3d,8223.96,0.012635142857142859,-0.035800000000000005,0.24000000000000002,-0.27580000000000005,0
rule,2019-10-12,2019-11-28,neg_streak=3d,8258.5,0.0012160000000000014,1.459826000000001,0.24000000000000002,1.219826000000001,0
rule,2019-12-03,2019-12-19,neg_streak=3d,7294.28,0.0020650000000000017,0.035128,0.24000000000000002,-0.20487200000000003,0
rule,2019-12-24,2019-12-30,neg_streak=3d,7317.09,0.005309142857142858,0.00939900000000001,0.24000000000000002,-0.230601,0
rule,2020-01-07,2020-03-16,neg_streak=3d,7758.0,0.007442428571428572,6.308511999999992,0.24000000000000002,6.068511999999992,0
rule,2020-03-27,2020-03-31,neg_streak=3d,6737.36,0.006179428571428572,-0.25663699999999995,0.24000000000000002,-0.496637,0
rule,2020-04-09,2020-04-16,neg_streak=3d,7361.28,0.001988285714285714,0.0020490000000000013,0.24000000000000002,-0.23795100000000002,0
rule,2020-04-28,2020-09-22,neg_streak=3d,7774.62,0.005376285714285716,6.6951729999999685,0.36000000000000004,6.335172999999968,2
