date,side,exit_reason,risk_bp,gross_bp,mfe_bp,mae_bp,minutes_to_mfe,minutes_held,gave_back_bp,move_after_4h_bp,move_after_12h_bp,move_after_24h_bp
2025-03-24,1,time,53.680246490927104,60.74403743010418,128.0383430332078,-6.424740385712988,22,362,67.29430560310362,-79.75579139564177,-200.59340408535923,-12.358781239301942
2025-03-25,-1,stop,103.02487080288671,-103.02487080288671,17.180375581142798,-103.02487080288671,1,52,120.20524638402951,,,
2025-03-26,-1,time,65.39677519529046,85.03757994116992,166.27075662934456,-6.348311452284438,323,368,81.23317668817464,-39.95769320237902,-96.01534595432753,-57.375443035363425
2025-03-27,1,time,98.60449859202399,51.71047677128851,109.70429045648937,-50.151192794490655,77,359,57.99381368520086,19.092566027014065,-213.77205809314452,-377.13881785484074
2025-03-28,-1,time,53.12771809398435,154.83438726815427,181.75086391311535,-4.066856296575591,199,368,26.91647664496108,-72.88605750017699,7.593032276263108,121.98218105738299
2025-03-31,1,time,124.06782938709405,-37.50438135296215,140.05825688627857,-46.77471989557272,89,364,177.56263823924073,10.974533763612763,119.4749628340404,300.33721309692265
2025-04-01,1,stop,55.781017753059395,-55.781017753059395,1.6104442678920359,-55.781017753059395,0,12,57.39146202095143,,,
2025-04-02,1,time,162.95241579723753,120.2014387818583,170.7475653266149,-80.35179544781978,113,373,50.5461265447566,-509.0850195636104,-399.71988730241213,-568.2419316124194
2025-04-03,-1,time,111.59066802876002,-17.42534960676769,80.96799894421514,-76.84994647753696,58,351,98.39334855098284,-147.16233191747313,-243.25836930010357,-243.40500618318964
2025-04-04,1,stop,100.84692124536605,-100.84692124536605,65.51131739955926,-100.84692124536605,4,48,166.3582386449253,,,
2025-04-07,1,time,217.815927983382,81.82298195582527,482.84338089772984,-25.47124383067734,25,368,401.02039894190455,135.08925263265365,174.90340163103787,-162.88427947880092
2025-04-08,-1,time,145.72547038767522,297.7648693016795,363.5560045460286,-46.420002525572144,307,329,65.7911352443491,67.4327566611946,-103.4600328324287,-689.405227932819
2025-04-09,1,stop,149.8069220775712,-149.8069220775712,40.41106167848978,-149.8069220775712,2,58,190.21798375606096,,,
2025-04-10,-1,time,141.5936882162273,131.81364619551334,279.9521534065907,-139.374895413048,120,358,148.13850721107735,6.296909184439063,-198.65013108231116,-520.4122740147128
2025-04-11,-1,stop,165.81806998359903,-165.81806998359903,77.39885183160162,-165.81806998359903,6,195,243.21692181520064,,,
2025-04-14,-1,stop,105.53606687358823,-105.53606687358823,11.875482181426719,-105.53606687358823,0,42,117.41154905501494,,,
2025-04-15,1,stop,91.68139297352306,-91.68139297352306,10.375966667207756,-91.68139297352306,4,7,102.05735964073082,,,
2025-04-16,1,stop,97.37285521038415,-97.37285521038415,144.7065524361013,-97.37285521038415,188,215,242.07940764648544,,,
2025-04-17,-1,stop,49.44207027540361,-49.44207027540361,64.1025641025641,-49.44207027540361,33,68,113.54463437796771,,,
2025-04-21,1,stop,86.84678064427118,-86.84678064427118,89.12891914497298,-86.84678064427118,16,166,175.97569978924417,,,
2025-04-22,1,time,102.96691852606791,121.2359575458114,157.8294298819,-46.20992222640822,255,374,36.59347233608861,226.96151204271914,304.258713522856,230.4513527287221
