symbol,policy,block,scenario,sessions,trades,days,mean_bp,median_bp,sd_bp,win_rate,profit_factor,payoff,mean_gross_bp,mean_funding_bp,mean_risk_bp,median_risk_bp,mean_R,total_return,ann_return,sharpe_daily_ann,max_drawdown,mar,exposure_days,long_trades,short_trades,long_mean_bp,short_mean_bp,best1_share,best5_share,best10_share,mean_bars_held,flagged_trades,exit_reasons
BTCUSDT,CTL_PLACEBO_M60,lockbox,db,421,416,621,-5.024593679528187,-39.51988322078428,123.05954196717767,0.2091346153846154,0.8855382555443202,3.348759610046912,6.532329626797256,0.04185390627122668,50.56271927112944,38.179104385314574,-0.1600962374312311,-0.21327898241499332,-0.1315047828085899,-0.6385366832314693,-0.2881416342030987,-0.45638938354843167,0.6698872785829307,185,231,-6.689847578229509,-3.690948782299852,-0.37081445633374394,-1.4026045956054038,-2.4146513016302293,128.66346153846155,0,"{""stop"": 314, ""time"": 102}"
BTCUSDT,CTL_PLACEBO_P60,development,gross,752,741,1096,7.197238932195143,-36.96899823896858,147.68614700673874,0.31309041835357626,1.1613297056758145,2.5479173284008167,7.197238932195143,0.10278398791099483,74.93121709581624,61.633073517105785,0.10292277034676604,0.5749648926846933,0.16331401939950663,0.7654278204195197,-0.38802298909318944,0.42088748344826643,0.676094890510949,378,363,9.704553105014863,4.58631673570518,0.17112439598152027,0.7306625795681002,1.2929782445678917,190.53981106612684,0,"{""stop"": 470, ""time"": 271}"
BTCUSDT,CTL_PLACEBO_P60,development,db,752,741,1096,-4.301545262211284,-47.87770794608179,147.82704397208698,0.29959514170040485,0.9181689225157472,2.1465300485841117,7.197238932195143,0.10278398791099483,74.93121709581624,61.633073517105785,-0.12456584121322246,-0.3283582567504685,-0.12414583321762729,-0.45714741001458326,-0.55655886474831,-0.2230596637316507,0.676094890510949,378,363,-2.966763486091989,-5.6914833100710425,-0.283596945579094,-1.206740448037187,-2.13360369506775,190.53981106612684,0,"{""stop"": 470, ""time"": 271}"
BTCUSDT,CTL_PLACEBO_P60,validation,gross,497,481,731,6.015290114431135,-35.65349675502106,118.20361576464434,0.31392931392931395,1.155076744470905,2.5243399051350903,6.015290114431135,0.08549616618206127,67.0355940665682,57.343574768827104,0.21060324502174896,0.2920180579402982,0.13647054640278955,0.7885842928358192,-0.14516990607917457,0.9400746345345126,0.6580027359781122,226,255,6.855931370204537,5.270251197549608,0.23659498507505283,0.8809076226996253,1.5167993344625261,201.1081081081081,0,"{""stop"": 294, ""time"": 187}"
BTCUSDT,CTL_PLACEBO_P60,validation,db,497,481,731,-5.499461547519631,-47.27417578313897,118.2897773477426,0.29521829521829523,0.8826303680016896,2.107124610933611,6.015290114431135,0.08549616618206127,67.0355940665682,57.343574768827104,-0.021932456515947354,-0.2575237881594994,-0.1381538927417888,-0.7204885873717021,-0.3584046168718559,-0.3854690655148128,0.6580027359781122,226,255,-5.305365339880259,-5.671484068800016,-0.25492870193859163,-0.9416540104382398,-1.6138864388920218,201.1081081081081,0,"{""stop"": 294, ""time"": 187}"
BTCUSDT,CTL_PLACEBO_P60,lockbox,gross,421,414,621,5.676911883847625,-34.275155322082234,103.52952594420229,0.3743961352657005,1.1632180924324127,1.9436999092902898,5.676911883847625,-0.011126012835286275,65.7064621388929,57.0671142858224,0.07065559544077547,0.23754247027240938,0.133452400249356,0.8552751767522002,-0.20050599131176805,0.6655781175229324,0.6666666666666666,208,206,2.082583556611029,9.306136602610792,0.23364048284708436,0.9847383556115679,1.6250434700013312,206.55555555555554,0,"{""stop"": 234, ""time"": 180}"
BTCUSDT,CTL_PLACEBO_P60,lockbox,db,421,414,621,-5.932135253816138,-45.910087726046,103.56624584369042,0.34057971014492755,0.8596154652277712,1.6643618582069613,5.676911883847625,-0.011126012835286275,65.7064621388929,57.0671142858224,-0.15263117497631257,-0.23475477517081522,-0.1455188970015493,-0.8933690088942796,-0.34877632597412156,-0.4172269909522084,0.6666666666666666,208,206,-9.790804901429956,-2.0360027940895655,-0.21920875444733354,-0.9195449518396852,-1.5091360353050858,206.55555555555554,0,"{""stop"": 234, ""time"": 180}"
BTCUSDT,CTL_PLACEBO_P120,development,gross,752,742,1096,-0.9552345470816023,-38.99263034084899,141.93227699003302,0.2695417789757412,0.9792734265034573,2.653830985824369,-0.9552345470816023,-0.0434220060311007,71.34575470297268,56.8916110300918,0.026584103439625646,-0.13406335500851418,-0.04680654359796632,-0.10581894039404947,-0.3957398553964756,-0.11827604159574162,0.677007299270073,373,369,-0.5094684244545692,-1.4058328227994445,-1.288554724833235,-5.328923097330974,-9.658316793769327,176.88814016172506,0,"{""stop"": 513, ""time"": 229}"
BTCUSDT,CTL_PLACEBO_P120,development,db,752,742,1096,-12.598913504516732,-51.016242358997786,141.91430476941497,0.25202156334231807,0.7697095254984652,2.2844320141799366,-0.9552345470816023,-0.0434220060311007,71.34575470297268,56.8916110300918,-0.21992980252514494,-0.6352834760026446,-0.2853089032402898,-1.394093257721976,-0.6866357545650171,-0.4155171083699721,0.677007299270073,373,369,-12.622748332144381,-12.574820304773878,-0.096399158514449,-0.3978573805288613,-0.7195319493669522,176.88814016172506,0,"{""stop"": 513, ""time"": 229}"
BTCUSDT,CTL_PLACEBO_P120,validation,gross,497,488,731,7.624608958889915,-29.659672443481465,109.6207314149711,0.3094262295081967,1.2367978730759055,2.760270749844902,7.624608958889915,0.010694794444920315,56.59307695031958,47.01863770868823,0.08307219005323022,0.40947497907481356,0.18693443848578495,1.0852281633169838,-0.19601556826156075,0.9536713851031564,0.667578659370725,249,239,11.687368650533037,3.391859321989755,0.16023872272176284,0.735151653333468,1.2798236569559407,181.61475409836066,1,"{""stop"": 312, ""time"": 176}"
