symbol,policy,scenario,year,mean_bp,trades
BTCUSDT,CORE_LDN_R5_STOP,gross,2025,4.926282664898826,251
BTCUSDT,CORE_LDN_R5_STOP,gross,2026,5.795061457208477,176
BTCUSDT,CORE_LDN_R5_STOP,db,2020,-6.524852005314801,252
BTCUSDT,CORE_LDN_R5_STOP,db,2021,-1.6157725724245893,251
BTCUSDT,CORE_LDN_R5_STOP,db,2022,-12.93931801982213,247
BTCUSDT,CORE_LDN_R5_STOP,db,2023,-13.581898075356229,249
BTCUSDT,CORE_LDN_R5_STOP,db,2024,-4.675104115650025,252
BTCUSDT,CORE_LDN_R5_STOP,db,2025,-6.713913368659795,251
BTCUSDT,CORE_LDN_R5_STOP,db,2026,-5.799727361282057,176
BTCUSDT,CORE_LDN_R15_CLOSE,gross,2020,-5.262361050162669,247
BTCUSDT,CORE_LDN_R15_CLOSE,gross,2021,5.693976942565588,246
BTCUSDT,CORE_LDN_R15_CLOSE,gross,2022,0.3290535698689463,241
BTCUSDT,CORE_LDN_R15_CLOSE,gross,2023,-5.471786488781753,246
BTCUSDT,CORE_LDN_R15_CLOSE,gross,2024,4.845548244752728,250
BTCUSDT,CORE_LDN_R15_CLOSE,gross,2025,3.4651296105362137,248
BTCUSDT,CORE_LDN_R15_CLOSE,gross,2026,7.340190423362478,174
BTCUSDT,CORE_LDN_R15_CLOSE,db,2020,-16.611145949978248,247
BTCUSDT,CORE_LDN_R15_CLOSE,db,2021,-5.946198661238195,246
BTCUSDT,CORE_LDN_R15_CLOSE,db,2022,-11.296511474805287,241
BTCUSDT,CORE_LDN_R15_CLOSE,db,2023,-17.052733889517903,246
BTCUSDT,CORE_LDN_R15_CLOSE,db,2024,-6.738644527806823,250
BTCUSDT,CORE_LDN_R15_CLOSE,db,2025,-8.155507457043859,248
BTCUSDT,CORE_LDN_R15_CLOSE,db,2026,-4.226632066419767,174
BTCUSDT,CORE_LDN_R15_STOP,gross,2020,-0.6610676300838997,252
BTCUSDT,CORE_LDN_R15_STOP,gross,2021,4.868073189056888,250
BTCUSDT,CORE_LDN_R15_STOP,gross,2022,3.4924316768419854,245
BTCUSDT,CORE_LDN_R15_STOP,gross,2023,-2.9156061176543644,246
BTCUSDT,CORE_LDN_R15_STOP,gross,2024,7.2098683687416285,252
BTCUSDT,CORE_LDN_R15_STOP,gross,2025,3.6042324316615932,250
BTCUSDT,CORE_LDN_R15_STOP,gross,2026,8.065558735181261,174
BTCUSDT,CORE_LDN_R15_STOP,db,2020,-11.976486293256947,252
BTCUSDT,CORE_LDN_R15_STOP,db,2021,-6.744309757227347,250
BTCUSDT,CORE_LDN_R15_STOP,db,2022,-8.136894478797458,245
BTCUSDT,CORE_LDN_R15_STOP,db,2023,-14.508814792360463,246
BTCUSDT,CORE_LDN_R15_STOP,db,2024,-4.369784411766666,252
BTCUSDT,CORE_LDN_R15_STOP,db,2025,-8.016597161584214,250
BTCUSDT,CORE_LDN_R15_STOP,db,2026,-3.494681425912655,174
BTCUSDT,CORE_LDN_R30_CLOSE,gross,2020,-16.815507192775645,239
BTCUSDT,CORE_LDN_R30_CLOSE,gross,2021,6.711932713682549,234
BTCUSDT,CORE_LDN_R30_CLOSE,gross,2022,-2.4564091432490844,221
BTCUSDT,CORE_LDN_R30_CLOSE,gross,2023,-1.092652411806813,236
BTCUSDT,CORE_LDN_R30_CLOSE,gross,2024,7.030210323746333,240
BTCUSDT,CORE_LDN_R30_CLOSE,gross,2025,2.110494417309807,242
