arm,fill_mode,direction,filled,r,kind
d0.0,touch,short,True,2.803565378050625,target
d0.2,touch,short,True,2.7943793977437545,target
d0.2,through,short,True,2.7943793977437545,target
d0.4,touch,short,True,2.784296919768036,target
d0.4,through,short,True,2.784296919768036,target
d0.6,touch,short,True,2.7731799721442285,target
d0.6,through,short,True,2.7731799721442285,target
d0.8,touch,short,True,2.760860739882802,target
d0.8,through,short,True,2.760860739882802,target
d1.0,touch,short,True,2.7471330350160423,target
d1.0,through,short,True,2.7471330350160423,target
d0.0,touch,short,True,-1.0603986729571981,stop
d0.2,touch,short,True,-1.07340665145368,stop
d0.2,through,short,True,-1.07340665145368,stop
d0.4,touch,short,True,-1.093408020164981,stop
d0.4,through,short,True,-1.093408020164981,stop
d0.6,touch,short,True,-1.1281158559750628,stop
d0.6,through,short,True,-1.1281158559750628,stop
d0.8,touch,short,True,-1.20317981060242,stop
d0.8,through,short,True,-1.20317981060242,stop
d1.0,touch,short,True,-1.4867321678134973,stop
d1.0,through,short,True,-1.4867321678134973,stop
d0.0,touch,long,True,2.831311972389617,target
d0.2,touch,long,True,2.8081536641048825,target
d0.2,through,long,True,2.8081536641048825,target
d0.4,touch,long,True,2.7775739445683625,target
d0.4,through,long,True,2.7775739445683625,target
d0.6,touch,long,True,2.735324680017669,target
d0.6,through,long,True,2.735324680017669,target
d0.8,touch,long,True,2.6731509559842825,target
d0.8,through,long,True,2.6731509559842825,target
d1.0,touch,long,True,2.5726095759333067,target
d1.0,through,long,True,2.5726095759333067,target
d0.0,touch,long,True,1.3914231560758448,tif
d0.2,touch,long,True,2.885178320476743,target
d0.2,through,long,True,2.885178320476743,target
d0.4,touch,long,True,2.852615228618143,target
d0.4,through,long,True,2.852615228618143,target
d0.6,touch,long,False,,
d0.6,through,long,False,,
d0.8,touch,long,False,,
d0.8,through,long,False,,
d1.0,touch,long,False,,
d1.0,through,long,False,,
d0.0,touch,long,True,-1.5331645673736538,stop
d0.2,touch,long,True,-1.590612518313791,stop
d0.2,through,long,True,-1.590612518313791,stop
d0.4,touch,long,True,-1.661964625767407,stop
d0.4,through,long,True,-1.661964625767407,stop
d0.6,touch,long,True,-1.7529637027034983,stop
d0.6,through,long,True,-1.7529637027034983,stop
d0.8,touch,long,True,-1.8730200867705207,stop
d0.8,through,long,True,-1.8730200867705207,stop
d1.0,touch,long,True,-2.0386956144371133,stop
d1.0,through,long,True,-2.0386956144371133,stop
d0.0,touch,long,True,-1.1701169862922949,stop
d0.2,touch,long,True,-1.1989538855255908,stop
d0.2,through,long,True,-1.1989538855255908,stop
d0.4,touch,long,True,-1.2396465908797016,stop
d0.4,through,long,True,-1.2396465908797016,stop
d0.6,touch,long,True,-1.301398482833212,stop
d0.6,through,long,True,-1.301398482833212,stop
d0.8,touch,long,True,-1.4062641162723168,stop
d0.8,through,long,True,-1.4062641162723168,stop
d1.0,touch,long,True,2.3763899063396168,target
d1.0,through,long,True,2.3763899063396168,target
d0.0,touch,long,True,-1.221115004775992,stop
d0.2,touch,long,True,-1.2687280955043552,stop
d0.2,through,long,True,-1.2687280955043552,stop
d0.4,touch,long,True,-1.3426250268639606,stop
d0.4,through,long,True,-1.3426250268639606,stop
d0.6,touch,long,True,-1.472867453422583,stop
d0.6,through,long,True,-1.472867453422583,stop
d0.8,touch,long,True,-1.7636064360020667,stop
d0.8,through,long,True,-1.7636064360020667,stop
d1.0,touch,long,True,-2.987706757060697,stop
d1.0,through,long,True,-2.987706757060697,stop
d0.0,touch,long,True,2.8321965344327786,target
d0.2,touch,long,True,2.8045930962820567,target
d0.2,through,long,True,2.8045930962820567,target
d0.4,touch,long,True,2.766042105722298,target
d0.4,through,long,True,2.766042105722298,target
d0.6,touch,long,True,2.7084199250739176,target
d0.6,through,long,True,2.7084199250739176,target
d0.8,touch,long,False,,
d0.8,through,long,False,,
d1.0,touch,long,False,,
d1.0,through,long,False,,
d0.0,touch,long,True,2.903242111833884,target
d0.2,touch,long,False,,
d0.2,through,long,False,,
d0.4,touch,long,False,,
d0.4,through,long,False,,
d0.6,touch,long,False,,
d0.6,through,long,False,,
d0.8,touch,long,False,,
d0.8,through,long,False,,
d1.0,touch,long,False,,
d1.0,through,long,False,,
d0.0,touch,long,True,-1.2750550117763206,stop
d0.2,touch,long,True,-1.2917088414469817,stop
d0.2,through,long,True,-1.2917088414469817,stop
d0.4,touch,long,True,-1.3105176732076258,stop
d0.4,through,long,True,-1.3105176732076258,stop
d0.6,touch,long,True,-1.3319287274000124,stop
d0.6,through,long,True,-1.3319287274000124,stop
d0.8,touch,long,True,-1.3565221676354444,stop
d0.8,through,long,True,-1.3565221676354444,stop
d1.0,touch,long,True,-1.3850644660530946,stop
d1.0,through,long,True,-1.3850644660530946,stop
d0.0,touch,long,True,0.3189319229875627,tif
d0.2,touch,long,True,0.613913204003919,tif
d0.2,through,long,True,0.613913204003919,tif
d0.4,touch,long,True,1.1518928630160465,tif
d0.4,through,long,True,1.1518928630160465,tif
d0.6,touch,long,True,1.9744382812815913,tif
d0.6,through,long,True,1.9744382812815913,tif
d0.8,touch,long,False,,
d0.8,through,long,False,,
d1.0,touch,long,False,,
d1.0,through,long,False,,
d0.0,touch,long,True,2.62829918839285,target
d0.2,touch,long,True,2.5659785124086913,target
d0.2,through,long,True,2.5659785124086913,target
d0.4,touch,long,True,2.4784690112930026,target
d0.4,through,long,True,2.4784690112930026,target
d0.6,touch,long,True,2.346631596326207,target
d0.6,through,long,True,2.346631596326207,target
d0.8,touch,long,False,,
d0.8,through,long,False,,
d1.0,touch,long,False,,
d1.0,through,long,False,,
d0.0,touch,long,True,-1.0884183434557198,stop
d0.2,touch,long,True,-1.1051016717469997,stop
d0.2,through,long,True,-1.1051016717469997,stop
