ts,dir,market,market_fill,shallow0.2,shallow0.2_fill,deep_single,deep_single_fill,deep_ladder,deep_ladder_fill,cascade,cascade_attempts
2025-10-01 02:30:00+00:00,long,2.8321966873138527,True,2.804593262415465,True,,False,,False,,0
2025-10-02 05:45:00+00:00,long,2.9032418918710503,True,,False,,False,,False,,0
2025-10-03 09:30:00+00:00,long,-1.275053054053298,True,-1.2917070791354293,True,-1.3850644660530946,True,-1.9331446171970839,True,-1.9331446171970839,1
2025-10-03 16:45:00+00:00,long,0.31893299615398835,True,0.6139138248389849,True,,False,,False,,0
2025-10-04 22:45:00+00:00,long,2.628298836291333,True,2.5659781280562157,True,,False,,False,,0
2025-10-05 12:00:00+00:00,long,-1.0884181869302711,True,-1.1051014941706006,True,2.55904919658116,True,2.55904919658116,True,2.55904919658116,1
2025-10-06 00:30:00+00:00,long,-1.132418498800732,True,2.848017849444168,True,,False,,False,,0
2025-11-13 14:15:00+00:00,short,2.927595978709066,True,2.9137152443769,True,2.6426854775889845,True,2.6426854775889845,True,2.6426854775889845,1
2025-11-13 21:30:00+00:00,short,1.2291691944686622,True,1.8617325617807348,True,,False,,False,,0
2025-11-15 05:30:00+00:00,short,2.9389961056018366,True,2.9297446549111408,True,,False,,False,,0
2025-11-18 18:00:00+00:00,short,2.926591406594281,True,2.9140288594565384,True,,False,,False,,0
2025-11-19 06:00:00+00:00,short,-1.045181598750129,True,-1.0505166889492277,True,-1.0947731278295987,True,-1.2814688431349426,True,-3.2390368449379148,2
2025-11-20 07:45:00+00:00,short,2.774302912887408,True,2.740724739263612,True,2.362324550773958,True,2.362324550773958,True,2.362324550773958,1
2025-11-20 14:15:00+00:00,short,2.9395091106965627,True,2.928860376141857,True,,False,,False,,0
2025-11-21 10:30:00+00:00,short,-1.0148683689687164,True,-1.0183526384279848,True,,False,,False,,0
2025-11-21 16:30:00+00:00,short,-1.018987053648896,True,-1.0231867294044372,True,,False,,False,,0
2025-11-21 23:15:00+00:00,short,-1.027361128621254,True,-1.033091627622064,True,,False,,False,,0
2025-12-02 08:00:00+00:00,long,2.907475674110915,True,2.8976215152788396,True,2.8209342025350774,True,2.8209342025350774,True,2.8209342025350774,1
2025-12-03 10:30:00+00:00,long,-1.1902782407452006,True,-1.2169096858203665,True,-1.494846409791223,True,-2.3141626309883043,True,-4.617527576644356,2
2026-01-04 03:15:00+00:00,long,1.0354353869455775,True,0.6378072376082119,True,,False,,False,,0
2026-01-05 02:15:00+00:00,long,-1.0509180116405517,True,-1.0613679727027776,True,,False,,False,,0
2026-01-06 07:00:00+00:00,long,-1.1048815650915351,True,-1.12888834340264,True,-2.6924281897982363,True,-5.0867069641565115,True,-5.0867069641565115,1
2026-01-13 09:30:00+00:00,long,-1.1331967502763403,True,-1.1567045990035805,True,2.4596720730565176,True,2.4596720730565176,True,2.4596720730565176,1
