ts,dir,era,has_zone,in_zone,poc_dist_atr,side,shallow_of_poc,bid_depth
2025-12-21 11:53:00+00:00,long,2025,True,False,-1.5601020961024192,below_zone,False,1.2662860148383421
2025-12-22 01:03:00+00:00,long,2025,True,False,-1.1079082419276598,below_zone,False,1.3123471873151653
2025-12-22 11:39:00+00:00,long,2025,True,True,-0.15607083264140867,in_zone,False,1.0257616858456409
2025-12-23 20:43:00+00:00,long,2025,True,True,0.22651565511081903,in_zone,True,0.9734942807211013
2025-12-24 19:31:00+00:00,long,2025,True,True,-1.111976548046542,in_zone,False,1.1601277658770068
2025-12-25 01:00:00+00:00,long,2025,True,True,-2.139901531728634,in_zone,False,1.3190376688475514
2025-12-25 17:27:00+00:00,long,2025,True,True,-0.9963247958736738,in_zone,False,1.2651625855856115
2025-12-25 17:56:00+00:00,long,2025,True,False,0.5925024457237145,above_zone,True,0.9037396399697301
2025-12-26 15:41:00+00:00,long,2025,True,False,1.1703783592902262,above_zone,True,0.7901538275960341
2025-12-29 04:05:00+00:00,long,2025,True,False,0.9797239780043667,above_zone,True,0.8477951484487386
2025-12-29 05:49:00+00:00,long,2025,True,False,1.4600922280066924,above_zone,True,0.8484118684708052
2025-12-29 12:56:00+00:00,short,2025,True,True,-0.19629739782037617,in_zone,False,1.0677668281165806
2025-12-30 12:36:00+00:00,long,2025,True,True,-0.018464632126791496,in_zone,False,1.0011220859729182
2025-12-31 01:18:00+00:00,long,2025,True,True,-0.007292677292692352,in_zone,False,1.0005311199801223
2026-01-02 10:05:00+00:00,long,2026,True,False,1.1116525535506556,above_zone,True,0.8938353401349032
2026-01-02 12:08:00+00:00,long,2026,True,False,0.996504248682329,above_zone,True,0.8995636501612627
2026-01-02 21:00:00+00:00,long,2026,True,False,2.361033787985239,above_zone,True,0.528029683024556
2026-01-05 11:32:00+00:00,long,2026,True,True,-0.11941998566599077,in_zone,False,1.011809523809521
2026-01-05 12:52:00+00:00,short,2026,True,False,-9.027879085425827,below_zone,False,2.321250224537457
2026-01-05 19:23:00+00:00,short,2026,True,False,-6.8563977951696415,below_zone,False,2.7981816145316563
2026-01-08 12:51:00+00:00,long,2026,True,False,-4.17953986186071,below_zone,False,1.3178341595350087
2026-01-11 16:08:00+00:00,long,2026,True,False,1.5955842160657159,above_zone,True,0.7948164410899641
2026-01-12 19:31:00+00:00,short,2026,True,False,-3.6938534742511546,below_zone,False,3.2599476549707207
2026-01-14 00:12:00+00:00,short,2026,True,False,-7.543335958491614,below_zone,False,3.0829353406619093
2026-01-14 13:19:00+00:00,short,2026,True,True,-0.8093477863154523,in_zone,False,1.0315153954116607
2026-01-18 16:16:00+00:00,long,2026,True,True,0.9229751658597126,in_zone,True,0.7588666843195712
2026-01-18 20:59:00+00:00,short,2026,True,True,-0.7962155129529337,in_zone,False,1.3119588602613041
2026-01-19 01:59:00+00:00,long,2026,True,False,-2.7784418769838273,below_zone,False,4.018538322013467
2026-01-19 13:30:00+00:00,long,2026,True,False,-13.307197517052625,below_zone,False,5.1306350751062215
2026-01-20 00:53:00+00:00,short,2026,True,True,-0.29827982938602754,in_zone,False,1.06413261535213
2026-01-20 12:07:00+00:00,long,2026,True,False,-9.532823121695522,below_zone,False,1.5211006600730232
2026-01-20 15:13:00+00:00,short,2026,True,False,0.3674047649654767,above_zone,True,0.8983580030495802
2026-01-20 23:43:00+00:00,long,2026,True,False,-3.8935665917630518,below_zone,False,1.4436351044128979
2026-01-21 00:33:00+00:00,short,2026,True,False,3.866994898812524,above_zone,True,0.5240561654900112
2026-01-21 14:18:00+00:00,short,2026,True,False,2.6267650596835233,above_zone,True,0.41981472870989994
2026-01-22 00:37:00+00:00,long,2026,True,True,1.6078901179382392,in_zone,True,0.8626187828405163
2026-01-23 06:51:00+00:00,long,2026,True,False,-5.207146078743344,below_zone,False,2.5369530361376067
2026-01-23 21:34:00+00:00,short,2026,True,False,-0.6061966719021553,below_zone,False,1.1369330395573813
2026-01-25 20:57:00+00:00,long,2026,True,False,-3.3832851427531776,below_zone,False,2.273725115128393
2026-01-25 21:55:00+00:00,long,2026,True,False,-5.618626159218892,below_zone,False,3.064468150000154
2026-01-25 22:45:00+00:00,long,2026,True,False,-6.422326536202501,below_zone,False,2.9720436394307272
2026-01-25 23:06:00+00:00,long,2026,True,False,-5.271712576462894,below_zone,False,2.6177160270647106
2026-01-27 19:13:00+00:00,short,2026,True,False,-1.5006776851445303,below_zone,False,1.373780190635935
2026-02-01 19:50:00+00:00,short,2026,True,False,3.231207508924219,above_zone,True,0.5957946448381437
2026-02-03 21:14:00+00:00,long,2026,True,False,-4.429360518432472,below_zone,False,2.455748011561416
2026-02-04 00:27:00+00:00,long,2026,True,False,-6.829145217287173,below_zone,False,6.075911070772323
2026-02-05 14:27:00+00:00,long,2026,True,False,-5.938125242619279,below_zone,False,1.6262157374179134
2026-02-05 20:57:00+00:00,long,2026,True,False,-5.354398778201163,below_zone,False,1.83313651763024
2026-02-05 23:07:00+00:00,long,2026,True,False,-6.545168006227265,below_zone,False,2.355945049569703
2026-02-06 09:34:00+00:00,long,2026,True,False,-3.241397613690761,below_zone,False,1.1585607081181355
