variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,scope
wick_p0.5|tilt=half_after_2stops_7d|H=on,203,203,0.23581536461453975,47.87051901675157,-3.2357935594383775,14.794058439581123,78.32512315270937,26.44407941785429,21.426439598897286,BTC
wick_p1|tilt=none|H=off,203,203,0.6434849334448788,130.6274414893104,-4.0,32.6568603723276,71.42857142857143,87.20104496539821,43.42639652391221,BTC
wick_p1|tilt=none|H=on,203,203,0.4707505270792772,95.56235699709327,-3.0,31.85411899903109,71.42857142857143,62.598998831289016,32.96335816580426,BTC
wick_p1|tilt=skip_after_loss|H=off,203,146,0.6522262043661835,95.2250258374628,-3.0,31.741675279154265,74.65753424657534,59.64912659244939,35.57589924501342,BTC
wick_p1|tilt=skip_after_loss|H=on,203,146,0.46759818262184766,68.26933466278976,-2.5,27.307733865115903,74.65753424657534,42.50458698745595,25.764747675333812,BTC
wick_p1|tilt=half_after_loss|H=off,203,203,0.5562868653368798,112.9262336633866,-2.7353323451214777,41.28428264477364,71.42857142857143,73.4250857789238,39.50114788446281,BTC
wick_p1|tilt=half_after_loss|H=on,203,203,0.40352633413764294,81.91584582994152,-2.392002536395566,34.2457186326307,71.42857142857143,52.55179290937248,29.364052920569033,BTC
wick_p1|tilt=half_after_2stops_7d|H=off,203,203,0.6375099921146575,129.41452839927547,-4.0,32.35363209981887,71.42857142857143,85.48813187536325,43.92639652391221,BTC
wick_p1|tilt=half_after_2stops_7d|H=on,203,203,0.4648936777540669,94.37341658407558,-3.0,31.457805528025194,71.42857142857143,60.910058418271326,33.46335816580426,BTC
wick_p2|tilt=none|H=off,203,203,0.9022805858084525,183.16295891911585,-4.276133941509173,42.83377495291279,62.06896551724138,124.09559179036255,59.0673671287533,BTC
wick_p2|tilt=none|H=on,203,203,0.6987408947024552,141.8444016245984,-3.589474324057349,39.51676173692896,62.06896551724138,94.98130192185994,46.86309970273844,BTC
wick_p2|tilt=skip_after_loss|H=off,203,127,0.9859459490745215,125.21513553246422,-3.0,41.738378510821406,66.14173228346458,78.85299486646062,46.36214066600362,BTC
wick_p2|tilt=skip_after_loss|H=on,203,127,0.7447780621993116,94.58681389931257,-2.5,37.83472555972503,66.14173228346458,59.23317880057276,35.353635098739815,BTC
wick_p2|tilt=half_after_loss|H=off,203,203,0.7595519567772908,154.18904722579003,-3.6380669707545934,42.38213547613962,62.06896551724138,101.47429332841159,52.71475389737846,BTC
wick_p2|tilt=half_after_loss|H=on,203,203,0.582342895379091,118.21560776195548,-3.0447371620286816,38.82621108850967,62.06896551724138,77.10724036121634,41.10836740073913,BTC
wick_p2|tilt=half_after_2stops_7d|H=off,203,203,0.8956090885720523,181.80864498012662,-4.0,45.452161245031654,62.06896551724138,122.24127785137331,59.5673671287533,BTC
wick_p2|tilt=half_after_2stops_7d|H=on,203,203,0.6919316404887884,140.46212301922404,-3.339474324057349,42.06114777027759,62.06896551724138,93.09902331648559,47.36309970273844,BTC
wick_p3|tilt=none|H=off,203,203,1.0656109865085441,216.31903026123447,-4.908868811767093,44.066981326266905,58.620689655172406,148.0016029459715,68.31742731526293,BTC
wick_p3|tilt=none|H=on,203,203,0.8297433153282211,168.4378930116289,-3.589474324057349,46.92550435107605,58.620689655172406,114.82063071626972,53.617262295359176,BTC
wick_p3|tilt=skip_after_loss|H=off,203,120,1.2432761630049944,149.19313956059932,-3.0,49.731046520199776,63.33333333333333,94.68990845260895,54.50323110799038,BTC
wick_p3|tilt=skip_after_loss|H=on,203,120,0.9334849371322897,112.01819245587477,-3.051118929709986,36.71380730692208,63.33333333333333,70.48956223351098,41.52863022236378,BTC
wick_p3|tilt=half_after_loss|H=off,203,203,0.9002762803493443,182.75608491091688,-3.6380669707545934,50.23439270910682,58.620689655172406,121.34575569929024,61.41032921162666,BTC
wick_p3|tilt=half_after_loss|H=on,203,203,0.6907785356342455,140.22804273375183,-3.0447371620286816,46.055877821755594,58.620689655172406,92.65509647489036,47.57294625886148,BTC
wick_p3|tilt=half_after_2stops_7d|H=off,203,203,1.0542860809070436,214.02007442412983,-5.075735603168482,42.16533152170687,58.620689655172406,145.2026471088669,68.81742731526293,BTC
wick_p3|tilt=half_after_2stops_7d|H=on,203,203,0.8206073569320042,166.58329345719685,-3.339474324057349,49.88308856191586,58.620689655172406,112.46603116183769,54.117262295359176,BTC
base|tilt=none|H=off,143,143,1.6533133949740244,236.4238154812855,-4.0,59.10595387032137,59.44055944055944,204.3796644018248,32.044151079460654,ETH
base|tilt=none|H=on,143,143,1.0758188070679582,153.84208941071802,-4.139312613981488,37.16609586120185,59.44055944055944,127.68190623395816,26.160183176759876,ETH
base|tilt=skip_after_loss|H=off,143,85,1.8859952765527757,160.3095985069859,-4.0,40.07739962674648,64.70588235294117,142.88743933977543,17.422159167210488,ETH
base|tilt=skip_after_loss|H=on,143,85,1.2197727569674341,103.68068434223188,-3.0,34.5602281140773,64.70588235294117,86.05293909775496,17.627745244476923,ETH
base|tilt=half_after_loss|H=off,143,143,1.3871797691897603,198.3667069941357,-2.85999641890794,69.35907530607328,59.44055944055944,173.63355187080012,24.733155123335568,ETH
base|tilt=half_after_loss|H=on,143,143,0.9004292788564683,128.76138687647497,-2.5,51.50455475058999,59.44055944055944,106.86742266585654,21.8939642106184,ETH
base|tilt=half_after_2stops_7d|H=off,143,143,1.642823884484513,234.92381548128537,-4.0,58.73095387032134,59.44055944055944,201.8796644018247,33.044151079460654,ETH
base|tilt=half_after_2stops_7d|H=on,143,143,1.074070555319706,153.59208941071796,-4.139312613981531,37.10569935982208,59.44055944055944,126.43190623395809,27.160183176759876,ETH
wick_p0.5|tilt=none|H=off,143,143,0.4214538457855313,60.267899947330974,-3.6245169686793304,16.62784323211235,81.11888111888112,44.03235798576201,16.235541961568956,ETH
wick_p0.5|tilt=none|H=on,143,143,0.2726980980386815,38.99582801953146,-2.0,19.49791400976573,81.11888111888112,25.607852215722865,13.387975803808592,ETH
wick_p0.5|tilt=skip_after_loss|H=off,143,116,0.4666858894875015,54.135563180550164,-2.5490534715407662,21.23751572297466,82.75862068965517,40.66752753315325,13.468035647396917,ETH
wick_p0.5|tilt=skip_after_loss|H=on,143,116,0.2848644517567323,33.044276403780955,-2.074456892656653,15.929121747843507,82.75862068965517,22.450605073908598,10.593671329872354,ETH
wick_p0.5|tilt=half_after_loss|H=off,143,143,0.4000121088387452,57.20173156394056,-2.812258484339665,20.340140098242735,81.11888111888112,42.34994275945763,14.85178880448294,ETH
