expiry,call_inst,call_mark,entry,expiry_ts,hedge_costs_pct,hedge_pnl_pct,iv_call,iv_put,n_calls,n_puts,n_rebal,n_skip,naked_pnl_pct,pnl_pct,put_inst,put_mark,raw_premium_pct,split,spot_entry,spot_expiry,status,strike_call,strike_put,terminal
2025-04-04,BTC-4APR25-92000-C,1381.281923,2025-03-14,1743753600,0.004607175584394961,0.01675967695758119,0.5017115900758655,0.5222595365252345,18,16,3,0,3.120221118885201,2.9787669866918316,BTC-4APR25-76000-P,1237.82544375,3.120221118885201,TRAIN,83939.8,83968.2,ok,92000.0,76000.0,0.0
2025-04-05,,,2025-03-15,1743840000,,,,,7,8,,,,,,,,,84302.9,,no_pair,,,
2025-04-07,,,2025-03-17,1744012800,,,,,6,8,,,,,,,,,83962.9,,no_pair,,,
2025-04-08,,,2025-03-18,1744099200,,,,,8,8,,,,,,,,,82666.1,,no_pair,,,
2025-04-09,,,2025-03-19,1744185600,,,,,10,8,,,,,,,,,86809.8,,no_pair,,,
2025-04-10,,,2025-03-20,1744272000,,,,,8,7,,,,,,,,,84183.6,,no_pair,,,
2025-04-11,BTC-11APR25-92000-C,1086.34030443,2025-03-21,1744358400,0.0083710804883204,0.019558779440662387,0.4498619264224544,0.46335584903135896,21,18,3,0,2.144191610714061,2.0310535613449807,BTC-11APR25-75000-P,715.85917695,2.144191610714061,TRAIN,84050.3,81213.6,ok,92000.0,75000.0,0.0
2025-04-12,,,2025-03-22,1744444800,,,,,7,8,,,,,,,,,83804.9,,no_pair,,,
2025-04-18,BTC-18APR25-93000-C,1021.900176,2025-03-28,1744963200,0.0060719923977737905,-0.05544705082365164,0.4578316761180759,0.5170769865158946,22,19,3,0,2.3024145682430124,2.1118230879742965,BTC-18APR25-75000-P,920.895656,2.3024145682430124,TRAIN,84380.8,84622.9,ok,93000.0,75000.0,0.0
2025-04-23,,,2025-04-02,1745395200,,,,,5,7,,,,,,,,,82485.1,,no_pair,,,
2025-04-24,,,2025-04-03,1745481600,,,,,5,7,,,,,,,,,83181.5,,no_pair,,,
2025-04-25,BTC-25APR25-92000-C,1464.858324,2025-04-04,1745568000,0.006074398468588413,0.31424720505053816,0.5178127638064325,0.5708491341676563,42,33,3,0,1.2191900244808984,1.368756133909334,BTC-25APR25-75000-P,1291.57028,3.2868899051171394,TRAIN,83861.3,93734.0,ok,92000.0,75000.0,1734.0
2025-04-26,,,2025-04-05,1745654400,,,,,5,6,,,,,,,,,83506.1,,no_pair,,,
2025-05-02,BTC-2MAY25-92000-C,1506.294612,2025-04-11,1746172800,0.0779000788700277,2.3507983477728702,0.5430240468354895,0.5475270044989883,22,27,3,0,-1.847194819275519,0.2663308180673131,BTC-2MAY25-75000-P,1255.54575,3.31242105200034,TRAIN,83378.3,96302.0,ok,92000.0,75000.0,4302.0
2025-05-03,,,2025-04-12,1746259200,,,,,5,6,,,,,,,,,85237.8,,no_pair,,,
2025-05-09,BTC-9MAY25-92000-C,1076.25207025,2025-04-18,1746777600,0.09672582377381526,9.42132074917086,0.4346538132522256,0.45060280933976177,19,25,3,0,-11.74017765455277,-2.535504713812979,BTC-9MAY25-75000-P,609.972552,1.9973994885751176,TRAIN,84421.0,103597.4,ok,92000.0,75000.0,11597.399999999994
2025-05-13,,,2025-04-22,1747123200,,,,,5,5,,,,,,,,,93404.9,,no_pair,,,
2025-05-16,BTC-16MAY25-104000-C,1188.35391625,2025-04-25,1747382400,0.045717348066758576,1.3971029307566087,0.4574680886464193,0.43326990487985306,18,25,3,0,2.0499097641867476,3.2797980539509957,BTC-16MAY25-85000-P,750.69262807,2.0499097641867476,TRAIN,94591.8,103646.6,ok,104000.0,85000.0,0.0
2025-05-23,BTC-23MAY25-106000-C,1135.8165195,2025-05-02,1747987200,0.03671689043749831,2.803200596029089,0.43314833794720475,0.4016415727790446,20,24,3,0,-2.8732184048116696,-0.22569384069514048,BTC-23MAY25-88000-P,767.2116205,1.965304715835392,TRAIN,96831.2,110685.2,ok,106000.0,88000.0,4685.199999999997
2025-05-24,,,2025-05-03,1748073600,,,,,6,7,,,,,,,,,95803.3,,no_pair,,,
2025-05-30,BTC-30MAY25-115000-C,950.104332,2025-05-09,1748592000,0.012802028835594937,-0.11096711177852141,0.4499035943299532,0.4267265797127038,35,40,3,0,1.6051574412362701,1.3732335773850657,BTC-30MAY25-92000-P,702.275236,1.6051574412362701,TRAIN,102941.9,104997.5,ok,115000.0,92000.0,0.0
2025-06-06,BTC-6JUN25-114000-C,1028.55852,2025-05-16,1749196800,0.020784127579376328,-0.4840813494698265,0.42596929655410337,0.3814097349299118,24,19,3,0,1.8485749420764668,1.22825221676497,BTC-6JUN25-95000-P,883.09349625,1.8485749420764668,TRAIN,103412.2,103096.8,ok,114000.0,95000.0,0.0
