expiry,call_inst,call_mark,entry,expiry_ts,hedge_costs,hedge_pnl,n_calls,n_puts,n_rebal,n_skip,pnl_pct,put_inst,put_mark,split,spot_entry,status,strike_call,strike_put,terminal
2025-02-04,,,2025-01-14,1738656000,,,11,10,,,,,,,96514.9,no_pair,,,
2025-02-07,BTC-7FEB25-114000-C,3028.224096,2025-01-17,1738915200,13.807500956430031,66.0334683648256,27,18,3,0,4.555946937245255,BTC-7FEB25-94000-P,1869.0136615,TRAIN,104042.5,ok,114000.0,94000.0,0.0
2025-02-14,BTC-14FEB25-115000-C,2211.3902307,2025-01-24,1739520000,40.25727109400482,-298.1252010290534,24,16,3,0,2.921986154164651,BTC-14FEB25-94000-P,1359.48142143,TRAIN,104808.1,ok,115000.0,94000.0,0.0
2025-02-21,BTC-21FEB25-112000-C,1823.058051,2025-01-31,1740124800,32.76692040005902,-252.6899700797918,20,14,3,0,2.8482917148029827,BTC-21FEB25-94000-P,1540.815375,TRAIN,102379.7,ok,112000.0,94000.0,0.0
2025-02-28,BTC-28FEB25-106000-C,1509.887028,2025-02-07,1740729600,10.625609364019175,-96.31319788267969,40,24,3,0,-4.336211870142606,BTC-28FEB25-86000-P,1152.10564,TRAIN,96454.5,ok,106000.0,86000.0,6599.792859
2025-03-07,BTC-7MAR25-108000-C,1330.881788,2025-02-14,1741334400,70.12363260800859,-1364.4476332295467,22,11,3,0,0.7574906482136551,BTC-7MAR25-88000-P,969.299496,TRAIN,97445.1,ok,108000.0,88000.0,0.0
2025-03-21,,,2025-02-28,1742544000,,,12,13,,,,,,,84299.6,no_pair,,,
2025-03-28,BTC-28MAR25-95000-C,1489.270772,2025-03-07,1743148800,15.710267485318495,-92.07571860142866,46,34,3,0,3.345267339290328,BTC-28MAR25-80000-P,1667.414592,TRAIN,86753.8,ok,95000.0,80000.0,0.0
2025-03-29,,,2025-03-08,1743235200,,,5,5,,,,,,,86184.7,no_pair,,,
2025-04-03,,,2025-03-13,1743667200,,,5,6,,,,,,,81085.4,no_pair,,,
2025-04-04,BTC-4APR25-92000-C,1381.281923,2025-03-14,1743753600,3.8672435809369032,14.088819824956795,18,16,3,0,2.978791755509925,BTC-4APR25-76000-P,1237.82544375,TRAIN,83939.8,ok,92000.0,76000.0,0.0
2025-04-05,,,2025-03-15,1743840000,,,7,8,,,,,,,84302.9,no_pair,,,
2025-04-07,,,2025-03-17,1744012800,,,6,8,,,,,,,83962.9,no_pair,,,
2025-04-08,,,2025-03-18,1744099200,,,8,8,,,,,,,82666.1,no_pair,,,
2025-04-09,,,2025-03-19,1744185600,,,10,8,,,,,,,86809.8,no_pair,,,
2025-04-10,,,2025-03-20,1744272000,,,8,7,,,,,,,84183.6,no_pair,,,
2025-04-11,BTC-11APR25-92000-C,1086.34030443,2025-03-21,1744358400,7.043257896141467,1.7599478628000185,21,18,3,0,2.0135799716422884,BTC-11APR25-75000-P,715.85917695,TRAIN,84050.3,ok,92000.0,75000.0,0.0
2025-04-12,,,2025-03-22,1744444800,,,7,8,,,,,,,83804.9,no_pair,,,
2025-04-14,,,2025-03-24,1744617600,,,5,5,,,,,,,87463.4,no_pair,,,
2025-04-18,BTC-18APR25-93000-C,1021.900176,2025-03-28,1744963200,5.122261853647931,-44.118849995852436,22,19,3,0,2.114986306352274,BTC-18APR25-75000-P,920.895656,TRAIN,84380.8,ok,93000.0,75000.0,0.0
2025-04-23,,,2025-04-02,1745395200,,,5,7,,,,,,,82485.1,no_pair,,,
2025-04-24,,,2025-04-03,1745481600,,,5,7,,,,,,,83181.5,no_pair,,,
2025-04-25,BTC-25APR25-92000-C,1464.858324,2025-04-04,1745568000,5.105723306557048,286.8393586064747,42,33,3,0,1.4875417447379389,BTC-25APR25-75000-P,1291.57028,TRAIN,83861.3,ok,92000.0,75000.0,1657.680756
2025-04-26,,,2025-04-05,1745654400,,,5,6,,,,,,,83506.1,no_pair,,,
2025-05-02,BTC-2MAY25-92000-C,1506.294612,2025-04-11,1746172800,65.13291607255655,2322.364922937605,22,27,3,0,0.4304807725811727,BTC-2MAY25-75000-P,1255.54575,TRAIN,83378.3,ok,92000.0,75000.0,4527.262628
2025-05-03,,,2025-04-12,1746259200,,,5,6,,,,,,,85237.8,no_pair,,,
2025-05-09,BTC-9MAY25-92000-C,1076.25207025,2025-04-18,1746777600,81.3859892741051,7411.736361682554,19,25,3,0,-3.3357798355966537,BTC-9MAY25-75000-P,609.972552,TRAIN,84421.0,ok,92000.0,75000.0,11731.434351
2025-05-13,,,2025-04-22,1747123200,,,5,5,,,,,,,93404.9,no_pair,,,
2025-05-16,BTC-16MAY25-104000-C,1188.35391625,2025-04-25,1747382400,43.19521547124051,1222.250855312162,18,25,3,0,3.174879543291619,BTC-16MAY25-85000-P,750.69262807,TRAIN,94591.8,ok,104000.0,85000.0,0.0
2025-05-23,BTC-23MAY25-106000-C,1135.8165195,2025-05-02,1747987200,35.03632009191032,1680.2017327330316,21,25,3,0,-1.2776520145974424,BTC-23MAY25-88000-P,767.2116205,TRAIN,96831.2,ok,106000.0,88000.0,4670.169766
2025-05-24,,,2025-05-03,1748073600,,,6,7,,,,,,,95803.3,no_pair,,,
2025-05-30,BTC-30MAY25-115000-C,950.104332,2025-05-09,1748592000,18.1436763269109,-645.9770665319456,35,40,3,0,1.9611042306593753,BTC-30MAY25-98000-P,1901.301072,TRAIN,102941.9,ok,115000.0,98000.0,21.179403
2025-06-06,BTC-6JUN25-107000-C,2597.37,2025-05-16,1749196800,44.59102906399978,-618.6372702233941,24,20,3,0,2.690643551691779,BTC-6JUN25-96000-P,1039.823325,TRAIN,103412.2,ok,107000.0,96000.0,20.348215000000003
2025-06-13,BTC-13JUN25-109000-C,4105.569513,2025-05-23,1749801600,37.066787035515816,-877.7862021618115,17,17,3,0,3.4048217752702925,BTC-13JUN25-95000-P,690.84142912,TRAIN,107271.5,ok,109000.0,95000.0,20.899334
2025-06-20,BTC-20JUN25-108000-C,2557.05765,2025-05-30,1750406400,22.484966131420492,-472.301616663745,16,18,3,0,3.904769091721823,BTC-20JUN25-100000-P,2223.437562,TRAIN,103950.0,ok,108000.0,100000.0,20.916302
2025-06-22,,,2025-06-01,1750579200,,,5,6,,,,,,,105583.3,no_pair,,,
2025-06-23,,,2025-06-02,1750665600,,,7,7,,,,,,,105814.3,no_pair,,,
2025-06-24,,,2025-06-03,1750752000,,,5,5,,,,,,,105330.1,no_pair,,,
2025-06-27,BTC-27JUN25-111000-C,1528.953756,2025-06-06,1751011200,65.02838464445321,-1988.9541793480828,41,33,3,0,2.975024671169862,BTC-27JUN25-105000-P,3872.25017,TRAIN,104240.0,ok,111000.0,105000.0,21.475527
2025-07-04,BTC-4JUL25-112000-C,1711.356584,2025-06-13,1751616000,53.59923962157685,-1611.0491899901058,18,18,3,0,3.1950779727681615,BTC-4JUL25-106000-P,3585.35892325,TRAIN,106027.3,ok,112000.0,106000.0,21.894325
2025-07-11,BTC-11JUL25-114000-C,671.77866145,2025-06-20,1752220800,54.16125824785013,-4933.42053898361,14,23,3,0,-2.5913892211528182,BTC-11JUL25-107000-P,5760.65757419,TRAIN,103246.1,ok,114000.0,107000.0,3865.441998
2025-07-18,,,2025-06-27,1752825600,,,13,10,,,,,,,107010.7,no_pair,,,
2025-07-25,BTC-25JUL25-118000-C,855.641732,2025-07-04,1753430400,93.5616415260976,-3875.970737399211,34,33,3,0,1.1644960974014926,BTC-25JUL25-110000-P,4623.06068,TRAIN,107935.4,ok,118000.0,110000.0,23.144199999999998
2025-08-01,,,2025-07-11,1754035200,,,18,21,,,,,,,117500.0,no_pair,,,
2025-08-08,BTC-8AUG25-121000-C,3019.519515,2025-07-18,1754640000,51.86455025538553,-1639.815129691032,16,15,3,0,2.333319784661435,BTC-8AUG25-112000-P,1657.5685,TRAIN,117896.4,ok,121000.0,112000.0,23.457828
2025-08-15,BTC-15AUG25-123000-C,2304.57974565,2025-07-25,1755244800,38.09526988694516,-1203.2246479120067,18,19,3,0,2.128097873653657,BTC-15AUG25-111000-P,1651.9799338,TRAIN,117583.5,ok,123000.0,111000.0,23.700908
2025-08-22,BTC-22AUG25-116000-C,2632.755024,2025-08-01,1755849600,62.33270137295334,521.7119344470402,21,20,3,0,4.0397505378649505,BTC-22AUG25-108000-P,1703.256675,TRAIN,113244.8,ok,116000.0,108000.0,22.556283999999998
2025-08-23,,,2025-08-02,1755936000,,,5,7,,,,,,,112508.8,no_pair,,,
2025-08-26,,,2025-08-05,1756195200,,,5,6,,,,,,,114069.6,no_pair,,,
2025-08-29,BTC-29AUG25-122000-C,1582.06473,2025-08-08,1756454400,22.250554452701525,-1164.8892904396266,35,31,3,0,0.6084653193718773,BTC-29AUG25-105000-P,468.62592,TRAIN,116628.2,ok,122000.0,105000.0,22.411016
2025-08-30,,,2025-08-09,1756540800,,,5,6,,,,,,,116422.0,no_pair,,,
2025-09-05,BTC-5SEP25-112000-C,7424.277525,2025-08-15,1757059200,78.70791950032773,-6174.360017806141,21,18,3,0,0.6795317515341878,BTC-5SEP25-105000-P,601.244151,TRAIN,117279.1,ok,112000.0,105000.0,664.371906
2025-09-06,,,2025-08-16,1757145600,,,6,7,,,,,,,117329.7,no_pair,,,
2025-09-12,BTC-12SEP25-119000-C,2804.78179213,2025-08-22,1757664000,79.22095289354078,-5059.798147273248,17,16,3,0,-1.2717040236888637,BTC-12SEP25-110000-P,1056.7226997,TRAIN,116897.5,ok,119000.0,110000.0,23.091968
2025-09-19,BTC-19SEP25-120000-C,631.941407,2025-08-29,1758268800,61.75693621181761,-3589.9739107036307,13,18,3,0,2.0208346884950763,BTC-19SEP25-112000-P,5480.842421,TRAIN,108332.3,ok,120000.0,112000.0,23.453389
2025-09-26,BTC-26SEP25-115000-C,1996.78248,2025-09-05,1758873600,59.023932437697454,-2298.760297658649,49,35,3,0,0.2204721823223211,BTC-26SEP25-100000-P,776.34025,TRAIN,110614.9,ok,115000.0,100000.0,21.900793999999998
2025-10-03,BTC-3OCT25-125000-C,875.368965,2025-09-12,1759478400,96.09874022117879,-6614.481235151374,15,17,3,2,-2.528856737167052,BTC-3OCT25-116000-P,3115.6533312,TEST,115978.4,ok,125000.0,116000.0,24.052194
2025-10-08,,,2025-09-17,1759910400,,,5,5,,,,,,,116402.5,no_pair,,,
2025-10-10,BTC-10OCT25-126000-C,557.34426,2025-09-19,1760083200,107.97891690603281,-9146.93056135398,21,23,3,0,-5.207255275362456,BTC-10OCT25-115000-P,2876.24448,TEST,115569.5,ok,126000.0,115000.0,24.328785
2025-10-11,,,2025-09-20,1760169600,,,12,11,,,,,,,115624.9,no_pair,,,
2025-10-12,,,2025-09-21,1760256000,,,11,8,,,,,,,115183.9,no_pair,,,
2025-10-13,,,2025-09-22,1760342400,,,10,6,,,,,,,112604.7,no_pair,,,
2025-10-14,,,2025-09-23,1760428800,,,10,6,,,,,,,111947.0,no_pair,,,
2025-10-15,,,2025-09-24,1760515200,,,6,5,,,,,,,113253.9,no_pair,,,
2025-10-17,BTC-17OCT25-120000-C,582.963483,2025-09-26,1760688000,69.42202342476419,-6076.829611904336,26,27,3,0,-4.636783288044914,BTC-17OCT25-98000-P,605.03806,TEST,109588.5,ok,120000.0,98000.0,21.738014999999997
2025-10-18,,,2025-09-27,1760774400,,,7,8,,,,,,,109577.3,no_pair,,,
2025-10-22,,,2025-10-01,1761120000,,,8,8,,,,,,,118552.4,no_pair,,,
2025-10-23,,,2025-10-02,1761206400,,,7,5,,,,,,,120481.3,no_pair,,,
2025-10-24,BTC-24OCT25-118000-C,6943.410995,2025-10-03,1761292800,137.97294929256222,-8184.678784207304,28,24,3,0,-0.8497532547159832,BTC-24OCT25-110000-P,676.18122,TEST,122182.7,ok,118000.0,110000.0,33.294565000000006
2025-10-30,,,2025-10-09,1761811200,,,5,5,,,,,,,121579.4,no_pair,,,
2025-10-31,BTC-31OCT25-118000-C,2535.545824,2025-10-10,1761897600,45.267755693693,-2170.1082489681958,40,31,3,0,0.8587434291811559,BTC-31OCT25-102000-P,838.489972,TEST,112714.9,ok,118000.0,102000.0,21.87798
2025-11-05,,,2025-10-15,1762329600,,,9,5,,,,,,,110699.0,no_pair,,,
2025-11-06,,,2025-10-16,1762416000,,,6,5,,,,,,,108129.4,no_pair,,,
2025-11-07,BTC-7NOV25-109000-C,3628.80181,2025-10-17,1762502400,59.217682417510005,-2846.929929401268,22,21,3,0,1.6312900617428898,BTC-7NOV25-95000-P,1242.870342,TEST,106378.6,ok,109000.0,95000.0,20.203686
2025-11-08,,,2025-10-18,1762588800,,,6,8,,,,,,,107117.5,no_pair,,,
2025-11-11,,,2025-10-21,1762848000,,,6,5,,,,,,,108253.7,no_pair,,,
2025-11-13,,,2025-10-23,1763020800,,,7,5,,,,,,,110025.9,no_pair,,,
