position_id,symbol,side,side_sign,outcome,risk_dist_pct,is_btc,new_low_1d,new_high_1d,new_low_3d,new_high_3d,new_low_7d,new_high_7d,recovery_atr,min_since_4h_close,entry_vs_ema200_atr,stop_vs_ema200_atr,atr14_1h_pct,range_position,entry_vs_pdl_pct,entry_vs_pdh_pct,btc_ret_4h_pct,btc_ret_24h_pct,rs_24h_pct
FETUSDT-2026-06-02-long,FETUSDT,long,1,unknown,9.7826,False,0.0,0.0,0.0,0.0,0.0,0.0,1.4191618069133651,91.16666666666667,3.2662653367162684,1.5118463388894459,2.961535837739191,0.6084656084656099,8.150470219435753,-4.432132963988912,-0.6795609724611573,-3.6944063479623868,4.422473330124754
BTCUSDT-2026-06-02-long,BTCUSDT,long,1,unknown,4.1787,True,1.0,0.0,1.0,0.0,1.0,0.0,0.34265840803007563,51.5,-7.765477972483318,-11.122304892935635,0.6988921398085278,-0.1542018263784553,-1.7705365395203658,-6.3054792393733,,,
SEIUSDT-2026-06-02-long,SEIUSDT,long,1,unknown,5.6716,False,0.0,0.0,0.0,0.0,0.0,0.0,0.25399089398887864,155.71666666666667,1.174937020987448,-0.3032488245661656,1.762902547401835,0.13888888888889042,2.540557086011645,-6.9315182664258845,-0.8708346062726635,-4.058372048586656,8.137538085752393
NEARUSDT-2026-06-02-long,NEARUSDT,long,1,win,8.059,False,0.0,0.0,0.0,0.0,0.0,0.0,1.8713112285599407,117.81666666666666,4.665631594281313,3.204692176425979,3.3765507724005994,0.6217105263157886,17.102348249889218,-2.472324723247239,-2.308456124837832,-5.793728341839333,8.980002851643242
BTCUSDT-2026-06-03-long,BTCUSDT,long,1,loss,4.3091,True,1.0,0.0,1.0,0.0,1.0,0.0,2.6162564462973417,159.75,-7.360719137230418,-9.908379580745189,1.0552945801815559,0.9604136770745708,1.7373965808373957,-5.738336344664342,,,
DEXEUSDT-2026-06-03-short,DEXEUSDT,short,-1,win,9.5508,False,0.0,1.0,0.0,1.0,0.0,1.0,1.0995915250673496,195.71666666666667,5.069948017733742,6.638724856603864,4.397869254012993,0.5293577981651376,23.846818312697966,13.85462438456245,0.4640825221473577,-3.3909406384298957,26.957243819400556
PHAUSDT-2026-06-03-long,PHAUSDT,long,1,win,10.5263,False,0.0,1.0,0.0,0.0,0.0,0.0,1.0734360343925162,125.21666666666667,0.26647738622716866,-1.8812896761821574,2.2309078187975184,0.7432432432432435,11.046171829339563,-1.5544041450777286,-1.4215486926775656,-2.2707734266148916,6.666377822219271
BTCUSDT-2026-06-04-long-a,BTCUSDT,long,1,win,4.9039,True,1.0,0.0,1.0,0.0,1.0,0.0,0.18493644658505062,93.78333333333333,-10.08728219325395,-12.66456904986123,1.1998218791249977,0.29547518564025754,-1.4936581588364302,-6.518672826244787,,,
BTCUSDT-2026-06-04-long-b,BTCUSDT,long,1,win,5.9179,True,0.0,0.0,0.0,0.0,0.0,0.0,0.21332855557021665,142.05,-9.182251802146528,-11.959519123178792,1.3552009582448739,0.402474226804122,-2.091464899735844,-7.085984194103763,,,
DEXEUSDT-2026-06-05-short,DEXEUSDT,short,-1,loss,9.5783,False,0.0,0.0,0.0,0.0,0.0,0.0,0.9747867740704745,234.35,3.6718455984692997,5.030594866940859,3.436126875716936,0.34017278617710395,20.424960597746768,-4.193563367854002,-1.753000681295147,-0.9698030329881813,15.87742555760373
BTCUSDT-2026-06-05-long,BTCUSDT,long,1,win,4.4944,True,1.0,0.0,1.0,0.0,1.0,0.0,1.5210806658869016,56.06666666666667,-8.14054433332489,-10.040140279799344,1.5129270661049834,0.4268199764494011,1.5571001943114935,-3.7686245555284428,,,
BTCUSDT-2026-06-08-short,BTCUSDT,short,-1,win,3.7657,True,0.0,0.0,0.0,0.0,0.0,0.0,1.310463750137141,186.0,-6.69597056808092,-4.943496577921444,0.9121087058346711,0.5066213921901528,3.978058904921921,-1.7540856031128407,,,
BEATUSDT-2026-06-09-short,BEATUSDT,short,-1,loss,9.0476,False,0.0,0.0,0.0,0.0,0.0,0.0,1.8163291103859447,68.51666666666667,7.511893806469737,8.505843466042343,6.699803218185416,0.6675938803894299,28.338324268165984,-9.433962264150942,1.1053603017149083,0.8921916472347746,7.603115804429406
BTCUSDT-2026-06-09-long,BTCUSDT,long,1,win,4.7231,True,1.0,0.0,0.0,0.0,0.0,0.0,0.11589979096081345,151.16666666666666,-8.712752451705363,-11.191129563453396,0.7672583418488529,-0.059325026484386,-1.5662824438494958,-4.33082214725886,,,
BEATUSDT-2026-06-09-short-2,BEATUSDT,short,-1,unknown,8.5106,False,0.0,1.0,0.0,1.0,0.0,1.0,1.7842801862187323,55.56666666666667,6.384946099755314,7.162018260195257,7.871342718223802,0.8201146237751895,43.61669620485241,1.3477088948787062,-2.51869035121588,-4.148848387491499,10.662924835191202
