position_id,symbol,side,side_sign,outcome,risk_dist_pct,is_btc,new_low_1d,new_high_1d,new_low_3d,new_high_3d,new_low_7d,new_high_7d,recovery_atr,min_since_4h_close,entry_vs_ema200_atr,stop_vs_ema200_atr,atr14_1h_pct,range_position,entry_vs_pdl_pct,entry_vs_pdh_pct,btc_ret_4h_pct,btc_ret_24h_pct,rs_24h_pct,control_time_utc
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,1.0,0.0,1.0,0.0,1.0,0.0,1.0843616289748657,27.0,-0.590252701112509,-2.078822887372025,3.2672810222970416,0.9677419354838658,3.673047077082253,-14.505119453924916,-0.8273551831193937,-6.529488804689631,-5.014135356384198,2026-06-03 00:27:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,0.0,0.0,0.0,0.0,0.0,0.0,2.091547742177721,27.0,-4.8781913654094495,-8.33328432939039,1.2404558561654975,0.9000000000000111,3.4422403733955753,-3.4313725490196076,0.09998661596479774,-0.5744510809470915,-1.1496868500873836,2026-08-12 00:27:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,0.0,0.0,0.0,0.0,0.0,0.0,0.6370248730428067,27.0,3.204201997425078,1.2153623038104575,2.1705495055303303,0.8846153846153875,9.099756690997578,-5.837883242335151,-0.39914616147478377,2.2205041601345954,3.9729212805514447,2026-05-15 00:27:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,1.0,0.0,0.0,0.0,0.0,0.0,0.9256341053334579,27.0,-0.0273354068731138,-3.0982389075695513,1.1840645406061108,0.8333333333333334,0.9738822487826506,-5.548654244306416,0.17000579736332622,1.9894273343881386,-5.607988424213595,2026-07-22 00:27:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,0.0,0.0,0.0,0.0,0.0,0.0,0.9688243171535171,27.0,0.32303865122655073,-1.2513291545886167,2.9323263677525255,0.9565217391304395,9.885535900104053,-4.864864864864867,-2.0035580770488726,-3.914731005544736,9.78220697924228,2026-06-04 00:27:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,0.0,1.0,0.0,0.0,0.0,0.0,1.8889567919670651,27.0,2.163684542081984,-0.286103646578002,1.7949181740077143,0.9705882352941129,5.836575875486375,-0.5282405526208953,-0.33968772135135605,-0.45112874473003384,3.9614027173327626,2026-07-16 00:27:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,0.0,0.0,0.0,0.0,0.0,0.0,0.08075048569413557,27.0,-1.7018923820601402,-4.337490272097321,1.3586205642018458,0.13333333333331854,0.10982976386599559,-4.704652378463151,0.02591820786661536,-0.2121793272629069,-3.3234407255075427,2026-05-20 00:27:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,-6.122686528707134,-10.377796684021659,0.975143474532913,0.0,1.4721919302071866,-2.258403361344551,-0.18972760536658528,0.9107488204204373,-2.493027301433093,2026-08-05 00:27:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,0.0,1.0,0.0,0.0,0.0,0.0,2.1528590485077004,27.0,-2.034435223898129,-3.576264551902025,2.4365439613530495,0.6111111111111068,11.581569115815695,-4.426666666666668,3.253795033913054,4.0243419441673645,7.583355138390058,2026-06-08 00:27:00+00:00
EIGENUSDT-2026-07-14-long,EIGENUSDT,long,1,unknown,8.7137,False,0.0,1.0,0.0,0.0,0.0,0.0,1.3977187757981757,27.0,1.6153234145352802,-0.5975305430760206,2.0709586721677686,0.0,8.595284872298619,-1.2064343163538909,-0.2507999049894516,-3.0707423438492754,9.753319909481739,2026-06-02 00:27:00+00:00
