symbol,time_utc,price,field,inside_bar,dist_to_range_pct,dist_to_close_pct
BTCUSDT,2026-07-13 03:33:45+00:00,62800.0,entry_price,True,0.0,0.005732484076430804
BTCUSDT,2026-07-14 04:58:58+00:00,62700.0,entry_price,True,0.0,0.021690590111640422
BTCUSDT,2026-07-14 13:12:22+00:00,63781.6,price_ref,True,0.0,0.027280595030544006
BTCUSDT,2026-07-14 13:12:22+00:00,62775.4,entry_price,False,1.5144467418765901,1.5751393061613237
BTCUSDT,2026-07-14 21:40:11+00:00,64850.0,price_ref,True,0.0,0.21218195836545653
BTCUSDT,2026-07-14 21:40:11+00:00,64850.0,entry_price,True,0.0,0.21218195836545653
BTCUSDT,2026-07-14 21:42:23+00:00,64850.0,price_ref,True,0.0,0.21218195836545653
BTCUSDT,2026-07-16 06:01:24+00:00,64896.8,price_ref,True,0.0,0.08921857472171425
BTCUSDT,2026-07-16 06:01:24+00:00,64948.66,entry_price,True,0.0,0.16899501852694426
BTCUSDT,2026-07-16 06:01:24+00:00,64896.8,card_mark_price,True,0.0,0.08921857472171425
BTCUSDT,2026-07-17 02:03:10+00:00,63469.0,entry_price,True,0.0,0.18260883265846548
BTCUSDT,2026-07-17 02:03:10+00:00,63469.0,price_ref,True,0.0,0.18260883265846548
BTCUSDT,2026-07-17 02:04:09+00:00,63323.0,price_ref,False,0.12317799219872716,0.4135937968826516
BTCUSDT,2026-07-17 02:04:09+00:00,63323.0,entry_price,False,0.12317799219872716,0.4135937968826516
BTCUSDT,2026-07-17 18:30:23+00:00,63100.0,entry_price,False,1.2920760697305909,1.6141045958795563
BTCUSDT,2026-07-17 18:40:07+00:00,64100.0,price_ref,True,0.0,0.028861154446177848
BTCUSDT,2026-07-19 05:34:26+00:00,64900.0,price_ref,False,0.3278890600924544,0.35423728813559546
BTCUSDT,2026-07-20 00:23:14+00:00,63244.7,entry_price,False,2.4103205485993318,2.5284332125854116
BTCUSDT,2026-07-20 00:23:14+00:00,65024.1,price_ref,True,0.0,0.27728180782201617
BTCUSDT,2026-07-20 00:28:37+00:00,64883.9,price_ref,True,0.0,0.06180269681692769
BTCUSDT,2026-07-20 16:01:04+00:00,65578.6,card_mark_price,True,0.0,0.068009991064167
BTCUSDT,2026-07-20 16:01:04+00:00,65578.6,price_ref,True,0.0,0.068009991064167
BTCUSDT,2026-07-20 16:01:04+00:00,63244.7,entry_price,False,3.4020242012374253,3.6197499553322308
BTCUSDT,2026-07-21 07:53:23+00:00,66200.0,price_ref,True,0.0,0.050000000000008794
BTCUSDT,2026-07-21 07:54:47+00:00,66250.0,entry_price,False,0.01509433962264151,0.12543396226415973
BTCUSDT,2026-07-21 07:54:47+00:00,66250.0,price_ref,False,0.01509433962264151,0.12543396226415973
BTCUSDT,2026-07-21 07:56:22+00:00,66500.0,entry_price,False,0.3909774436090226,0.5009022556391065
BTCUSDT,2026-07-23 05:04:33+00:00,66137.7,entry_price,False,0.7854824101836019,0.7947055915158697
BTCUSDT,2026-07-23 05:04:33+00:00,65552.1,card_mark_price,True,0.0,0.09153024845885943
BTCUSDT,2026-07-23 05:04:33+00:00,65552.1,price_ref,True,0.0,0.09153024845885943
BTCUSDT,2026-07-23 07:18:00+00:00,66137.7,entry_price,False,1.0351131049310733,1.102396968748533
BTCUSDT,2026-07-23 07:18:00+00:00,65120.0,price_ref,False,0.3796068796068751,0.4431818181818159
BTCUSDT,2026-07-23 18:10:11+00:00,64600.0,price_ref,False,0.08405572755418407,0.17554179566563693
BTCUSDT,2026-07-23 18:28:28+00:00,64700.0,entry_price,True,0.0,0.13972179289026498
BTCUSDT,2026-07-23 18:28:28+00:00,64700.0,price_ref,True,0.0,0.13972179289026498
BTCUSDT,2026-07-24 07:16:44+00:00,64790.5,entry_price,False,1.2381444810581752,1.27055664024818
BTCUSDT,2026-07-24 07:16:44+00:00,65700.0,price_ref,True,0.0,0.13135464231355085
BTCUSDT,2026-07-24 07:16:44+00:00,65716.4,card_mark_price,True,0.0,0.1562775806343578
BTCUSDT,2026-07-24 09:23:57+00:00,64700.0,entry_price,False,0.3395672333848487,0.3738794435857828
BTCUSDT,2026-07-26 03:40:00+00:00,64350.0,entry_price,False,0.24087024087024086,0.24941724941724944
BTCUSDT,2026-07-26 16:41:03+00:00,64800.0,price_ref,True,0.0,0.00555555555555331
BTCUSDT,2026-07-26 16:41:53+00:00,64489.7,entry_price,False,0.4343329244825233,0.4755798212737916
BTCUSDT,2026-07-26 16:41:53+00:00,64791.9,price_ref,True,0.0,0.006945312608520509
BTCUSDT,2026-07-26 16:41:53+00:00,65716.4,card_mark_price,False,1.228612644636642,1.3999549579709065
BTCUSDT,2026-07-26 16:42:40+00:00,65500.0,price_ref,False,0.9022900763358779,1.0741984732824406
