ts,sleeve,r_outcome,exit_kind,cum_R
2023-03-30 17:00:00+00:00,OI_FLUSH_bull,1.41,target,3.7135856418782227
2023-04-02 19:00:00+00:00,OI_FLUSH_bull,-1.09,stop,2.623585641878223
2023-04-03 20:00:00+00:00,OI_FLUSH_bull,1.409999999999997,target,4.03358564187822
2023-04-05 15:00:00+00:00,OI_FLUSH_bull,-0.2411695562004522,tif,3.7924160856777682
2023-04-13 21:00:00+00:00,OI_FLUSH_bull,-0.1114770245399788,tif,3.6809390611377895
2023-06-06 14:00:00+00:00,FUNDING_CVD,1.04844792047381,tif,4.729386981611599
2023-06-20 17:00:00+00:00,FUNDING_CVD,5.910112753358139,target,10.639499734969739
2023-06-30 13:00:00+00:00,OI_FLUSH_bull,0.5575763612217758,tif,11.197076096191514
2023-07-11 00:00:00+00:00,OI_FLUSH_bull,-0.1914615728681507,tif,11.005614523323363
2023-07-13 23:00:00+00:00,OI_FLUSH_bull,-1.09,stop,9.915614523323363
2023-10-20 02:45:00+00:00,FUNDING_CVD,2.921791483280264,tif,12.837406006603628
2023-10-22 10:00:00+00:00,OI_FLUSH_bull,1.41,target,14.247406006603628
2023-10-25 23:00:00+00:00,OI_FLUSH_bull,-1.09,stop,13.157406006603628
2023-10-27 17:00:00+00:00,OI_FLUSH_bull,1.41,target,14.567406006603628
2023-11-01 03:00:00+00:00,OI_FLUSH_bull,1.410000000000005,target,15.977406006603633
2023-11-02 13:00:00+00:00,OI_FLUSH_bull,-1.0899999999999994,stop,14.887406006603634
2023-11-03 18:00:00+00:00,OI_FLUSH_bull,0.6817913729716576,tif,15.569197379575291
2023-11-09 16:00:00+00:00,OI_FLUSH_bull,1.4100000000000048,target,16.979197379575297
2023-11-13 21:00:00+00:00,OI_FLUSH_bull,-1.09,stop,15.889197379575297
2023-11-14 21:00:00+00:00,OI_FLUSH_bull,1.41000000000001,target,17.299197379575308
2023-11-16 19:00:00+00:00,OI_FLUSH_bull,1.4099999999999953,target,18.709197379575304
2023-11-18 22:00:00+00:00,OI_FLUSH_bull,1.4100000000000097,target,20.119197379575315
2023-11-21 23:00:00+00:00,OI_FLUSH_bull,1.4100000000000048,target,21.52919737957532
2023-12-04 15:00:00+00:00,OI_FLUSH_bull,1.4099999999999957,target,22.939197379575315
2023-12-11 01:00:00+00:00,OI_FLUSH_bull,-1.0899999999999996,stop,21.849197379575315
2023-12-14 13:00:00+00:00,OI_FLUSH_bull,-1.09,stop,20.759197379575316
2023-12-20 20:00:00+00:00,OI_FLUSH_bull,0.1294026452507642,tif,20.88860002482608
2023-12-22 09:00:00+00:00,OI_FLUSH_bull,-0.1572647788370549,tif,20.731335245989026
2024-01-10 21:00:00+00:00,OI_FLUSH_bull,1.4099999999999964,target,22.141335245989023
2024-02-09 03:00:00+00:00,FUNDING_CVD,1.832247780783092,tif,23.973583026772115
2024-02-13 13:00:00+00:00,OI_FLUSH_bull,-1.09,stop,22.883583026772115
2024-02-14 18:00:00+00:00,OI_FLUSH_bull,0.4253317259775755,tif,23.30891475274969
2024-02-15 18:00:00+00:00,OI_FLUSH_bull,-1.09,stop,22.21891475274969
2024-02-20 17:00:00+00:00,OI_FLUSH_bull,0.2793540345574331,tif,22.498268787307122
2024-02-21 20:00:00+00:00,OI_FLUSH_bull,0.0300508450637931,tif,22.528319632370916
2024-02-22 22:00:00+00:00,OI_FLUSH_bull,0.0172227747389373,tif,22.545542407109853
2024-02-28 20:00:00+00:00,OI_FLUSH_bull,1.41,target,23.955542407109853
