ts,idx,entry,oi_chg_4h,px_chg_4h,ret_30d,regime,ret_30d_backonly,regime_backonly,r_outcome,exit_kind,window_span_h,resolved
2022-06-18 21:00:00+00:00,3351,18503.9,-0.04172700705884369,-0.0056958930461743495,-0.3746780167480763,bear_30d,-0.28721699197926176,bear_30d,1.4100000000000004,target,4.0,True
2022-06-20 19:00:00+00:00,3397,20064.3,-0.021659788452190964,-0.03608386098753813,-0.3009881946757105,bear_30d,-0.29547876076179647,bear_30d,1.41,target,4.0,True
2022-06-21 20:00:00+00:00,3422,20851.2,-0.02135576661492522,-0.025189340813464245,-0.31603817197199846,bear_30d,-0.3009881946757105,bear_30d,-1.0899999999999996,stop,4.0,True
2022-06-23 17:00:00+00:00,3467,20305.9,-0.023092424779772802,-0.007148410187706733,-0.28831330056573035,bear_30d,-0.3134371445165769,bear_30d,1.4100000000000041,target,4.0,True
2022-06-24 17:00:00+00:00,3491,20962.9,-0.04162096958181949,-0.010637946413822652,-0.28119255028489976,bear_30d,-0.28831330056573035,bear_30d,1.4099999999999917,target,4.0,True
2022-06-26 15:00:00+00:00,3537,21314.2,-0.03811917138310694,-0.01775616949699299,-0.26531275329103676,bear_30d,-0.26416729464958544,bear_30d,-1.09,stop,4.0,True
2022-06-28 16:00:00+00:00,3586,20701.8,-0.03748536484324916,-0.011498094792432578,-0.31182773794002616,bear_30d,-0.28563551904282736,bear_30d,-1.09,stop,4.0,True
2022-06-29 23:00:00+00:00,3617,20109.9,-0.03998752428818231,-0.005154817676770063,-0.36614817266323096,bear_30d,-0.31182773794002616,bear_30d,-1.0899999999999999,stop,4.0,True
2022-07-03 05:00:00+00:00,3695,19034.5,-0.0254821782208825,-0.007668807607290273,-0.34959303030711386,bear_30d,-0.36784713392537394,bear_30d,1.4100000000000046,target,4.0,True
2022-07-05 14:00:00+00:00,3752,19453.4,-0.04031425221280849,-0.014114200862562654,-0.3256413428329751,bear_30d,-0.32235563715308035,bear_30d,1.41,target,4.0,True
2022-07-08 11:00:00+00:00,3821,21577.7,-0.025315485912745905,-0.009802076975673701,-0.28499130578786114,bear_30d,-0.30543959946140664,bear_30d,-1.09,stop,4.0,True
2022-07-10 16:00:00+00:00,3874,20923.0,-0.026272332966552514,-0.01777331280279404,-0.2828249827187158,bear_30d,-0.2828968574400281,bear_30d,-1.0900000000000003,stop,4.0,True
2022-07-12 19:00:00+00:00,3925,19383.6,-0.042837651095843365,-0.024817753271385468,-0.2726098920748211,bear_30d,-0.2977967181270169,bear_30d,-1.0900000000000003,stop,4.0,True
2022-07-17 14:00:00+00:00,4040,21194.0,-0.02002156866246929,-0.008597704160390629,0.01647822537676058,flat_30d,0.03904862807420262,flat_30d,-1.0899999999999999,stop,4.0,True
2022-07-18 17:00:00+00:00,4067,21875.2,-0.03497939956130536,-0.011549514703490082,0.18271386150624758,bull_30d,0.01647822537676058,flat_30d,-1.0899999999999999,stop,4.0,True
2022-07-20 00:00:00+00:00,4098,23033.6,-0.033721434451796206,-0.011246759044626464,0.12889582452200044,bull_30d,0.13721418776320005,bull_30d,1.4100000000000077,target,4.0,True
2022-07-25 05:00:00+00:00,4223,21900.1,-0.022691823713445913,-0.013482346369721787,-0.008467593648606608,flat_30d,0.06308640114548392,flat_30d,-1.0899999999999999,stop,4.0,True
2022-07-30 19:00:00+00:00,4357,23915.0,-0.042949753360600695,-0.024785097949663104,0.1860315707581499,bull_30d,0.18205958259364774,bull_30d,-1.09,stop,4.0,True
2022-07-31 21:00:00+00:00,4383,23582.0,-0.029424694919547023,-0.006165633441923779,0.20849418845994183,bull_30d,0.1860315707581499,bull_30d,-1.09,stop,4.0,True
2022-08-02 02:00:00+00:00,4412,22908.0,-0.027158638153413017,-0.010577508649024625,0.19005588965031395,bull_30d,0.2087584260611508,bull_30d,1.410000000000004,target,4.0,True
2022-08-03 22:00:00+00:00,4456,22920.1,-0.03429083529069932,-0.023721088725135342,0.12730266085254072,bull_30d,0.19005588965031395,bull_30d,-1.0899999999999996,stop,4.0,True
2022-08-09 00:00:00+00:00,4578,23782.9,-0.024388405172894867,-0.011110140914174838,0.10963949016486207,bull_30d,0.10307692307692307,bull_30d,-1.09,stop,4.0,True
2022-08-10 00:00:00+00:00,4602,22761.4,-0.03035507081436517,-0.015608308862007592,0.19978651218033217,bull_30d,0.10963949016486207,bull_30d,1.410000000000004,target,4.0,True
2022-08-11 19:00:00+00:00,4645,24213.7,-0.027161058273320382,-0.005050006985363509,0.23776451774837115,bull_30d,0.19978651218033217,bull_30d,-1.0899999999999999,stop,4.0,True
2022-08-14 11:00:00+00:00,4709,24554.2,-0.026631905013648538,-0.012582890646677614,0.16668987806810698,bull_30d,0.18710699464492242,bull_30d,-1.0900000000000003,stop,4.0,True
2022-08-19 06:00:00+00:00,4824,21898.9,-0.03704863452475293,-0.03965250338769721,-0.10320608057188374,bear_30d,-0.00858637041978294,flat_30d,-1.09,stop,4.0,True
2022-08-20 18:00:00+00:00,4860,21095.1,-0.024057459738147435,-0.007023060303234296,-0.08713517250318659,flat_30d,-0.10320608057188374,bear_30d,1.4099999999999917,target,4.0,True
2022-08-24 23:00:00+00:00,4961,21354.9,-0.023507321314767404,-0.015712718590694896,0.002577464788732442,flat_30d,-0.046627028080777566,flat_30d,-1.0899999999999996,stop,4.0,True
2022-08-26 23:00:00+00:00,5009,20228.7,-0.030623186869451313,-0.01971360034891323,-0.11823321462353586,bear_30d,0.014467303799256204,flat_30d,-1.0899999999999999,stop,4.0,True
2022-08-29 20:00:00+00:00,5078,20166.3,-0.02005669412475275,-0.006923754979834551,-0.14195574251266407,bear_30d,-0.17767793665417242,bear_30d,-1.0899999999999999,stop,4.0,True
2022-08-31 17:00:00+00:00,5123,19972.3,-0.02029857667792767,-0.015924712374664418,-0.1382816799669785,bear_30d,-0.14972026740975786,bear_30d,-1.09,stop,4.0,True
2022-09-02 19:00:00+00:00,5173,19899.3,-0.02203427836400873,-0.02189748731862684,-0.1254522728767844,bear_30d,-0.12416050419802305,bear_30d,-0.15683652188770061,tif,4.0,True
2022-09-06 21:00:00+00:00,5271,18968.5,-0.034144396543015376,-0.006270889869133822,-0.18932742858622742,bear_30d,-0.1376611036773262,bear_30d,-1.0900000000000003,stop,4.0,True
2022-09-12 03:00:00+00:00,5397,21649.2,-0.040468074065656556,-0.007841322071648782,-0.0836301117524254,flat_30d,-0.10526704254228603,bear_30d,1.4100000000000044,target,4.0,True
2022-09-13 12:00:00+00:00,5430,21397.2,-0.03310917796367152,-0.03721602030210169,-0.17006598309877707,bear_30d,-0.0836301117524254,flat_30d,-1.09,stop,4.0,True
2022-09-18 21:00:00+00:00,5559,19451.4,-0.021065285837605918,-0.008916561366322906,-0.06820681011673535,flat_30d,-0.13297764512553312,bear_30d,-1.0899999999999994,stop,4.0,True
2022-09-20 17:00:00+00:00,5603,18756.8,-0.027734638339096618,-0.008195941158430142,-0.12270292388959148,bear_30d,-0.07569174263292922,flat_30d,1.4100000000000095,target,4.0,True
2022-09-21 19:00:00+00:00,5629,18990.3,-0.0649938470617013,-0.01001954906816116,-0.13744330668162907,bear_30d,-0.12270292388959148,bear_30d,-1.0899999999999999,stop,4.0,True
2022-09-23 13:00:00+00:00,5671,18627.3,-0.023518509077903982,-0.023470511140235906,-0.09712993270865233,flat_30d,-0.09878614382243867,flat_30d,1.4099999999999908,target,4.0,True
2022-09-26 12:00:00+00:00,5742,19085.4,-0.024977017961817616,-0.009302035858517521,-0.04033180349482379,flat_30d,-0.07064220637015728,flat_30d,1.4100000000000092,target,4.0,True
2022-09-27 16:00:00+00:00,5770,19102.1,-0.05529331118773706,-0.0571566774102793,-0.024422560429722573,flat_30d,-0.04033180349482379,flat_30d,-1.0899999999999996,stop,4.0,True
