asset,entry_ts,entry_dt,exit_ts,exit_dt,year,z,premium_bp,entry_px,exit_px,stop_px,atr,R_unit,bars_held,exit_reason,ret_gross,ret_net,trade_R,diag_nostop_net,diag_nostop_R
BTC,1673348400,2023-01-10 11:00,1673521200,2023-01-12 11:00,2023,2.0276922098933277,0.2144568243343471,17252.89,18200.8,17147.571233256007,52.65938337199543,105.31876674399086,48,TimeStop,0.054942099555494756,0.05314209955549475,8.705521592639732,0.05314209955549475,8.705521592639732
BTC,1673546400,2023-01-12 18:00,1673719200,2023-01-14 18:00,2023,2.221936907773533,1.9205263838300095,18796.93,20757.99,18392.4597851305,202.23510743475066,404.4702148695013,48,TimeStop,0.1043287387887278,0.1025287387887278,4.764814453943916,0.1025287387887278,4.764814453943916
BTC,1673791200,2023-01-15 14:00,1673964000,2023-01-17 14:00,2023,2.09883660607946,3.2326995253884894,20787.58,21281.66,20458.93423179622,164.32288410189145,328.6457682037829,48,TimeStop,0.023768038415245933,0.021968038415245934,1.389527570964602,0.021968038415245934,1.3895275709646022
BTC,1674057600,2023-01-18 16:00,1674230400,2023-01-20 16:00,2023,3.9596172264204075,8.193626720816614,20845.47,21313.29,20399.661689253026,222.9041553734879,445.8083107469758,48,TimeStop,0.022442286021855093,0.020642286021855093,0.9652089107065143,0.020642286021855093,0.9652089107065143
BTC,1674244800,2023-01-20 20:00,1674417600,2023-01-22 20:00,2023,2.451128170378109,4.773790097705404,22288.37,22459.46,21909.281521656678,189.54423917166142,379.08847834332283,48,TimeStop,0.007676200637372771,0.005876200637372771,0.34548909155024715,0.005876200637372771,0.34548909155024715
BTC,1674684000,2023-01-25 22:00,1674856800,2023-01-27 22:00,2023,2.2478403948211767,5.1063570002002105,22932.2,23008.22,22393.61726451849,269.2913677407567,538.5827354815134,48,TimeStop,0.0033149894035461244,0.0015149894035461245,0.06450641231368051,0.0015149894035461245,0.06450641231368053
BTC,1676246400,2023-02-13 00:00,1676278800,2023-02-13 09:00,2023,2.630110847455705,4.130890071560238,21811.28,21585.32355550721,21585.32355550721,112.97822224639508,225.95644449279015,9,SL,-0.010359614130522792,-0.012159614130522791,-1.1737516453143328,0.013717658752718905,1.3241476545252937
BTC,1677805200,2023-03-03 01:00,1677988800,2023-03-05 04:00,2023,4.200112233674355,5.435589840502112,22150.31,22440.73,21707.296895395444,221.50655230227827,443.01310460455653,48,TimeStop,0.013111328915938343,0.011311328915938343,0.5655576311306735,0.011311328915938343,0.5655576311306735
BTC,1678395600,2023-03-09 21:00,1678442400,2023-03-10 10:00,2023,2.4353429080740154,4.145721620235583,20213.61,19770.751730689753,19770.751730689753,221.4291346551228,442.8582693102456,13,SL,-0.021908915295696666,-0.023708915295696666,-1.0821583348927202,0.005140868058699028,0.2346473108921468
BTC,1678568400,2023-03-11 21:00,1678741200,2023-03-13 21:00,2023,3.337266239583241,74.9782228574267,20353.91,24085.04,19974.02158373244,189.94420813378036,379.88841626756073,48,TimeStop,0.18331269028899122,0.18151269028899122,9.725205623005671,0.18151269028899122,9.725205623005673
BTC,1681142400,2023-04-10 16:00,1681315200,2023-04-12 16:00,2023,2.3157768550716686,9.732460649141363,29036.85,29939.02,28711.616996381377,162.61650180931136,325.2330036186227,48,TimeStop,0.031069830232962663,0.029269830232962663,2.613214712356261,0.029269830232962663,2.613214712356261
BTC,1681365600,2023-04-13 06:00,1681538400,2023-04-15 06:00,2023,2.2121859014525005,11.467011187831194,30016.54,30390.99,29691.381446803272,162.5792765983646,325.1585531967292,48,TimeStop,0.012474788899719978,0.010674788899719978,0.9854276470658864,0.010674788899719978,0.9854276470658865
BTC,1683050400,2023-05-02 18:00,1683115200,2023-05-03 12:00,2023,2.0531483486847515,8.93140057592659,28718.9,28260.84699193406,28260.84699193406,229.02650403297028,458.05300806594056,18,SL,-0.01594953177405614,-0.01774953177405614,-1.1128559775609173,0.0009971127027845112,0.06251673822841855
BTC,1683298800,2023-05-05 15:00,1683378000,2023-05-06 13:00,2023,2.1420405021692055,9.43233940071047,29356.45,28943.8040534834,28943.8040534834,206.3229732583008,412.6459465166016,22,SL,-0.014056398049375888,-0.01585639804937589,-1.12805556542132,-0.015895028520137907,-1.1308038136301657
BTC,1683500400,2023-05-07 23:00,1683507600,2023-05-08 01:00,2023,2.184541073834969,15.627802927179394,28430.1,28111.180291286157,28111.180291286157,159.4598543569202,318.9197087138404,2,SL,-0.011217678049456099,-0.013017678049456098,-1.1604610144866239,-0.03000355890411916,-2.674667499980002
BTC,1685444400,2023-05-30 11:00,1685451600,2023-05-30 13:00,2023,2.3928090532185906,6.7127267017342716,28021.4,27758.889138371014,27758.889138371014,131.25543081449314,262.5108616289863,2,SL,-0.00936822791255923,-0.011168227912559229,-1.192138792608464,-0.042070650288708,-4.49077997262507
BTC,1686369600,2023-06-10 04:00,1686373200,2023-06-10 05:00,2023,2.5610344609940205,6.8541851670154,25765.28,25469.16319315641,25469.16319315641,148.05840342179357,296.11680684358714,1,SL,-0.011492861977187411,-0.01329286197718741,-1.1566189521437644,0.00012895245073993875,0.011220220950699755
BTC,1687284000,2023-06-20 18:00,1687456800,2023-06-22 18:00,2023,3.086991395917148,16.943029952397666,28070.54,30133.99,27627.004388379664,221.7678058101678,443.5356116203356,48,TimeStop,0.07350945154599807,0.07170945154599807,4.538357180940532,0.07170945154599807,4.538357180940531
BTC,1687892400,2023-06-27 19:00,1687935600,2023-06-28 07:00,2023,2.1273803310373736,12.033399862895275,30648.03,30267.56507021035,30267.56507021035,190.2324648948254,380.4649297896508,12,SL,-0.01241400931119065,-0.01421400931119065,-1.144997474617436,-0.003856902189145509,-0.31068948737364704
BTC,1688738400,2023-07-07 14:00,1688911200,2023-07-09 14:00,2023,2.3503748238235556,7.109155125250022,30411.49,30341.02,30020.27606085364,195.60696957318092,391.21393914636184,48,TimeStop,-0.0023172162889750275,-0.004117216288975028,-0.3200568013328305,-0.004117216288975028,-0.3200568013328305
BTC,1689271200,2023-07-13 18:00,1689354000,2023-07-14 17:00,2023,3.116912567865428,5.861462166053339,31255.0,30849.9496369235,30849.9496369235,202.52518153825125,405.0503630765025,23,SL,-0.012959538092353272,-0.014759538092353272,-1.1388938392072823,-0.03165154375299947,-2.4423357937174686
BTC,1689544800,2023-07-16 22:00,1689548400,2023-07-16 23:00,2023,2.460030320390527,7.2424980285969065,30321.03,30163.73124487025,30163.73124487025,78.64937756487426,157.2987551297485,1,SL,-0.005187777431365238,-0.0069877774313652375,-1.34696939562542,-0.018334728536596498,-3.534216488499475
BTC,1691524800,2023-08-08 20:00,1691532000,2023-08-08 22:00,2023,2.484063757664443,7.871914609739341,29980.0,29701.240719546262,29701.240719546262,139.37964022686938,278.75928045373877,2,SL,-0.009298174798323483,-0.011098174798323483,-1.1935863800199282,-0.019363375583722458,-2.0824921023439718
BTC,1692306000,2023-08-17 21:00,1692478800,2023-08-19 21:00,2023,28.666653446104746,102.28567771974657,26253.92,26084.96,25560.334793102607,346.79260344869596,693.5852068973919,48,TimeStop,-0.006435610377421701,-0.0082356103774217,-0.31173827505231955,-0.0082356103774217,-0.31173827505231955
BTC,1693317600,2023-08-29 14:00,1693404000,2023-08-30 14:00,2023,2.3810810822350033,11.948917559016989,27492.03,27118.3277913659,27118.3277913659,186.85110431704996,373.7022086340999,24,SL,-0.01359311075370202,-0.015393110753702019,-1.1324200201568813,-0.013307698776699973,-0.9790031890290921
BTC,1694120400,2023-09-07 21:00,1694167200,2023-09-08 10:00,2023,2.1727834194569873,2.2438837920485404,26160.0,25902.040835026153,25902.040835026153,128.9795824869225,257.959164973845,13,SL,-0.009860824349153164,-0.011660824349153163,-1.1825405195615986,-0.012072171253822674,-1.2242557849496123
BTC,1694530800,2023-09-12 15:00,1694559600,2023-09-12 23:00,2023,2.0015092359261004,2.289554632017056,26205.97,25810.836465191467,25810.836465191467,197.56676740426636,395.1335348085327,8,SL,-0.015077996914769192,-0.016877996914769194,-1.1193792524414778,0.01682171100707205,1.1156462693393254
BTC,1694703600,2023-09-14 15:00,1694779200,2023-09-15 12:00,2023,2.799998171212341,4.75388261843356,26693.97,26366.284990387805,26366.284990387805,163.8425048060985,327.685009612197,21,SL,-0.012275619160889,-0.014075619160889,-1.146632114959618,-0.008799708173793639,-0.7168443447504559
BTC,1695038400,2023-09-18 12:00,1695056400,2023-09-18 17:00,2023,2.5002606566208616,6.813693880645805,27371.35,27118.54592460982,27118.54592460982,126.40203769508805,252.8040753901761,5,SL,-0.009236083546853804,-0.011036083546853804,-1.19488779966842,-0.01287252656518585,-1.3937213213679522
BTC,1695924000,2023-09-28 18:00,1696096800,2023-09-30 18:00,2023,2.1897893064403418,7.355521314690237,26959.34,26999.98,26623.513421033873,167.91328948306312,335.82657896612625,48,TimeStop,0.0015074553012054234,-0.0002925446987945765,-0.023484776054000484,-0.0002925446987945765,-0.023484776054000466
BTC,1696248000,2023-10-02 12:00,1696258800,2023-10-02 15:00,2023,2.9890914803702078,10.038607857302862,28320.66,28010.26161324599,28010.26161324599,155.19919337700372,310.39838675400745,3,SL,-0.010960139585518424,-0.012760139585518424,-1.1642314850057534,-0.028305032015496792,-2.582543022800198
BTC,1696532400,2023-10-05 19:00,1696705200,2023-10-07 19:00,2023,2.2350850094659878,7.171125626472712,27471.28,27865.48,27153.106840141565,159.08657992921735,318.1731598584347,48,TimeStop,0.014349531583530173,0.012549531583530173,1.0835348152980335,0.012549531583530173,1.0835348152980337
BTC,1696737600,2023-10-08 04:00,1696770000,2023-10-08 13:00,2023,2.1134377609810073,8.92774329353879,27924.19,27752.28184038864,27752.28184038864,85.95407980567836,171.90815961135672,9,SL,-0.00615624516275521,-0.00795624516275521,-1.2923860165429875,-0.01340785684383323,-2.1779276960816545
BTC,1697410800,2023-10-15 23:00,1697583600,2023-10-17 23:00,2023,3.123126668337484,11.777205325889252,27154.15,28395.91,26978.583632032318,87.78318398384184,175.56636796768368,48,TimeStop,0.045730026533697364,0.04393002653369736,6.794482017305109,0.04393002653369736,6.794482017305108
BTC,1697716800,2023-10-19 12:00,1697889600,2023-10-21 12:00,2023,2.2024057792641067,9.909709970671601,28477.12,29768.27,28234.15419554054,121.48290222972882,242.96580445945764,48,TimeStop,0.04533990796822156,0.043539907968221554,5.103150983565241,0.043539907968221554,5.103150983565242
BTC,1698076800,2023-10-23 16:00,1698249600,2023-10-25 16:00,2023,2.4997426552769775,11.030946562865436,31212.19,34480.71,30701.794775587532,255.19761220623258,510.39522441246515,48,TimeStop,0.10471934202630448,0.10291934202630448,6.29382467615727,0.10291934202630448,6.29382467615727
BTC,1698868800,2023-11-01 20:00,1698930000,2023-11-02 13:00,2023,3.6776912843996183,12.814183326704153,35406.08,34839.095424717285,34839.095424717285,283.49228764135967,566.9845752827193,17,SL,-0.01601376303964508,-0.01781376303964508,-1.1124033117977132,-0.024738998047792927,-1.5448585061828868
BTC,1699131600,2023-11-04 21:00,1699218000,2023-11-05 21:00,2023,2.321655968350791,9.011885285827226,34798.49,34552.93521453499,34552.93521453499,122.77739273250165,245.5547854650033,24,SL,-0.007056478182386843,-0.008856478182386843,-1.2550847538213852,0.004565506089488424,0.6469949982817366
BTC,1699387200,2023-11-07 20:00,1699455600,2023-11-08 15:00,2023,3.9465962440405824,13.529470887914643,35618.54,35152.53241789177,35152.53241789177,233.0037910541134,466.0075821082268,19,SL,-0.013083287021540699,-0.014883287021540698,-1.137580104834242,0.0244135955039146,1.8660139048940403
BTC,1700074800,2023-11-15 19:00,1700139600,2023-11-16 13:00,2023,3.244154680384381,12.466669991111997,37499.99,36855.37411542084,36855.37411542084,322.3079422895774,644.6158845791548,18,SL,-0.01718976150604728,-0.018989761506047278,-1.1047134946791937,-0.03320240837397548,-1.9315223403358552
BTC,1700506800,2023-11-20 19:00,1700575200,2023-11-21 14:00,2023,2.294884571100437,9.861793813712879,37569.23,36974.04518011412,36974.04518011412,297.5924099429437,595.1848198858874,19,SL,-0.01584234811003276,-0.01764234811003276,-1.1136195207615749,-0.009232944460133997,-0.5828015137659341
BTC,1700841600,2023-11-24 16:00,1701014400,2023-11-26 16:00,2023,2.06015674079346,9.698883978923757,37725.99,37161.135819576084,37161.135819576084,282.4270902119561,564.8541804239122,48,SL,-0.014972547583878221,-0.016772547583878222,-1.1202200220046863,-0.015039413995497564,-1.004465934153476
BTC,1701190800,2023-11-28 17:00,1701212400,2023-11-28 23:00,2023,6.273191038269923,22.3889873922922,38210.75,37769.826033905716,37769.826033905716,220.46198304714136,440.9239660942827,6,SL,-0.01153926489520054,-0.013339264895200539,-1.155989139373055,-0.014097324705743786,-1.2216830823952438
BTC,1702065600,2023-12-08 20:00,1702108800,2023-12-09 08:00,2023,3.1020012684608096,13.08042851871503,44363.99,43840.50713013146,43840.50713013146,261.74143493426914,523.4828698685383,12,SL,-0.011799724728739183,-0.013599724728739182,-1.152545931483973,-0.010906033970343874,-0.924261728223315
BTC,1703095200,2023-12-20 18:00,1703102400,2023-12-20 20:00,2023,2.5591413518661743,10.873379271850565,44144.51,43405.3112853352,43405.3112853352,369.59935733240303,739.1987146648061,2,SL,-0.01674497496211426,-0.01854497496211426,-1.107494935290882,-0.006206210421182657,-0.3706312153481427
BTC,1703268000,2023-12-22 18:00,1703304000,2023-12-23 04:00,2023,2.4444917764895866,10.466439135381115,43950.0,43400.378023940495,43400.378023940495,274.8109880297524,549.6219760595048,10,SL,-0.012505619478031967,-0.014305619478031967,-1.1439352927027708,-0.008406598407281014,-0.6722256679925765
BTC,1704160800,2024-01-02 02:00,1704229200,2024-01-02 21:00,2024,4.878282796603727,23.435971207801707,45378.96,44649.73869301021,44649.73869301021,364.610653494897,729.221306989794,19,SL,-0.016069590554516712,-0.01786959055451671,-1.112012810400699,-0.051172440443765156,-3.1844271495381595
BTC,1704387600,2024-01-04 17:00,1704416400,2024-01-05 01:00,2024,2.344158551879316,14.214590994636927,43990.01,43137.30970727332,43137.30970727332,426.3501463633419,852.7002927266838,8,SL,-0.019383953145877444,-0.021183953145877444,-1.0928603152542564,-0.0023976356904670147,-0.12369178115646298
BTC,1706400000,2024-01-28 00:00,1706479200,2024-01-28 22:00,2024,2.1246341095038197,2.1742832069378584,41990.85,41665.01323552675,41665.01323552675,162.91838223662575,325.8367644732515,22,SL,-0.007759708709712944,-0.009559708709712945,-1.2319674703441976,0.026091076270187395,3.362378311640573
BTC,1707339600,2024-02-07 21:00,1707512400,2024-02-09 21:00,2024,2.370732540644262,4.245692523145823,44185.96,47507.25,43660.91870779791,262.5206461010445,525.041292202089,48,TimeStop,0.07516618400958135,0.07336618400958135,6.174286327849896,0.07336618400958135,6.174286327849897
BTC,1707512400,2024-02-09 21:00,1707685200,2024-02-11 21:00,2024,2.9325507782565237,8.718669255744809,47507.25,48116.0,46697.79634660956,404.72682669521834,809.4536533904367,48,TimeStop,0.012813833678017566,0.011013833678017566,0.6464075463843991,0.011013833678017566,0.6464075463843991
BTC,1707750000,2024-02-12 15:00,1707832800,2024-02-13 14:00,2024,2.7191054852973147,12.254145815720696,49917.8,49168.33988461502,49168.33988461502,374.73005769248954,749.4601153849791,23,SL,-0.015013885134861309,-0.01681388513486131,-1.1198890216510669,0.03169907247514908,2.1113171034954727
BTC,1707940800,2024-02-14 20:00,1708113600,2024-02-16 20:00,2024,2.066288390528853,11.327988509105712,51686.14,51838.0,50828.17578608933,428.9821069553363,857.9642139106726,48,TimeStop,0.0029381184201412716,0.0011381184201412716,0.06856340514701838,0.0011381184201412716,0.06856340514701838
BTC,1708959600,2024-02-26 15:00,1709132400,2024-02-28 15:00,2024,2.648140707923536,12.87604329257324,52842.32,60966.22,52251.067219782824,295.6263901085861,591.2527802171722,48,TimeStop,0.15373851867215524,0.15193851867215524,13.579274538127263,0.15193851867215524,13.579274538127265
BTC,1709136000,2024-02-28 16:00,1709139600,2024-02-28 17:00,2024,4.415139713402659,21.361273254939185,62412.01,60909.56836559635,60909.56836559635,751.2208172018244,1502.4416344036488,1,SL,-0.024072957022272648,-0.025872957022272648,-1.074772700268382,-0.017576290492807466,-0.7301259449159342
BTC,1709319600,2024-03-01 19:00,1709492400,2024-03-03 19:00,2024,2.684448824197433,12.609397979602686,62215.5,62730.0,60893.270878843,661.1145605784972,1322.2291211569943,48,TimeStop,0.008269643416833426,0.006469643416833426,0.3044193276032134,0.006469643416833426,0.30441932760321344
BTC,1709560800,2024-03-04 14:00,1709654400,2024-03-05 16:00,2024,2.07887331045213,13.167716018624027,66169.41,64835.44029163479,64835.44029163479,666.9848541826062,1333.9697083652125,26,SL,-0.020159915410538094,-0.021959915410538093,-1.089286088921738,-0.005920635199860531,-0.293683533848841
BTC,1709744400,2024-03-06 17:00,1709917200,2024-03-08 17:00,2024,2.1918878542752807,16.782810029701555,67324.84,68340.01,64742.43077532157,1291.2046123392122,2582.4092246784244,48,TimeStop,0.015078684182539435,0.013278684182539436,0.346182657441259,0.013278684182539436,0.34618265744125903
BTC,1709920800,2024-03-08 18:00,1710093600,2024-03-10 18:00,2024,2.3248117416424736,20.477409595292656,68578.01,69233.97,66968.29843136403,804.8557843179826,1609.7115686359652,48,TimeStop,0.009565165276741137,0.007765165276741138,0.33081677014426375,0.007765165276741138,0.33081677014426386
