fid,shape,PR_reached,PR_first_hours,PR_fwd24_pct,PR_pct_from_entry,PR_minutes_before_top,PR_pct_below_top,OR_reached,OR_first_hours,OR_fwd24_pct,OR_pct_from_entry,OR_minutes_before_top,OR_pct_below_top,PR_at_top,OR_at_top
BTC:1703235600,no_spike,False,,,,,,False,,,,,,,
BTC:1704279600,spike_reversal,True,120.2,3.7490840457422125,2.9868119252942638,-5254.0,0.4330877236802033,False,,,,,,0.6052247406838241,-0.5216466131100289
BTC:1705096800,spike_reversal,True,94.55,-1.896728321628538,2.4119253302726573,-1609.0,0.38592770195500226,False,,,,,,0.8226164079822611,0.15468267779903477
BTC:1707829200,spike_reversal,True,18.916666666666668,3.073038258135208,1.6761129680763487,1779.0,-4.701942904708756,False,,,,,,4.704391648668113,-0.38192997205513296
BTC:1707933600,spike_reversal,True,5.283333333333333,0.09259366205045527,0.9241971801980498,857.0,-1.7245880550142756,False,,,,,,2.8592481845365056,0.08582259926768918
BTC:1708020000,spike_reversal,True,114.56666666666666,-3.368385931187723,1.4333540369087627,6.0,-0.6434247677097216,False,,,,,,1.600686856072438,0.7212722614343848
BTC:1708448400,spike_reversal,True,142.01666666666668,7.43629568326023,3.072854182571705,-8204.0,0.6894741047680952,True,21.15,0.6876899770508649,-0.6241917641743089,-952.0,-2.9220840990985875,0.757190982119718,-0.6333448430695177
BTC:1708545600,spike_reversal,True,0.6833333333333333,0.5398832684824884,0.8270169326616728,733.0,-1.3018933138753463,True,43.4,0.5792886618196214,-0.1734067762032554,-1830.0,-2.2811935942240513,2.7652594099694907,-0.6991081400800718
BTC:1708639200,spike_reversal,True,51.05,-0.5405885464732418,0.609538165091994,2885.0,-10.357563170647277,True,8.816666666666666,0.3406161717098177,-1.0576594356041746,5419.0,-11.843025268258911,20.48663906661616,-0.3640104655602713
BTC:1709150400,spike_reversal,True,2.3,-1.8361532238207467,3.430324378405647,23.0,-0.26502950087704535,True,129.81666666666666,-2.4729184406352855,11.671999933850952,-7628.0,7.682187848827948,0.9850058229813657,-0.02224429554844137
BTC:1709247600,spike_reversal,True,0.45,1.087111537514085,0.8194002610970363,775.0,-1.6656573705179256,True,13.9,-0.8082679105002932,2.145472548048888,-32.0,-0.3722709163346605,3.044096133751303,0.9035986428163483
BTC:1709654400,spike_reversal,True,15.183333333333334,-0.7462321284747331,2.738110295495866,24.0,-0.4588842380351288,False,,,,,,1.072135944181857,-2.5078995218231626
BTC:1710115200,spike_reversal,True,5.983333333333333,4.233405818717362,1.8245074460857769,739.0,-4.7972287007819965,True,6.233333333333333,2.1274159114366142,3.784451627955443,724.0,-2.9647413911373266,3.84569466023385,1.7053925337166203
