fid,entry_pct_of_top,P0_pct_of_top,time_stop_rel_min,spike_rel_min,entry_rel_min,top_runup_pct,lags_from,lag_step
BTC:1678903200,-2.5598563447725486,-1.3411811652035088,1931,-18,-949,2.6271064971230773,-1440,5
BTC:1679104800,-3.933514103602498,-3.117934993133087,409,-218,-2471,4.094574780058657,-1440,5
BTC:1679277600,-3.721491967194701,-1.3439501179642765,2516,-86,-364,3.8653402958079397,-1440,5
BTC:1679428800,-2.7452339688041616,-1.785441941074517,1620,-195,-1260,2.82272435668971,-1440,5
BTC:1679515200,-5.149946137540395,-0.4878896340827832,1784,-17,-1096,5.429565854552121,-1440,5
BTC:1679655600,-2.48266100495399,0.03503184713375962,2746,-114,-134,2.545866233163019,-1440,5
BTC:1679774400,-2.999620391032709,-2.0403095054794984,1862,-120,-1018,3.092380053691479,-1440,5
BTC:1679925600,-7.715660206682928,-4.401263671500233,-700,-1848,-3580,8.36074703894849,-1440,5
BTC:1680195600,-3.517730791498097,-1.1797415870176353,959,-747,-1921,3.645986791517264,-1440,5
BTC:1680462000,-2.124386825508051,-1.5059565522074214,2010,0,-870,2.1704965686607958,-1440,5
BTC:1680552000,-4.27326388888889,-3.064583333333326,1103,-1188,-1777,4.464023388334137,-1440,5
BTC:1680706800,-8.120756944672191,-6.385490800564098,-4929,-628,-7809,8.838510935252298,-1440,5
BTC:1681419600,-2.556746836665691,-2.0576966418751397,2347,-306,-533,2.62383156726107,-1440,5
BTC:1687442400,-5.601904761904752,-4.230793650793652,1387,-64,-1493,5.934340886619993,-1440,5
BTC:1688648400,-2.185889175257727,0.0795747422680515,-3247,-5,-6127,2.234738072888365,-1440,5
BTC:1689033600,-4.535007849293571,-3.3808477237048606,-1112,-228,-3992,4.750440708290582,-1440,5
BTC:1697968800,-3.579541787673446,-2.9941916747337927,1729,-281,-1151,3.712429762354952,-1440,5
BTC:1698274800,-2.15977758234277,-1.4664245794206998,-6562,-1,-9442,2.207453671888837,-1440,5
BTC:1698426000,-3.666282582649716,-2.0663146851944036,-1110,-2950,-3990,3.8058144966690577,-1440,5
BTC:1698807600,-2.323470169366504,-1.6953672444608325,2318,-1,-562,2.3787394713912224,-1440,5
BTC:1698930000,-2.756829437359576,-1.5141265585982722,-4737,-12,-7617,2.834985142307489,-1440,5
BTC:1699034400,-2.3561527581329567,-1.7963224893917995,902,-304,-1978,2.413006886441793,-1440,5
BTC:1699545600,-3.2203886079318678,-1.8043651849880216,1091,-678,-1789,3.32754860410176,-1440,5
BTC:1699909200,-2.789502416681089,-2.2758078904970502,229,0,-2651,2.8695485426254663,-1440,5
BTC:1699995600,-5.212574730703167,-3.8123643529552664,1669,-344,-1211,5.499225995319446,-1440,5
BTC:1700161200,-2.046751745830999,-0.7204108222441552,2490,0,-390,2.089519012702956,-1440,5
BTC:1700344800,-2.6934411988850937,-2.168236153079539,1417,-21,-1463,2.7679955308975934,-1440,5
BTC:1700607600,-5.657338965153114,-2.3497888067581796,1589,-1013,-1291,5.996586171195117,-1440,5
BTC:1701702000,-2.7313854853911357,-1.9653628652214872,2501,-10,-379,2.808085114629555,-1440,5
BTC:1702558800,-2.0377398440970196,-1.2706530019493623,2652,0,-228,2.0801274295366934,-1440,5
BTC:1703102400,-2.2531696789857114,-1.70420825465335,865,-1,-2015,2.305107665983619,-1440,5
BTC:1704279600,-2.4796613798148126,0.42282920911311805,922,0,-1958,2.5427120279723603,-1440,5
BTC:1705096800,-1.978282921431207,0.3091571375876123,-1184,0,-4064,2.018208801469501,-1440,5
BTC:1707829200,-6.272914735428225,-4.959041979606127,-34,-1777,-2914,6.692744917566906,-1440,5
BTC:1707933600,-2.6245294084261905,-1.7387767456819025,1706,-837,-1174,2.6952674965077916,-1440,5
BTC:1708020000,-2.0474318574369654,-0.8408220617846074,-4000,0,-6880,2.090227848296,-1440,5
BTC:1708448400,-2.312325681388383,0.6244078399141539,2563,-12,-317,2.3670598133462173,-1440,5
BTC:1708545600,-2.1114482122969402,-1.3564268981143712,2106,-5,-774,2.156991980917411,-1440,5
BTC:1708639200,-10.900657667012814,-10.440809968847342,-3068,-638,-5948,12.234273993038292,-1440,5
BTC:1709150400,-3.5727954074310286,-0.2865571679158019,2719,-36,-161,3.7051736826003268,-1440,5
BTC:1709247600,-2.464860557768922,-1.702310756972103,2078,-44,-802,2.5271513137363533,-1440,5
BTC:1709654400,-3.111790283406801,-0.48782288367696935,1945,-34,-935,3.211732668514644,-1440,5
BTC:1710115200,-6.5030868431883775,-4.825353272053778,1782,-737,-1098,6.955402722527859,-1440,5
BTC:1710468000,-2.3382294505196133,1.2417292292115523,1908,-16,-972,2.39421161152813,-1440,5
BTC:1710630000,-5.250505999501243,-2.904495131385876,1520,-824,-1360,5.541460727456338,-1440,5
BTC:1710842400,-3.7983186125818413,-1.2548098257217033,2491,-80,-389,3.9482871378156537,-1440,5
BTC:1710950400,-7.546940502738886,-6.138029897252895,2417,-445,-463,8.162997031982977,-1440,5
BTC:1711141200,-2.1847930702598717,-1.2322642739607037,2635,-18,-245,2.2335924431762244,-1440,5
BTC:1712023200,-3.32325107421495,0.6148879917264871,-902,-12,-3782,3.437487411545126,-1440,5
BTC:1717354800,-3.705403642595362,-3.1021884844876224,1811,-440,-1069,3.8479870966408924,-1440,5
BTC:1718078400,-2.838864454218315,-0.8188153310104473,836,-153,-2044,2.9218106995884785,-1440,5
BTC:1722110400,-2.0826589595375644,-0.7773121387283144,2858,0,-22,2.1269562034746725,-1440,5
BTC:1728514800,-4.500603505056522,-3.858808179935902,-914,-1519,-3794,4.712703608859781,-1440,5
BTC:1729011600,-2.3619883040935763,-1.1013157894736891,1813,-20,-1067,2.4191278202694066,-1440,5
BTC:1729191600,-3.9457493603196836,-2.880861340309926,-1703,-4227,-4583,4.1078342020709036,-1440,5
BTC:1729288800,-1.9850214185090365,-0.9950263059540498,-83,0,-2963,2.0252225192894047,-1440,5
BTC:1730473200,-8.294241971235639,-7.443286132909311,-3548,-153,-6428,9.044406970207985,-1440,5
