fid,bar_ts,entry_ts,i0,entry,entry_close_on_path,P0,OI_E,OI_0,ledger_px_chg_4h,ledger_oi_chg_4h,shape,S,T,C,hours_to_spike,hours_to_top,hours_spike_to_top,top_runup_pct,top_after_48h,fall_24h_after_top_pct,n_false_tops,max_pct_7d,min_pct_7d,first_PR_ge_1_min
BTC:1676066400,1676066400,1676070000,1637220,21560.5,21560.5,21696.2,101466.491,104357.473,-0.0062545514882791,-0.0277573786098753,spike_reversal,2380,2497,2828,39.666666666666664,41.61666666666667,1.95,2.413673152292395,False,-3.0383725301052156,1.0,17.297836321050063,-1.0319797778344686,253
BTC:1676239200,1676239200,1676242800,1640100,21782.3,21782.3,21959.9,98152.597,100401.587,-0.00808746852217,-0.0225784307672083,spike_reversal,2397,2411,2441,39.95,40.18333333333333,0.23333333333333334,2.4685180169220056,False,-2.1344086021505393,0.0,16.103441785302742,-2.0397295051486686,2390
BTC:1676588400,1676588400,1676592000,1645920,23526.6,23526.6,24879.0,108306.461,112576.353,-0.054359098034487,-0.0379477471353334,spike_reversal,874,876,890,14.566666666666666,14.6,0.03333333333333333,3.09606998036267,False,-2.2836528550814306,0.0,7.740174950906642,-0.7506397014443111,1209
BTC:1676833200,1676833200,1676836800,1650000,24512.5,24512.5,24929.7,108588.483,114319.323,-0.0167350589858682,-0.0499412141440707,spike_reversal,1104,1122,1239,18.4,18.7,0.3,2.559918408975004,False,-2.6459824980111457,0.0,3.4068332483426778,-7.394186639469657,834
BTC:1678816800,1678816800,1678820400,1683060,25007.3,25007.3,25844.3,105596.071,109583.303,-0.0323862515138734,-0.0370790902815221,spike_reversal,3291,3898,3937,54.85,64.96666666666667,10.116666666666667,7.888496559004765,True,-3.187546330615265,4.0,13.899541333930499,-4.4758930392325365,3323
BTC:1678903200,1678903200,1678906800,1684500,24418.5,24418.5,24723.9,97044.752,101289.448,-0.0123524201278925,-0.0418286390816184,spike_reversal,931,949,1099,15.516666666666667,15.816666666666666,0.3,2.6271064971230773,False,-2.170790103750997,0.0,18.275078321764227,-1.220386182607447,883
BTC:1679104800,1679104800,1679108400,1687860,27280.0,27280.0,27511.6,104309.267,108048.218,-0.0084182672036522,-0.0345525967634386,spike_reversal,2253,2471,2498,37.55,41.18333333333333,3.6333333333333333,4.094574780058657,False,-4.494841004331452,2.0,5.868768328445739,-2.65579178885631,172
BTC:1679277600,1679277600,1679281200,1690740,27423.2,27423.2,28100.4,108933.193,112152.008,-0.0240993010775647,-0.028790739215742,spike_reversal,278,364,434,4.633333333333334,6.066666666666666,1.4333333333333333,3.8653402958079397,False,-4.196157735085948,0.0,5.315936870970561,-3.038303334402992,282
BTC:1679428800,1679428800,1679432400,1693260,28058.0,28058.0,28334.9,111839.659,115872.89,-0.00977240082019,-0.0347453675263907,spike_reversal,1065,1260,1261,17.75,21.0,3.25,2.82272435668971,False,-7.833622183708844,1.0,2.933209779741963,-5.6240644379499605,988
BTC:1679515200,1679515200,1679518800,1694700,27295.0,27295.0,28636.6,103938.504,110458.609,-0.0468491371182332,-0.0590159096123863,spike_reversal,1079,1096,1226,17.983333333333334,18.266666666666666,0.2833333333333333,5.429565854552121,False,-5.089133683149738,0.0,5.429565854552121,-2.9858948525370965,1096
