asset,slot,trigger,delivery,delivery_utc,entry_ts,entry_utc,exit_ts,exit_utc,direction,hold_days,entry_dtd,entry_basis,entry_basis_ann,exit_basis,Q0,P0,Q1,P1,gross,fees,funding,net,net_ann,gross_ann,funding_ann,funding_settlements_found,funding_settlements_expected,funding_incomplete
ETH,CURRENT_QUARTER,0.08,1680249600,2023-03-31 08:00,1676898000,2023-02-20 13:00,1680246000,2023-03-31 07:00,short_qtr_long_perp,38.75,38.791666666666664,0.008681888794442755,0.08168995256640015,-0.002268167632634955,1720.66,1705.85,1790.33,1794.4,0.011067796113374762,0.0020550575959199227,-0.007239556173696396,0.0017731823437584426,0.016702233689595652,0.10425149887436873,-0.06819194847481767,116,116,False
BTC,CURRENT_QUARTER,0.08,1688112000,2023-06-30 08:00,1687399200,2023-06-22 02:00,1688108400,2023-06-30 07:00,short_qtr_long_perp,8.208333333333334,8.25,0.001983247469225235,0.08774367591117707,-0.003189300077050322,30515.5,30455.1,30661.0,30759.1,0.005204382845566096,0.002009362963838569,-0.002285789262422386,0.0009092306193051406,0.040430762564025544,0.2314233184119746,-0.10164220273512742,24,24,False
ETH,CURRENT_QUARTER,0.08,1688112000,2023-06-30 08:00,1687399200,2023-06-22 02:00,1688108400,2023-06-30 07:00,short_qtr_long_perp,8.208333333333334,8.25,0.0018969234596566125,0.08392449245753499,-0.003195802528022881,1933.1,1929.44,1880.82,1886.85,0.0050221826022057315,0.001977312069823368,-0.001622510628161539,0.0014223599042208243,0.06324808508108842,0.22332141926559496,-0.07214818833855371,24,24,False
BTC,CURRENT_QUARTER,0.08,1695974400,2023-09-29 08:00,1688468400,2023-07-04 11:00,1695970800,2023-09-29 07:00,short_qtr_long_perp,86.83333333333333,86.875,0.01916507011414682,0.08052087011986865,-0.002053886925795026,31651.7,31056.5,27112.2,27168.0,0.02096179543734806,0.0018834768888960443,-0.010179042632073816,0.008899275916378197,0.03740770490761661,0.0881119616272404,-0.04278714657244081,260,260,False
BTC,CURRENT_QUARTER,0.08,1703836800,2023-12-29 08:00,1698357600,2023-10-26 22:00,1703833200,2023-12-29 07:00,short_qtr_long_perp,63.375,63.416666666666664,0.013984992712498662,0.08049181088139835,0.04121991279585006,34715.5,34236.7,44058.7,42314.5,-0.03696033788303178,0.002268404957253474,-0.02958628016567018,-0.06881502300595543,-0.39633109896921076,-0.2128682181823527,-0.17039829996796238,190,190,False
ETH,CURRENT_QUARTER,0.08,1703836800,2023-12-29 08:00,1699538400,2023-11-09 14:00,1703833200,2023-12-29 07:00,short_qtr_long_perp,49.708333333333336,49.75,0.01181407035175879,0.08667609403802931,0.006504155551654323,2013.51,1990.0,2350.62,2335.43,0.004180904522613034,0.0021833065326633165,-0.026806350645125637,-0.02480875265517592,-0.18216653248896986,0.030699684508038703,-0.1968345613171002,149,149,False
BTC,CURRENT_QUARTER,0.08,1711699200,2024-03-29 08:00,1703840400,2023-12-29 09:00,1711695600,2024-03-29 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.04128047209797913,0.16565136764924288,-0.0006814056424968909,44465.8,42703.0,69808.0,69855.6,0.04239514788188204,0.0026559304966864154,-0.07558361672723225,-0.03584439934203663,-0.14390327141899212,0.17020233521782158,-0.3034429342486501,272,272,False
ETH,CURRENT_QUARTER,0.08,1711699200,2024-03-29 08:00,1703840400,2023-12-29 09:00,1711695600,2024-03-29 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.04219076351821779,0.16930420907905994,0.005853996445585056,2469.94,2369.95,3543.0,3522.38,0.03349015802021155,0.002511713327285386,-0.07545748953108715,-0.04447904483816099,-0.17856848431818986,0.134451780136138,-0.3029365757526688,272,272,False
BTC,CURRENT_QUARTER,0.08,1719561600,2024-06-28 08:00,1711702800,2024-03-29 09:00,1719558000,2024-06-28 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.06157676752771753,0.24709687748181658,0.02846314045327703,74100.5,69802.3,63063.2,61317.9,0.0365732934301592,0.0019217411174130366,-0.023850371344611866,0.010801180968134299,0.04336312799305979,0.1468295373273119,-0.09575126167681024,272,272,False
ETH,CURRENT_QUARTER,0.08,1719561600,2024-06-28 08:00,1711702800,2024-03-29 09:00,1719558000,2024-06-28 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.06139430729951563,0.24636469626374574,0.004001433871423705,3753.95,3536.81,3445.0,3431.27,0.057512278013237876,0.002002797718848341,-0.027048606983411598,0.028460873310977935,0.11426088460319281,0.2308925551768853,-0.10859110777941594,272,272,False
BTC,CURRENT_QUARTER,0.08,1727424000,2024-09-27 08:00,1719565200,2024-06-28 09:00,1727420400,2024-09-27 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.027852989263808716,0.11176921023864607,0.01670413164035457,63244.0,61530.2,66532.0,65438.9,0.010087729277655597,0.002086334027843238,-0.008972641743176519,-0.0009712464933641606,-0.0038992297350458503,0.04049885814494181,-0.03602215475262434,272,272,False
ETH,CURRENT_QUARTER,0.08,1727424000,2024-09-27 08:00,1719565200,2024-06-28 09:00,1727420400,2024-09-27 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.02974398028113335,0.11935742888810268,0.0008621793182382792,3542.69,3440.36,2658.35,2656.06,0.02907835226546058,0.0017872344754618701,-0.010617462058214835,0.016673655731783872,0.06693914950065386,0.11673985602448884,-0.04262555803389641,272,272,False
BTC,CURRENT_QUARTER,0.08,1735286400,2024-12-27 08:00,1727445600,2024-09-27 14:00,1735282800,2024-12-27 07:00,short_qtr_long_perp,90.70833333333333,90.75,0.02005193110292418,0.08064964024867578,0.0003208013934350362,67530.6,66203.1,95104.9,95074.4,0.019591227601124417,0.0024463582521060193,-0.04083245233208113,-0.023687582983062734,-0.09531613547617344,0.0788328680688332,-0.16430513662334897,272,272,False
ETH,CURRENT_QUARTER,0.08,1735286400,2024-12-27 08:00,1728691200,2024-10-12 00:00,1735282800,2024-12-27 07:00,short_qtr_long_perp,76.29166666666667,76.33333333333333,0.01681948424068774,0.08042504473167282,0.004822444976594806,2484.09,2443.0,3340.07,3324.04,0.010257879656160436,0.0023723291035611955,-0.0423728779115841,-0.03448732735898486,-0.1649967163652143,0.049076475034388535,-0.202723326327404,228,228,False
BTC,CURRENT_QUARTER,0.08,1743148800,2025-03-28 08:00,1735290000,2024-12-27 09:00,1743145200,2025-03-28 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.03134677642758788,0.12578917155550612,0.0008934536032243139,99776.2,96743.6,85251.2,85175.1,0.03056016108559119,0.0018964877263198804,-0.01361216687281639,0.015051506486454917,0.060426762979534865,0.1226888226900911,-0.054648295969693665,272,272,False
ETH,CURRENT_QUARTER,0.08,1743148800,2025-03-28 08:00,1735290000,2024-12-27 09:00,1743145200,2025-03-28 07:00,short_qtr_long_perp,90.91666666666667,90.95833333333333,0.030532343063581293,0.12252099186301976,0.0012205087373758157,3525.75,3421.29,1911.37,1909.04,0.029851313393486116,0.0015735950474820902,-0.012135730080846702,0.016141988265157323,0.06480468249439877,0.11984303635515049,-0.04872089619991618,272,272,False
BTC,CURRENT_QUARTER,0.08,1751011200,2025-06-27 08:00,1748592000,2025-05-30 08:00,1751007600,2025-06-27 07:00,short_qtr_long_perp,27.958333333333332,28.0,0.006297940827321623,0.08209815721329973,0.011567457958431726,105791.7,105129.6,108052.5,106816.9,-0.005455171521626778,0.0020250752404651017,-0.002251676394545399,-0.00973192315663728,-0.12705163465296954,-0.07121803655655824,-0.0293959541225301,83,83,False
ETH,CURRENT_QUARTER,0.08,1751011200,2025-06-27 08:00,1749988800,2025-06-15 12:00,1751007600,2025-06-27 07:00,short_qtr_long_perp,11.791666666666666,11.833333333333334,0.002824187402460612,0.08711225931533435,0.00033180538999420177,2531.75,2524.62,2442.0,2441.19,0.002503347038366235,0.0019685259563815547,-0.0010686535804200238,-0.0005338324984353435,-0.016524285110578126,0.07748876344907499,-0.03307917089922053,35,35,False
BTC,CURRENT_QUARTER,0.08,1758873600,2025-09-26 08:00,1752994800,2025-07-20 07:00,1758870000,2025-09-26 07:00,short_qtr_long_perp,68.0,68.04166666666667,0.0150426794073449,0.08069434881098672,-0.00234583867622578,119759.1,117984.3,109001.0,109257.3,0.017215002335056493,0.0019324677096867974,-0.013066040862123174,0.0022164937632465215,0.011897356229190888,0.09240405665140618,-0.0701338958040435,204,204,False
ETH,CURRENT_QUARTER,0.08,1758873600,2025-09-26 08:00,1752998400,2025-07-20 08:00,1758870000,2025-09-26 07:00,short_qtr_long_perp,67.95833333333333,68.0,0.01524466665768229,0.08182799014785347,-0.004978915815678481,3766.71,3710.15,3917.0,3936.6,0.020527471935096925,0.002066016198805978,-0.012033738482406365,0.006427717253884581,0.03452287133294232,0.11025178059561563,-0.06463246419735118,203,203,False
ETH,CURRENT_QUARTER,0.08,1766736000,2025-12-26 08:00,1759438800,2025-10-02 21:00,1766732400,2025-12-26 07:00,short_qtr_long_perp,84.41666666666667,84.45833333333333,0.018514953007392507,0.0800152877872513,0.009700788040995752,4549.36,4466.66,2984.1,2955.43,0.01209628671087563,0.0016741312300466121,-0.00774913354945306,0.0026730219313759575,0.011557587422928622,0.052301812234585646,-0.033505631734061604,253,253,False
BTC,CURRENT_QUARTER,0.08,1766736000,2025-12-26 08:00,1759575600,2025-10-04 11:00,1766732400,2025-12-26 07:00,short_qtr_long_perp,82.83333333333333,82.875,0.018393334897141275,0.08100835278982281,0.012273698732373595,124167.2,121924.6,89518.4,88433.0,0.009491111719866187,0.0017389566994683596,-0.008055080393636721,-0.0003029253732388937,-0.0013348220671894914,0.04182200134106026,-0.03549421742870105,248,248,False
BTC,CURRENT_QUARTER,0.08,1774598400,2026-03-27 08:00,1773493200,2026-03-14 13:00,1774594800,2026-03-27 07:00,short_qtr_long_perp,12.75,12.791666666666666,0.002972601230840491,0.08482080385069284,0.011069798267780259,71023.9,70813.4,69260.0,68501.7,-0.007735824010709879,0.0019741955618569366,5.512554485450495e-05,-0.00965489402771231,-0.27639500549921514,-0.2214569226595377,0.0015781038330897495,38,38,False
ETH,CURRENT_QUARTER,0.08,1774598400,2026-03-27 08:00,1773867600,2026-03-18 21:00,1774594800,2026-03-27 07:00,short_qtr_long_perp,8.416666666666666,8.458333333333334,0.0018759510344982643,0.08095236976455564,0.004314874452166062,2205.68,2201.55,2073.86,2064.95,-0.0021711975653519815,0.0019409143557947812,0.00015283831373350595,-0.003959273607413257,-0.17169919208386206,-0.09415688451724435,0.0066280377638886735,25,25,False
ETH,CURRENT_QUARTER,0.08,1782460800,2026-06-26 08:00,1781622000,2026-06-16 15:00,1782457200,2026-06-26 07:00,short_qtr_long_perp,9.666666666666666,9.708333333333334,0.0021443687865229993,0.0806209037336544,-0.004424554696104625,1785.23,1781.41,1572.83,1579.82,0.006068226854008872,0.0018859470868581628,-0.0003907810943017048,0.0037914986728490043,0.14316176023343655,0.22912787603930054,-0.01475535511242644,29,29,False
