,realized,cycles,unrealized,equity,ret
2021-11-02,0.006414317381721269,93,-0.0018407988178240835,-3.2924360225427276,0.005747314301939088
2021-11-03,0.008062883060210427,115,-0.0040200557723118185,-3.286552396437005,0.0058836261057226835
2021-11-04,0.0036228405498123003,51,-0.021252829851268307,-3.300162329966149,-0.01360993352914397
2021-11-05,0.0024255205493883838,34,-0.02875070674124773,-3.30523468630674,-0.005072356340591
2021-11-06,-0.039950253312743475,37,6.256716198744722e-05,-3.316371665716248,-0.011136979409508196
2021-11-07,0.0008322019970660679,12,-1.5480344106989638e-05,-3.3156175112252764,0.0007541544909717146
2021-11-08,0.006152938637429924,89,0.0,-3.3094490922437396,0.00616841898153675
2021-11-09,0.006992151072340808,99,-0.00696955185685867,-3.3094264930282575,2.2599215482088653e-05
2021-11-10,-0.023936281328939425,177,-0.0005379402439420277,-3.32693116274428,-0.01750466971602238
2021-11-11,0.009034343989850632,129,-0.0018685236635492901,-3.319227402174037,0.007703760570243023
2021-11-12,0.008457442372565464,119,-0.005772126362803319,-3.314673562500725,0.004553839673311799
2021-11-13,0.0041286607666532115,58,-0.004187274545761092,-3.30896004991703,0.005713512583695124
2021-11-14,0.0069853448058189585,99,1.0559659887717428e-05,-3.297776870905562,0.011183179011467814
2021-11-15,0.006304639851684205,90,-0.018963298887410395,-3.310446089601176,-0.012669218695613882
2021-11-16,-0.07126874853951845,170,-0.006159847683225634,-3.3689113869365097,-0.05846529733533368
2021-11-17,-0.010174845122682767,119,0.0,-3.3729263843759667,-0.004014997439456991
2021-11-18,0.011757394477431371,168,-0.02677558106486359,-3.387944570963399,-0.015018186587432147
2021-11-19,-0.03323473941941941,72,0.0,-3.3944037293179545,-0.006459158354555683
2021-11-20,0.006084808779551522,87,1.7416976232792454e-05,-3.3883015035621704,0.006102225755784119
2021-11-21,0.005665106197180715,82,-0.004441165819165281,-3.387094980160388,0.001206523401782622
2021-11-22,-0.032712905816774565,151,-0.000730515177549506,-3.4160972353355463,-0.02900225517515853
2021-11-23,0.01114293500197979,161,0.0,-3.404223785156017,0.011873450179529232
2021-11-24,0.007725369689026681,112,-3.861726851861874e-05,-3.396537032735509,0.007686752420508203
2021-11-25,0.004439713880149364,64,-0.00038442285579600414,-3.392443124442637,0.004093908292871706
2021-11-26,-0.05117003929446675,153,-0.004232464948809482,-3.4474612058301175,-0.05501808138748032
2021-11-27,0.006039484154882178,88,0.00011443401686787863,-3.4370748227095578,0.010386383120559728
2021-11-28,0.008265299479834374,120,0.0,-3.428923957246591,0.008150865462966728
2021-11-29,0.005167407388273689,73,-0.003647185487270589,-3.427403735345588,0.0015202219010030937
2021-11-30,0.011540459096475525,163,-0.016206159953247774,-3.42842225071509,-0.0010185153695019267
2021-12-01,0.009509783136404257,134,-0.013858135674930617,-3.4165644433003686,0.01185780741472131
2021-12-02,-0.02742157907736233,134,-0.0007573247715074883,-3.430885211474308,-0.014320768173939236
2021-12-03,-0.027002155917063817,166,-0.001651791790375631,-3.4587818344102397,-0.02789662293593187
2021-12-04,-0.11747493675784228,369,-0.0005859128389784413,-3.5751908922166846,-0.11640905780644495
2021-12-05,0.016861930623505585,244,5.185109675490503e-06,-3.5577378636445256,0.017453028572159024
2021-12-06,0.01671180211108863,239,-0.000589885552460959,-3.5416211321955733,0.016116731448952315
2021-12-07,0.008790358423875187,127,-0.003791168862763358,-3.5360320570820005,0.005589075113572761
2021-12-08,0.007845210681780141,112,-0.0044317896036713,-3.528827467141128,0.0072045899408723635
2021-12-09,-0.03312432602746462,129,-0.0075389500134957,-3.565058953578417,-0.03623148643728902
2021-12-10,0.014254263342115252,203,-0.01742326649046068,-3.560689006713267,0.004369946865150354
2021-12-11,0.012105884279534495,174,0.0,-3.5311598559432715,0.029529150769995294
2021-12-12,0.005109987957259299,74,-0.0026137312802644035,-3.528663599266277,0.0024962566769946015
2021-12-13,-0.04013627783002836,116,-0.0007349257393634719,-3.566921071555404,-0.038257472289127126
2021-12-14,0.010174416004163949,148,-0.0005736651823660759,-3.5565853949942428,0.0103356765611613
2021-12-15,0.012432676706109258,178,-0.000792596050028168,-3.5443716491557953,0.012213745838447476
2021-12-16,0.007225652741944815,104,-0.011893958655482819,-3.548247359019305,-0.003875709863509602
2021-12-17,-0.03936271495629353,113,-0.002364591338812378,-3.5780807066589277,-0.029833347639622865
2021-12-18,0.007730068324263339,112,0.0,-3.5679860469958524,0.010094659663075323
2021-12-19,0.007505995551900422,106,-0.009566419715112661,-3.5700464711590647,-0.002060424163212282
2021-12-20,-0.013035150484502772,85,0.0,-3.573515201928455,-0.003468730769390138
2021-12-21,0.005974733498017031,87,-7.0933123389798706e-06,-3.5675475617427765,0.005967640185678302
2021-12-22,0.003072529296241528,45,-0.0006752722632529273,-3.5651432113974493,0.0024043503453272663
2021-12-23,0.006193090312775605,90,3.283909259360809e-05,-3.558242009728827,0.006901201668622292
2021-12-24,0.003066731638937814,45,-4.172350107970752e-06,-3.555212289532591,0.003029720196236152
2021-12-25,0.003144033267036268,46,-0.0008062500698039391,-3.5528703339852505,0.002341955547340291
2021-12-26,0.004381668415504847,63,-9.175232430507619e-05,-3.547774167824247,0.005096166161003612
2021-12-27,0.0030670100606458067,44,-0.008015192258518588,-3.552630597697815,-0.004856429873568047
2021-12-28,-0.03018550691856524,85,-0.0018843479620835673,-3.576685260319945,-0.024054662622130074
2021-12-29,0.006501122102391246,92,-0.01245890252167876,-3.580758692777149,-0.004073432457203818
2021-12-30,0.0047684794505858455,67,-0.004972355410690818,-3.568503666215575,0.012255026561573956
2021-12-31,-0.028879052811641943,96,-0.0008140067161241441,-3.5932243703326505,-0.02472070411707561
2022-01-01,0.0021662335160479813,31,-0.00011658384856522303,-3.5903607139490434,0.0028636563836070827
2022-01-02,0.004274214157884502,60,-0.0027701181434317793,-3.5887400340860256,0.0016206798630178376
2022-01-03,-0.016122499068349592,59,-6.684243534643651e-05,-3.6021592574462895,-0.01341922336026391
2022-01-04,0.006282980894759423,91,-0.004134885570351539,-3.5999443196865353,0.002214937759754232
2022-01-05,-0.023180861675153812,157,-0.0062937308875256354,-3.6252840266788633,-0.025339706992328015
2022-01-06,0.004150160634851697,58,-0.0112291657321778,-3.626069300888664,-0.0007852742098006793
2022-01-07,-0.01914197694311395,185,-0.008516195373079724,-3.6424983074726796,-0.016429006584015582
2022-01-08,0.007391047122127244,105,-0.0063027344536236585,-3.632893799431096,0.009604508041583415
2022-01-09,0.007483740881232422,107,-0.004321836071856678,-3.623429160168097,0.009464639262999341
2022-01-10,-0.03145606224812376,157,-0.0005716272785350372,-3.6511350136228993,-0.027705853454802476
2022-01-11,0.007354650942568985,106,0.0,-3.643208735401795,0.007926278221104255
2022-01-12,0.0038000110310235815,55,-0.0011101691153800343,-3.6405188934861514,0.002689841915643587
2022-01-13,0.006327672480416247,90,-0.014470067097883853,-3.647551118988239,-0.007032225502087375
2022-01-14,0.004767428324000645,67,-0.008174337005631454,-3.6364879605719858,0.01106315841625305
2022-01-15,0.003958407109467184,56,-0.008605840299565383,-3.6329610567564523,0.0035269038155334442
2022-01-16,0.0034724223022338527,49,-0.008776983025509173,-3.629659777180162,0.003301279576290117
2022-01-17,-0.03686533597979225,57,-0.0002021728063105823,-3.6579503029407556,-0.028290525760593432
2022-01-18,0.006614349251337328,95,-0.00023941832804963675,-3.6513731992111573,0.006577103729598299
2022-01-19,0.0069426889000075796,100,-0.005453087633387551,-3.6496441796164873,0.0017290195946699782
2022-01-20,-0.017518643042391722,88,-0.008865204655920587,-3.6705749396814125,-0.020930760064925114
2022-01-21,-0.0876813840652283,310,-0.0023479299976151132,-3.7517390490883353,-0.08116410940692287
2022-01-22,-0.009454514375004667,364,-0.0015223834417968192,-3.7603680169075218,-0.008628967819186428
2022-01-23,0.013026672078735377,171,-0.0005019775962671953,-3.746320938983257,0.014047077924264961
2022-01-24,-0.024911044481915195,283,-0.0002944493072660551,-3.7710244551761707,-0.024703516192913888
2022-01-25,0.013213457931863263,191,0.0,-3.7575165479370414,0.013507907239129313
2022-01-26,0.012648913659414953,181,-0.022468231273279227,-3.7673358655509057,-0.009819317613864342
2022-01-27,-0.020643076245467275,225,0.0,-3.765510710523094,0.0018251550278116646
2022-01-28,0.008680804444692899,126,-0.0008559435856061795,-3.757685849664007,0.007824860859086957
2022-01-29,0.006560504482512274,94,-0.0008300358479596433,-3.7510994374438487,0.006586412220158433
2022-01-30,0.00585146964079714,84,-0.003126629327357626,-3.7475445612824494,0.0035548761613992674
2022-01-31,0.0065650315167846635,94,-4.201902539018947e-05,-3.7378949194636975,0.009649641818751942
2022-02-01,0.004783112764019195,70,0.0,-3.733069787674288,0.004825131789409465
2022-02-02,0.005659928581629476,81,-0.018358507504250166,-3.745768366596909,-0.012698578922620829
2022-02-03,0.0005746100506841458,8,-0.010013013714081653,-3.736848262756056,0.008920103840852622
2022-02-04,0.009338081792813233,134,-0.00011977644391281894,-3.7176169436930744,0.01923131906298181
2022-02-05,0.0062529130870637014,89,-0.0023728893793131135,-3.713617143541411,0.003999800151663457
2022-02-06,0.005929322456108112,85,-3.9310106409163444e-05,-3.705354241812399,0.008262901729012118
2022-02-07,0.00723584095447593,105,-0.000677566812708547,-3.698756657564222,0.006597584248176691
2022-02-08,-0.0128212382037072,135,-0.00016581920224424736,-3.711066148157465,-0.012309490593243044
2022-02-09,0.007096865613730204,103,0.0,-3.7038034633414907,0.007262684815974474
2022-02-10,0.009162868910688926,131,-0.022105188206542767,-3.7167457826373442,-0.012942319295853544
2022-02-11,-0.020240194857012145,175,-0.013241748049609633,-3.7281225373374234,-0.01137675470007915
2022-02-12,0.004851514112515581,68,-0.016855125492748996,-3.7268844006680473,0.0012381366693761109
2022-02-13,0.004497058459601326,63,-0.02080067573478839,-3.7263328924504853,0.0005515082175620023
2022-02-14,0.005346937421818608,75,-0.010990663965318045,-3.711175943259196,0.015156949191289293
2022-02-15,0.0033885309819720053,49,-0.00014456831708073155,-3.696941316628987,0.014234626630209135
2022-02-16,0.003002754656237216,42,-0.0038087045663438733,-3.697602698222013,-0.0006613815930260891
2022-02-17,-0.041300541325499644,75,-0.002637838093591672,-3.7377323730747607,-0.040129674852747765
2022-02-18,0.006551333532820832,92,-0.01028742802795437,-3.7388306294763023,-0.0010982564015415974
2022-02-19,0.0012917294383920465,18,-0.008526618667211983,-3.735778090677168,0.0030525387991344743
2022-02-20,-0.024252868927472967,53,-0.0081570007325191,-3.759661341669948,-0.023883250992779992
2022-02-21,-0.04601634104753026,164,-0.0045589638057204505,-3.802079645790679,-0.04241830412073133
