variant,n,traded_n,mean_r,total_r,max_dd_r,mar_like,wr_pct,is_total_r,oos_total_r,scope
base|tilt=none|H=on,164,164,0.5892824460515952,96.64232115246162,-9.363182417476565,10.321524973397594,42.073170731707314,79.93768122182021,16.704639930641395,COMBINED
base|tilt=skip_after_loss|H=off,164,69,1.075033587905339,74.17731756546837,-4.735643946316905,15.663617959107539,47.82608695652174,60.76201398722673,13.415303578241641,COMBINED
base|tilt=skip_after_loss|H=on,164,69,0.8601194429191927,59.3482415614243,-2.5,23.73929662456972,47.82608695652174,43.01568805334017,16.332553508084132,COMBINED
base|tilt=half_after_loss|H=off,164,164,0.6333702388639338,103.87271917368516,-7.1810355663413645,14.464866273682421,42.073170731707314,88.14532933396896,15.727389839716205,COMBINED
base|tilt=half_after_loss|H=on,164,164,0.4755809838837986,77.99528135694297,-5.4315912087382685,14.359563958249517,42.073170731707314,61.47668463758019,16.518596719362765,COMBINED
base|tilt=half_after_2stops_7d|H=off,164,164,0.8386925625070025,137.5455802511484,-10.862071132682729,12.662923909353667,42.073170731707314,118.00610414995764,19.539476101190772,COMBINED
base|tilt=half_after_2stops_7d|H=on,164,164,0.6098897743738668,100.02192299731416,-8.863182417476565,11.28510260604468,42.073170731707314,81.81728306667276,18.204639930641395,COMBINED
wick_p0.5|tilt=none|H=off,164,164,0.09996260522503624,16.393867256905942,-6.065615802267206,2.7027539810184225,68.90243902439023,5.0195693641012245,11.37429789280472,COMBINED
wick_p0.5|tilt=none|H=on,164,164,0.07304336848208695,11.97911243106226,-4.626208656524577,2.5894016721808493,68.90243902439023,1.8549720250079393,10.124140406054321,COMBINED
wick_p0.5|tilt=skip_after_loss|H=off,164,113,0.11142046080983202,12.590512071511014,-4.973752887899333,2.531390753678682,69.91150442477876,1.0526704735391936,11.537841597971823,COMBINED
wick_p0.5|tilt=skip_after_loss|H=on,164,113,0.10218041351937507,11.546386727689383,-3.716010047667704,3.1072000827705764,69.91150442477876,0.6646947124903662,10.881692015199018,COMBINED
wick_p0.5|tilt=half_after_loss|H=off,164,164,0.08836701014761268,14.49218966420848,-4.838950900991044,2.994903226077454,68.90243902439023,3.0361199188202077,11.456069745388271,COMBINED
wick_p0.5|tilt=half_after_loss|H=on,164,164,0.07172408280107208,11.762749579375821,-4.17110935209614,2.820053033005379,68.90243902439023,1.2598333687491519,10.502916210626669,COMBINED
wick_p0.5|tilt=half_after_2stops_7d|H=off,164,164,0.10090470605688612,16.548371793329324,-6.411111265843828,2.5812017772165796,68.90243902439023,5.174073900524604,11.37429789280472,COMBINED
wick_p0.5|tilt=half_after_2stops_7d|H=on,164,164,0.07439043229842869,12.200030896942305,-4.692622585981246,2.5998321137925546,68.90243902439023,2.075890490887986,10.124140406054321,COMBINED
wick_p1|tilt=none|H=off,164,164,0.22518215447208667,36.929873333422215,-8.0,4.616234166677777,57.92682926829268,26.617358567633044,10.31251476578917,COMBINED
wick_p1|tilt=none|H=on,164,164,0.17570831611054438,28.816163842129278,-5.0,5.763232768425856,57.92682926829268,18.820404187929334,9.995759654199942,COMBINED
wick_p1|tilt=skip_after_loss|H=off,164,95,0.4020602611412753,38.19572480842115,-3.1650288897685,12.068049341317355,64.21052631578948,25.967052379259137,12.228672429162009,COMBINED
wick_p1|tilt=skip_after_loss|H=on,164,95,0.3523770489918774,33.47581965422835,-2.5,13.390327861691341,64.21052631578948,21.58414149199197,11.891678162236376,COMBINED
wick_p1|tilt=half_after_loss|H=off,164,164,0.22904145774952242,37.56279907092168,-4.5,8.34728868242704,57.92682926829268,26.292205473446092,11.27059359747559,COMBINED
wick_p1|tilt=half_after_loss|H=on,164,164,0.18991458383035859,31.145991748178808,-3.0,10.381997249392937,57.92682926829268,20.20227283996065,10.943718908218159,COMBINED
wick_p1|tilt=half_after_2stops_7d|H=off,164,164,0.24222874167179514,39.725513634174405,-7.0,5.675073376310629,57.92682926829268,29.412998868385237,10.31251476578917,COMBINED
wick_p1|tilt=half_after_2stops_7d|H=on,164,164,0.18888715774764753,30.977493870614197,-4.550059586756227,6.808151251640705,57.92682926829268,20.981734216414257,9.995759654199942,COMBINED
wick_p2|tilt=none|H=off,164,164,0.2868578346832157,47.04468488804737,-11.362071132682722,4.140502584315326,43.90243902439025,40.90795898542081,6.136725902626571,COMBINED
wick_p2|tilt=none|H=on,164,164,0.24900375616212447,40.836616010588415,-9.363182417476551,4.361403440604353,43.90243902439025,33.15940353368122,7.677212476907198,COMBINED
wick_p2|tilt=skip_after_loss|H=off,164,72,0.49211538718287784,35.432307877167204,-3.0,11.810769292389068,50.0,30.704975634405578,4.7273322427616264,COMBINED
wick_p2|tilt=skip_after_loss|H=on,164,72,0.5066388653283873,36.477998303643886,-2.5,14.591199321457555,50.0,28.33341613103977,8.144582172604117,COMBINED
wick_p2|tilt=half_after_loss|H=off,164,164,0.25145424623541035,41.238496382607295,-7.1810355663413645,5.7426949082244585,43.90243902439025,35.806467309913195,5.432029072694098,COMBINED
wick_p2|tilt=half_after_loss|H=on,164,164,0.23571528754339116,38.65730715711615,-5.431591208738283,7.117123817220396,43.90243902439025,30.746409832360495,7.910897324755658,COMBINED
wick_p2|tilt=half_after_2stops_7d|H=off,164,164,0.3146043421541631,51.59511211328275,-10.862071132682722,4.750025246846248,43.90243902439025,43.95838621065618,7.636725902626571,COMBINED
wick_p2|tilt=half_after_2stops_7d|H=on,164,164,0.27135793739899644,44.502701733435416,-8.863182417476551,5.021074782990401,43.90243902439025,35.32548925652822,9.177212476907197,COMBINED
wick_p3|tilt=none|H=off,164,164,0.43647149753717734,71.58132559609709,-11.362071132682729,6.300024419860838,42.073170731707314,62.27558199492141,9.305743601175688,COMBINED
wick_p3|tilt=none|H=on,164,164,0.33913021433483104,55.61735515091229,-9.363182417476551,5.940005509996417,42.073170731707314,44.771124975455976,10.846230175456315,COMBINED
wick_p3|tilt=skip_after_loss|H=off,164,69,0.7291586506024091,50.31194689156624,-4.735643946316912,10.624098319447288,47.82608695652174,40.66954456086917,9.642402330697067,COMBINED
wick_p3|tilt=skip_after_loss|H=on,164,69,0.656806452787822,45.31964524235972,-2.5,18.12785809694389,47.82608695652174,32.75999298182016,12.559652260539558,COMBINED
wick_p3|tilt=half_after_loss|H=off,164,164,0.37162583075507116,60.94663624383167,-7.1810355663413645,8.487165351122625,42.073170731707314,51.47256327789529,9.474072965936376,COMBINED
wick_p3|tilt=half_after_loss|H=on,164,164,0.307734757296561,50.46850019663601,-5.431591208738283,9.29166026254753,42.073170731707314,38.76555897863807,11.702941217997935,COMBINED
wick_p3|tilt=half_after_2stops_7d|H=off,164,164,0.46072429917892405,75.55878506534354,-10.862071132682729,6.9562042213105935,42.073170731707314,64.75304146416785,10.805743601175688,COMBINED
wick_p3|tilt=half_after_2stops_7d|H=on,164,164,0.3597375426571026,58.996956995764826,-8.863182417476551,6.656407847302542,42.073170731707314,46.65072682030852,12.346230175456315,COMBINED
