asset,threshold,entry_ts,entry_iso,entry_date,bar_day_str,exit_ts,exit_iso,hold_hours_scheduled,hold_hours_actual,pdo,today_open,gap_pct,btc_30d_pct,entry_price,exit_price,gross_bp,net_bp,in_band,config
BTC,-10.0,1676998800,2023-02-21T17:00:00Z,2023-02-21,2023-02-21,1677027600,2023-02-22T01:00:00Z,24,8.0,24272.51,24843.89,2.3540210715743903,6.941454769826224,24403.27,24412.47,3.7699865632756513,-14.230013436724349,False,m10
BTC,-10.0,1678899600,2023-03-15T17:00:00Z,2023-03-15,2023-03-15,1678928400,2023-03-16T01:00:00Z,24,8.0,24112.27,24670.41,2.314755101863074,12.095233577755707,24104.69,24202.64,40.635245672107075,22.635245672107075,False,m10
BTC,-10.0,1679695200,2023-03-24T22:00:00Z,2023-03-24,2023-03-24,1679706000,2023-03-25T01:00:00Z,24,3.0,27250.97,28295.42,3.832707606371432,14.844988418928503,27335.14,27556.35,80.92513885057828,62.92513885057828,False,m10
BTC,-10.0,1681894800,2023-04-19T09:00:00Z,2023-04-19,2023-04-19,1681952400,2023-04-20T01:00:00Z,24,16.0,29430.27,30380.01,3.2270855822933258,3.0183814634887263,29168.47,28920.01,-85.18101909356312,-103.18101909356312,False,m10
BTC,-10.0,1682542800,2023-04-26T21:00:00Z,2023-04-26,2023-04-26,1682557200,2023-04-27T01:00:00Z,24,4.0,27510.93,28300.8,2.8711134083798653,5.06418467199924,28413.39,29225.54,285.8335453812444,267.8335453812444,False,m10
BTC,-10.0,1683381600,2023-05-06T14:00:00Z,2023-05-06,2023-05-06,1683421200,2023-05-07T01:00:00Z,24,11.0,28838.16,29505.6,2.314433375777091,3.745559524953427,28935.84,28942.72,2.3776741922820754,-15.622325807717925,False,m10
BTC,-10.0,1689361200,2023-07-14T19:00:00Z,2023-07-14,2023-07-14,1689382800,2023-07-15T01:00:00Z,24,6.0,30380.0,31454.23,3.535977616853191,16.11728792133369,30091.83,30328.76,78.73565682113615,60.735656821136146,False,m10
BTC,-10.0,1698940800,2023-11-02T16:00:00Z,2023-11-02,2023-11-02,1698973200,2023-11-03T01:00:00Z,24,9.0,34639.78,35421.43,2.256509712244135,26.67767416346682,34640.01,34510.29,-37.4480261408705,-55.4480261408705,False,m10
BTC,-10.0,1700164800,2023-11-16T20:00:00Z,2023-11-16,2023-11-16,1700182800,2023-11-17T01:00:00Z,24,5.0,35551.2,37858.2,6.489232430972796,25.965836584963007,35921.01,36368.01,124.43970812624715,106.43970812624715,False,m10
BTC,-10.0,1702562400,2023-12-14T14:00:00Z,2023-12-14,2023-12-14,1702602000,2023-12-15T01:00:00Z,24,11.0,41492.38,42869.03,3.3178381187099935,16.620049825686802,42570.12,42888.99,74.90465143156655,56.90465143156655,False,m10
BTC,-10.0,1703775600,2023-12-28T15:00:00Z,2023-12-28,2023-12-28,1703811600,2023-12-29T01:00:00Z,24,10.0,42508.93,43428.86,2.1640864637148014,14.17450951846745,42664.0,42407.11,-60.21235702231343,-78.21235702231343,False,m10
BTC,-10.0,1704420000,2024-01-05T02:00:00Z,2024-01-05,2024-01-05,1704502800,2024-01-06T01:00:00Z,24,23.0,42845.23,44151.1,3.0478772082679804,-1.1291418526478718,43376.0,44068.8,159.71966064183053,141.71966064183053,False,m10
BTC,-10.0,1707847200,2024-02-13T18:00:00Z,2024-02-13,2024-02-13,1707872400,2024-02-14T01:00:00Z,24,7.0,48300.0,49917.28,3.3484057971014467,13.6617948785373,48844.19,49482.81,130.74635898353338,112.74635898353338,False,m10
BTC,-10.0,1709668800,2024-03-05T20:00:00Z,2024-03-05,2024-03-05,1709686800,2024-03-06T01:00:00Z,24,5.0,63113.97,68245.71,8.130909844524128,44.034023478508054,61410.98,63429.18,328.63829888400977,310.63829888400977,False,m10
