asset,ts,iso,bar_day,bar_day_str,pdo,today_open,gap_pct,hour_low,hour_high,hour_close,btc_30d_pct,regime_available
BTC,1581328800,2020-02-10T10:00:00Z,18302,2020-02-10,9895.04,10151.72,2.59402690640966,9765.15,9893.78,9835.2,21.20943232990972,True
BTC,1581346800,2020-02-10T15:00:00Z,18302,2020-02-10,9895.04,10151.72,2.59402690640966,9812.14,9900.0,9886.63,22.758094055564168,True
BTC,1581350400,2020-02-10T16:00:00Z,18302,2020-02-10,9895.04,10151.72,2.59402690640966,9850.0,9925.63,9865.05,21.79480056742632,True
BTC,1581354000,2020-02-10T17:00:00Z,18302,2020-02-10,9895.04,10151.72,2.59402690640966,9815.73,9893.17,9832.49,20.356669841091087,True
BTC,1581379200,2020-02-11T00:00:00Z,18302,2020-02-10,9895.04,10151.72,2.59402690640966,9841.8,9894.56,9851.83,22.84061989947643,True
BTC,1582149600,2020-02-19T22:00:00Z,18311,2020-02-19,9706.0,10164.78,4.726766948279422,9350.0,10156.48,9615.72,10.617571404249043,True
BTC,1582153200,2020-02-19T23:00:00Z,18311,2020-02-19,9706.0,10164.78,4.726766948279422,9500.0,9711.08,9693.13,11.996510626989478,True
BTC,1582156800,2020-02-20T00:00:00Z,18311,2020-02-19,9706.0,10164.78,4.726766948279422,9572.42,9696.5,9593.79,11.009042679363835,True
BTC,1582513200,2020-02-24T03:00:00Z,18316,2020-02-24,9650.85,9936.4,2.9588067372303914,9600.0,9917.0,9741.09,17.007700743648478,True
BTC,1582563600,2020-02-24T17:00:00Z,18316,2020-02-24,9650.85,9936.4,2.9588067372303914,9634.29,9731.6,9650.0,15.573706682316029,True
BTC,1582567200,2020-02-24T18:00:00Z,18316,2020-02-24,9650.85,9936.4,2.9588067372303914,9569.91,9659.96,9600.76,15.119234901388994,True
BTC,1582574400,2020-02-24T20:00:00Z,18316,2020-02-24,9650.85,9936.4,2.9588067372303914,9569.0,9646.19,9601.09,14.805611922165854,True
BTC,1582578000,2020-02-24T21:00:00Z,18316,2020-02-24,9650.85,9936.4,2.9588067372303914,9569.03,9646.2,9594.81,14.657305888327901,True
BTC,1582585200,2020-02-24T23:00:00Z,18316,2020-02-24,9650.85,9936.4,2.9588067372303914,9599.11,9650.0,9633.5,15.236148276451909,True
BTC,1582588800,2020-02-25T00:00:00Z,18316,2020-02-24,9650.85,9936.4,2.9588067372303914,9610.0,9671.98,9656.13,15.772883900160412,True
BTC,1584338400,2020-03-16T06:00:00Z,18337,2020-03-16,5172.48,5360.33,3.6317201806483617,5128.76,5278.0,5158.42,-49.549523116525435,True
BTC,1584374400,2020-03-16T16:00:00Z,18337,2020-03-16,5172.48,5360.33,3.6317201806483617,4917.91,5175.0,5151.39,-48.39930763544281,True
BTC,1584378000,2020-03-16T17:00:00Z,18337,2020-03-16,5172.48,5360.33,3.6317201806483617,4960.69,5200.0,5011.13,-49.402713058931035,True
BTC,1584529200,2020-03-18T11:00:00Z,18339,2020-03-18,5028.86,5312.64,5.643028439845227,5010.98,5165.0,5082.4,-47.686853985552744,True
