time,entry,risk_pct,exit_reason,gross_r,net_r,cost_r,hold_bars,symbol,n_days,target_r,event_ts
2024-08-06 15:00:00+00:00,56095.5,4.563533167859864,stop,-0.9999999999999989,-1.0394431229880616,0.03944312298806269,192,BTCUSDT,1,1.0,2024-08-06 14:45:00+00:00
2024-08-02 02:00:00+00:00,64628.4,2.480340076872788,target,0.9999999999999978,0.9274293062961957,0.07257069370380208,53,BTCUSDT,1,1.0,2024-08-02 01:45:00+00:00
2024-07-29 08:45:00+00:00,69382.1,1.522192404490882,target,1.0000000000000047,0.8817495084925244,0.11825049150748025,25,BTCUSDT,1,1.0,2024-07-29 08:30:00+00:00
2024-07-27 19:15:00+00:00,68294.2,1.468751631865775,target,1.0000000000000069,0.8774469446741424,0.12255305532586445,5,BTCUSDT,1,1.0,2024-07-27 19:00:00+00:00
2024-07-26 14:30:00+00:00,67197.9,1.7043874589293309,stop,-0.9999999999999957,-1.1056097890517604,0.10560978905176474,87,BTCUSDT,1,1.0,2024-07-26 14:15:00+00:00
2024-07-21 17:15:00+00:00,67470.1,1.3618782901372786,target,0.9999999999999954,0.8678295987948659,0.1321704012051296,3,BTCUSDT,1,1.0,2024-07-21 17:00:00+00:00
2024-07-19 23:30:00+00:00,66719.6,1.8945281165562404,stop,-0.9999999999999953,-1.0950104664200944,0.09501046642009893,180,BTCUSDT,1,1.0,2024-07-19 23:15:00+00:00
2024-07-16 10:00:00+00:00,63152.2,2.4134337152343264,stop,-0.9999999999999988,-1.074582533120252,0.07458253312025326,23,BTCUSDT,1,1.0,2024-07-16 09:45:00+00:00
2024-07-15 09:15:00+00:00,62622.7,1.9821889118735978,stop,-1.0000000000000018,-1.0908087008870737,0.09080870088707185,52,BTCUSDT,1,1.0,2024-07-15 09:00:00+00:00
2024-07-13 21:00:00+00:00,58571.0,1.3641414742609936,stop,-1.0000000000000018,-1.1319511233961383,0.13195112339613654,8,BTCUSDT,1,1.0,2024-07-13 20:45:00+00:00
2024-07-12 20:15:00+00:00,57458.1,2.103783077178047,stop,-1.0000000000000007,-1.0855601520673168,0.08556015206731614,55,BTCUSDT,1,1.0,2024-07-12 20:00:00+00:00
2024-07-11 13:00:00+00:00,58798.3,1.9116620041930366,target,0.9999999999999982,0.9058410955466021,0.09415890445339618,6,BTCUSDT,1,1.0,2024-07-11 12:45:00+00:00
2024-07-09 15:30:00+00:00,57164.0,2.570173483821734,stop,-1.0000000000000013,-1.0700341829580902,0.07003418295808889,51,BTCUSDT,1,1.0,2024-07-09 15:15:00+00:00
2024-09-14 03:45:00+00:00,60295.0,1.6371088422119258,target,0.9999999999999983,0.8900500715903521,0.10994992840964618,174,BTCUSDT,1,1.0,2024-09-14 03:30:00+00:00
2024-09-12 02:15:00+00:00,57920.4,2.2671443778906113,stop,-0.9999999999999994,-1.0793950318097842,0.07939503180978486,150,BTCUSDT,1,1.0,2024-09-12 02:00:00+00:00
2024-09-10 00:15:00+00:00,56713.2,2.251629663725754,stop,-1.0000000000000013,-1.0799420983387464,0.07994209833874522,79,BTCUSDT,1,1.0,2024-09-10 00:00:00+00:00
2024-09-08 23:00:00+00:00,54500.5,1.4516538314497789,stop,-1.000000000000002,-1.1239965039187307,0.12399650391872867,9,BTCUSDT,1,1.0,2024-09-08 22:45:00+00:00
2024-09-07 21:15:00+00:00,53963.0,1.7305133995334738,stop,-1.0000000000000036,-1.1040153748873207,0.10401537488731719,101,BTCUSDT,1,1.0,2024-09-07 21:00:00+00:00
2024-09-04 20:15:00+00:00,57969.8,2.1305995845868595,target,0.9999999999999986,0.9155167393713228,0.08448326062867577,41,BTCUSDT,1,1.0,2024-09-04 20:00:00+00:00
2024-09-03 03:30:00+00:00,59096.3,1.6932770966533974,target,1.0000000000000029,0.8936972570196879,0.10630274298031493,43,BTCUSDT,1,1.0,2024-09-03 03:15:00+00:00
2024-08-29 12:00:00+00:00,60040.0,1.8434356809825376,target,0.9999999999999998,0.9023562352313471,0.0976437647686527,28,BTCUSDT,1,1.0,2024-08-29 11:45:00+00:00
2024-08-25 05:30:00+00:00,64144.9,1.3951380629019485,stop,-0.9999999999999966,-1.1290194890286251,0.12901948902862853,72,BTCUSDT,1,1.0,2024-08-25 05:15:00+00:00
2024-08-23 15:00:00+00:00,60951.6,1.488920112850289,stop,-0.9999999999999992,-1.1208929871028601,0.1208929871028608,10,BTCUSDT,1,1.0,2024-08-23 14:45:00+00:00
2024-08-22 01:00:00+00:00,60791.5,2.252103976630286,stop,-0.9999999999999987,-1.0799252618297501,0.07992526182975143,150,BTCUSDT,1,1.0,2024-08-22 00:45:00+00:00
2024-08-20 07:15:00+00:00,60803.5,1.8045393003448076,target,1.0,0.9002515489878187,0.09974845101218131,30,BTCUSDT,1,1.0,2024-08-20 07:00:00+00:00
2024-08-18 02:00:00+00:00,59407.5,1.1698976415570823,stop,-0.9999999999999959,-1.1538596143850868,0.1538596143850909,4,BTCUSDT,1,1.0,2024-08-18 01:45:00+00:00
2024-08-16 23:00:00+00:00,58939.9,2.53462430554231,timeout,-0.16339726751332806,-0.2344137095187191,0.07101644200539103,193,BTCUSDT,1,1.0,2024-08-16 22:45:00+00:00
2024-08-15 20:30:00+00:00,56853.0,2.874312546092392,stop,-1.000000000000002,-1.0626236698735894,0.06262366987358725,25,BTCUSDT,1,1.0,2024-08-15 20:15:00+00:00
2024-08-13 19:15:00+00:00,60557.1,2.7203410580019365,target,0.9999999999999979,0.9338318261710118,0.06616817382898607,76,BTCUSDT,1,1.0,2024-08-13 19:00:00+00:00
2024-10-18 02:15:00+00:00,67842.9,1.681740420714889,stop,-0.999999999999996,-1.107031975792957,0.10703197579296098,67,BTCUSDT,1,1.0,2024-10-18 02:00:00+00:00
2024-10-16 12:00:00+00:00,67872.3,1.936773466579082,timeout,0.04792577629836433,-0.045012299891792056,0.09293807619015639,193,BTCUSDT,1,1.0,2024-10-16 11:45:00+00:00
2024-10-14 20:45:00+00:00,65992.9,1.7202486898210634,stop,-0.999999999999998,-1.104636033769466,0.10463603376946809,69,BTCUSDT,1,1.0,2024-10-14 20:30:00+00:00
2024-10-12 15:30:00+00:00,63283.2,1.166336369451297,target,0.9999999999999969,0.8456705932228756,0.15432940677712126,81,BTCUSDT,1,1.0,2024-10-12 15:15:00+00:00
2024-10-11 12:45:00+00:00,61167.2,1.3704264833529796,stop,-0.9999999999999966,-1.131345973086856,0.13134597308685952,10,BTCUSDT,1,1.0,2024-10-11 12:30:00+00:00
2024-10-06 21:00:00+00:00,62590.1,0.9372824840296804,stop,-1.000000000000006,-1.1920445576088516,0.19204455760884573,15,BTCUSDT,1,1.0,2024-10-06 20:45:00+00:00
2024-10-04 08:15:00+00:00,61367.0,1.766207666907458,stop,-0.9999999999999986,-1.101913270660391,0.10191327066039244,51,BTCUSDT,1,1.0,2024-10-04 08:00:00+00:00
2024-09-29 20:15:00+00:00,65893.4,0.738151152909413,target,1.000000000000003,0.7561475054390553,0.24385249456094782,16,BTCUSDT,1,1.0,2024-09-29 20:00:00+00:00
2024-09-26 20:00:00+00:00,64677.8,1.7928697492082806,stop,-1.000000000000002,-1.1003977004350096,0.10039770043500751,53,BTCUSDT,1,1.0,2024-09-26 19:45:00+00:00
2024-09-24 10:45:00+00:00,63637.8,1.3789493352976268,target,0.9999999999999982,0.8694658350437857,0.1305341649562125,16,BTCUSDT,1,1.0,2024-09-24 10:30:00+00:00
2024-09-22 23:30:00+00:00,63470.3,1.5113124822551318,stop,-0.9999999999999978,-1.119101775518592,0.11910177551859412,16,BTCUSDT,1,1.0,2024-09-22 23:15:00+00:00
2024-09-21 21:00:00+00:00,63114.0,0.9213572159432579,target,0.9999999999999951,0.8046360337931191,0.195363966206876,55,BTCUSDT,1,1.0,2024-09-21 20:45:00+00:00
2024-09-19 21:45:00+00:00,62911.2,2.0404935556871213,timeout,-0.12269231512397621,-0.21090626684086183,0.08821395171688562,193,BTCUSDT,1,1.0,2024-09-19 21:30:00+00:00
2024-09-18 21:30:00+00:00,60338.0,2.5032379960000166,stop,-0.9999999999999978,-1.0719068663417624,0.07190686634176466,11,BTCUSDT,1,1.0,2024-09-18 21:15:00+00:00
2024-09-17 11:15:00+00:00,59089.0,1.585741928633661,stop,-1.0000000000000022,-1.1135115347269016,0.11351153472689926,13,BTCUSDT,1,1.0,2024-09-17 11:00:00+00:00
2024-09-15 13:45:00+00:00,60147.0,0.7738195871474982,target,1.000000000000002,0.7673876404918547,0.23261235950814732,14,BTCUSDT,1,1.0,2024-09-15 13:30:00+00:00
2024-11-16 03:00:00+00:00,91448.8,2.579473373139278,target,0.9999999999999981,0.9302183143759531,0.069781685624045,172,BTCUSDT,1,1.0,2024-11-16 02:45:00+00:00
2024-11-13 21:00:00+00:00,89742.3,4.063280912144206,timeout,-0.4368045998691311,-0.48110377678845795,0.04429917691932685,193,BTCUSDT,1,1.0,2024-11-13 20:45:00+00:00
2024-11-12 04:15:00+00:00,88013.2,3.5160595238923094,stop,-0.9999999999999994,-1.0511936725692108,0.05119367256921133,138,BTCUSDT,1,1.0,2024-11-12 04:00:00+00:00
2024-11-11 03:30:00+00:00,80995.6,2.568386119250866,stop,-1.0000000000000007,-1.0700829204187192,0.07008292041871862,48,BTCUSDT,1,1.0,2024-11-11 03:15:00+00:00
2024-11-10 02:00:00+00:00,76703.4,1.1517810274080098,stop,-1.0000000000000064,-1.1562797057050704,0.15627970570506397,11,BTCUSDT,1,1.0,2024-11-10 01:45:00+00:00
2024-11-08 21:00:00+00:00,76563.5,1.8130690607336937,stop,-0.9999999999999961,-1.0992791746868993,0.09927917468690328,127,BTCUSDT,1,1.0,2024-11-08 20:45:00+00:00
2024-11-07 20:45:00+00:00,76367.2,2.1355575713953407,timeout,0.05849654599524338,-0.025790575275100446,0.08428712127034382,193,BTCUSDT,1,1.0,2024-11-07 20:30:00+00:00
2024-11-06 20:30:00+00:00,75624.9,2.9667879834764976,timeout,-0.42573856216999795,-0.48641023840790526,0.06067167623790733,193,BTCUSDT,1,1.0,2024-11-06 20:15:00+00:00
2024-11-05 20:00:00+00:00,68955.9,2.017648665880866,stop,-1.0000000000000053,-1.0892127569303183,0.08921275693031301,19,BTCUSDT,1,1.0,2024-11-05 19:45:00+00:00
2024-11-04 05:00:00+00:00,69143.3,1.6788288429117983,target,0.9999999999999961,0.8927823996114991,0.10721760038849701,47,BTCUSDT,1,1.0,2024-11-04 04:45:00+00:00
2024-10-29 14:15:00+00:00,71575.0,1.5540190786869155,stop,-1.0000000000000042,-1.1158286937841841,0.11582869378417986,9,BTCUSDT,1,1.0,2024-10-29 14:00:00+00:00
2024-10-28 01:00:00+00:00,67835.2,0.9740511358897659,stop,-1.0000000000000007,-1.1847952262132277,0.18479522621322703,26,BTCUSDT,1,1.0,2024-10-28 00:45:00+00:00
2024-10-27 00:45:00+00:00,67027.1,1.0340328183622443,stop,-1.0000000000000013,-1.1740757128822032,0.17407571288220183,51,BTCUSDT,1,1.0,2024-10-27 00:30:00+00:00
2024-10-24 05:30:00+00:00,67358.0,1.6173152506841069,stop,-0.9999999999999958,-1.1112955559677404,0.11129555596774467,63,BTCUSDT,1,1.0,2024-10-24 05:15:00+00:00
2024-10-23 04:30:00+00:00,67067.8,1.4027648612252044,target,1.0000000000000033,0.8716819867851697,0.1283180132148336,33,BTCUSDT,1,1.0,2024-10-23 04:15:00+00:00
2024-10-20 10:30:00+00:00,68403.9,0.6181314196369528,stop,-1.0000000000000069,-1.2912002112847194,0.2912002112847126,42,BTCUSDT,1,1.0,2024-10-20 10:15:00+00:00
2024-12-15 04:45:00+00:00,102186.1,1.1690568137589992,stop,-1.000000000000001,-1.1539702757654926,0.15397027576549155,48,BTCUSDT,1,1.0,2024-12-15 04:30:00+00:00
2024-12-13 23:00:00+00:00,101192.7,1.7670264323941482,stop,-0.9999999999999992,-1.1018660483511367,0.10186604835113733,151,BTCUSDT,1,1.0,2024-12-13 22:45:00+00:00
2024-12-12 16:30:00+00:00,101845.7,1.833695350794225,target,1.0000000000000024,0.9018375653720055,0.09816243462799693,12,BTCUSDT,1,1.0,2024-12-12 16:15:00+00:00
2024-12-11 09:00:00+00:00,98114.1,2.3567513771412063,stop,-0.999999999999997,-1.0763763211282544,0.07637632112825754,26,BTCUSDT,1,1.0,2024-12-11 08:45:00+00:00
2024-12-08 14:15:00+00:00,100247.7,1.4387157923375662,target,1.0000000000000036,0.8748884241358481,0.1251115758641555,55,BTCUSDT,1,1.0,2024-12-08 14:00:00+00:00
2024-12-06 22:30:00+00:00,100553.6,2.8361393226095624,timeout,0.15470712614354287,0.09124056843072216,0.06346655771282071,193,BTCUSDT,1,1.0,2024-12-06 22:15:00+00:00
2024-12-04 02:00:00+00:00,96298.9,1.7797940856921817,stop,-0.9999999999999971,-1.1011352950585802,0.10113529505858312,73,BTCUSDT,1,1.0,2024-12-04 01:45:00+00:00
2024-12-01 12:15:00+00:00,97124.8,1.0489185698990133,stop,-1.0000000000000033,-1.171605313477607,0.17160531347760374,53,BTCUSDT,1,1.0,2024-12-01 12:00:00+00:00
2024-11-29 03:30:00+00:00,96550.6,1.6184696960669473,stop,-1.0000000000000002,-1.1112161694700984,0.11121616947009823,46,BTCUSDT,1,1.0,2024-11-29 03:15:00+00:00
2024-11-27 15:30:00+00:00,94602.1,2.0379783549060013,stop,-0.9999999999999986,-1.0883228222550476,0.08832282225504902,11,BTCUSDT,1,1.0,2024-11-27 15:15:00+00:00
2024-11-25 10:00:00+00:00,98578.2,1.491241826471,target,1.0000000000000033,0.8792952311256168,0.12070476887438647,19,BTCUSDT,1,1.0,2024-11-25 09:45:00+00:00
2024-11-22 19:45:00+00:00,99232.4,1.963078329145003,target,1.0000000000000027,0.9083072757069293,0.09169272429307342,99,BTCUSDT,1,1.0,2024-11-22 19:30:00+00:00
2024-11-21 17:00:00+00:00,97175.5,2.290893008255077,stop,-1.0000000000000013,-1.0785719801629257,0.07857198016292434,42,BTCUSDT,1,1.0,2024-11-21 16:45:00+00:00
